Date	E315_400_0.6m [kJ/m**2/d]
2013-10-20	
2013-10-21	286.89
2013-10-22	365.38
2013-10-23	369.11
2013-10-24	386.93
2013-10-25	378.43
2013-10-26	359.14
2013-10-27	387.30
2013-10-28	435.29
2013-10-29	279.11
2013-10-30	
2013-10-31	
2013-11-01	
2013-11-02	
2013-11-03	
2013-11-04	
2013-11-05	
2013-11-06	
2013-11-07	
2013-11-08	496.04
2013-11-09	464.36
2013-11-10	591.15
2013-11-11	
2013-11-12	
2013-11-13	
2013-11-14	
2013-11-15	658.81
2013-11-16	512.85
2013-11-17	391.28
2013-11-18	487.63
2013-11-19	583.27
2013-11-20	657.03
2013-11-21	353.03
2013-11-22	413.22
2013-11-23	441.63
2013-11-24	456.40
2013-11-25	478.56
2013-11-26	624.04
2013-11-27	514.32
2013-11-28	625.66
2013-11-29	520.90
2013-11-30	576.46
2013-12-01	600.30
2013-12-02	536.33
2013-12-03	
2013-12-04	
2013-12-05	
2013-12-06	
2013-12-07	
2013-12-08	
2013-12-09	
2013-12-10	
2013-12-11	
2013-12-12	
2013-12-13	
2013-12-14	
2013-12-15	
2013-12-16	473.39
2013-12-17	534.80
2013-12-18	543.44
2013-12-19	556.71
2013-12-20	692.10
2013-12-21	
