Date	E290_315_0.6m [kJ/m**2/d]
2013-10-20	
2013-10-21	8.59
2013-10-22	12.92
2013-10-23	12.98
2013-10-24	12.58
2013-10-25	11.51
2013-10-26	10.32
2013-10-27	11.86
2013-10-28	13.75
2013-10-29	8.30
2013-10-30	
2013-10-31	
2013-11-01	
2013-11-02	
2013-11-03	
2013-11-04	
2013-11-05	
2013-11-06	
2013-11-07	
2013-11-08	16.93
2013-11-09	14.57
2013-11-10	20.97
2013-11-11	
2013-11-12	
2013-11-13	
2013-11-14	
2013-11-15	21.47
2013-11-16	15.38
2013-11-17	11.95
2013-11-18	16.75
2013-11-19	22.27
2013-11-20	26.89
2013-11-21	13.22
2013-11-22	16.42
2013-11-23	17.35
2013-11-24	17.62
2013-11-25	16.35
2013-11-26	22.62
2013-11-27	18.62
2013-11-28	22.59
2013-11-29	16.49
2013-11-30	16.61
2013-12-01	17.96
2013-12-02	15.35
2013-12-03	
2013-12-04	
2013-12-05	
2013-12-06	
2013-12-07	
2013-12-08	
2013-12-09	
2013-12-10	
2013-12-11	
2013-12-12	
2013-12-13	
2013-12-14	
2013-12-15	
2013-12-16	17.14
2013-12-17	19.66
2013-12-18	20.36
2013-12-19	20.67
2013-12-20	26.35
2013-12-21	
