Date	E290_315 [kJ/m**2/d]	E315_400 [kJ/m**2/d]
2013-10-20		
2013-10-21	8.59	286.89
2013-10-22	12.92	365.38
2013-10-23	12.98	369.11
2013-10-24	12.58	386.93
2013-10-25	11.51	378.43
2013-10-26	10.32	359.14
2013-10-27	11.86	387.30
2013-10-28	13.75	435.29
2013-10-29	8.30	279.11
2013-10-30		
2013-10-31		
2013-11-01		
2013-11-02		
2013-11-03		
2013-11-04		
2013-11-05		
2013-11-06		
2013-11-07		
2013-11-08	16.93	496.04
2013-11-09	14.57	464.36
2013-11-10	20.97	591.15
2013-11-11		
2013-11-12		
2013-11-13		
2013-11-14		
2013-11-15	21.47	658.81
2013-11-16	15.38	512.85
2013-11-17	11.95	391.28
2013-11-18	16.75	487.63
2013-11-19	22.27	583.27
2013-11-20	26.89	657.03
2013-11-21	13.22	353.03
2013-11-22	16.42	413.22
2013-11-23	17.35	441.63
2013-11-24	17.62	456.40
2013-11-25	16.35	478.56
2013-11-26	22.62	624.04
2013-11-27	18.62	514.32
2013-11-28	22.59	625.66
2013-11-29	16.49	520.90
2013-11-30	16.61	576.46
2013-12-01	17.96	600.30
2013-12-02	15.35	536.33
2013-12-03		
2013-12-04		
2013-12-05		
2013-12-06		
2013-12-07		
2013-12-08		
2013-12-09		
2013-12-10		
2013-12-11		
2013-12-12		
2013-12-13		
2013-12-14		
2013-12-15		
2013-12-16	17.14	473.39
2013-12-17	19.66	534.80
2013-12-18	20.36	543.44
2013-12-19	20.67	556.71
2013-12-20	26.35	692.10
2013-12-21		
