Wavelength [nm]	Transmissivity of fused quartz glass vial [%]	Transmissivity of borosilicate glass vial [%]	Transmissivity of polyvinylfluoride bag [%]	Transmissivity PVF bag with PET film [%]	Transmissivity of 4 mil polyethylene terephthalate film [%]
191.6	69.2	0.0	0.0	0.0	0.0
191.8	69.5	0.0	0.0	0.0	0.0
192.0	69.6	0.0	0.0	0.0	0.0
192.2	69.7	0.0	0.0	0.0	0.0
192.4	69.6	0.0	0.0	0.0	0.0
192.6	69.8	0.0	0.0	0.0	0.0
192.8	69.7	0.0	0.0	0.0	0.0
193.0	69.8	0.0	0.0	0.0	0.0
193.2	69.5	0.0	0.0	0.0	0.0
193.4	70.0	0.0	0.0	0.0	0.0
193.6	70.2	0.0	0.0	0.0	0.0
193.8	70.2	0.0	0.0	0.0	0.0
194.0	69.9	0.0	0.0	0.0	0.0
194.2	70.0	0.0	0.0	0.0	0.0
194.4	69.9	0.0	0.0	0.0	0.0
194.6	70.4	0.0	0.0	0.0	0.0
194.8	70.2	0.0	0.0	0.0	0.0
195.0	70.4	0.0	0.0	0.0	0.0
195.2	70.6	0.0	0.0	0.0	0.0
195.4	70.7	0.0	0.0	0.0	0.0
195.6	70.6	0.0	0.0	0.0	0.0
195.8	70.6	0.0	0.0	0.0	0.0
196.0	70.8	0.0	0.0	0.0	0.0
196.2	70.6	0.0	0.0	0.0	0.0
196.4	70.8	0.0	0.0	0.0	0.0
196.6	70.8	0.0	0.0	0.0	0.0
196.8	70.6	0.0	0.0	0.0	0.0
197.0	70.8	0.0	0.0	0.0	0.0
197.2	70.9	0.0	0.0	0.0	0.0
197.4	70.9	0.0	0.0	0.0	0.0
197.6	70.6	0.0	0.0	0.0	0.0
197.8	70.9	0.0	0.0	0.0	0.0
198.0	70.6	0.0	0.0	0.0	0.0
198.2	71.0	0.0	0.0	0.0	0.0
198.4	70.9	0.0	0.0	0.0	0.0
198.6	71.3	0.0	0.0	0.0	0.0
198.8	71.2	0.0	0.0	0.0	0.0
199.0	71.3	0.0	0.0	0.0	0.0
199.2	71.3	0.0	0.0	0.0	0.0
199.4	71.5	0.0	0.0	0.0	0.0
199.6	71.5	0.0	0.0	0.0	0.0
199.8	71.5	0.0	0.0	0.0	0.0
200.0	71.4	0.0	0.0	0.0	0.0
200.2	71.6	0.0	0.0	0.0	0.0
200.4	71.8	0.0	0.0	0.0	0.0
200.6	71.8	0.0	0.0	0.0	0.0
200.8	72.0	0.0	0.0	0.0	0.0
201.0	71.9	0.0	0.0	0.0	0.0
201.2	72.1	0.0	0.0	0.0	0.0
201.4	72.3	0.0	0.0	0.0	0.0
201.6	72.4	0.0	0.0	0.0	0.0
201.8	72.3	0.0	0.0	0.0	0.0
202.0	72.5	0.0	0.0	0.0	0.0
202.2	72.5	0.0	0.0	0.0	0.0
202.4	72.6	0.0	0.0	0.0	0.0
202.6	72.8	0.0	0.0	0.0	0.0
202.8	72.8	0.0	0.0	0.0	0.0
203.0	72.9	0.0	0.0	0.0	0.0
203.2	73.1	0.0	0.0	0.0	0.0
203.4	73.2	0.0	0.0	0.0	0.0
203.6	73.4	0.0	0.0	0.0	0.0
203.8	73.4	0.0	0.0	0.0	0.0
204.0	73.6	0.0	0.0	0.0	0.0
204.2	73.7	0.0	0.0	0.0	0.0
204.4	73.7	0.0	0.0	0.0	0.0
204.6	73.9	0.0	0.0	0.0	0.0
204.8	73.5	0.0	0.0	0.0	0.0
205.0	74.1	0.0	0.0	0.0	0.0
205.2	74.2	0.0	0.0	0.0	0.0
205.4	74.3	0.0	0.0	0.0	0.0
205.6	74.1	0.0	0.0	0.0	0.0
205.8	74.4	0.0	0.0	0.0	0.0
206.0	74.8	0.0	0.0	0.0	0.0
206.2	74.9	0.0	0.0	0.0	0.0
206.4	75.1	0.0	0.0	0.0	0.0
206.6	75.0	0.0	0.0	0.0	0.0
206.8	75.4	0.0	0.0	0.0	0.0
207.0	75.6	0.0	0.0	0.0	0.0
207.2	75.7	0.0	0.0	0.0	0.0
207.4	75.6	0.0	0.0	0.0	0.0
207.6	75.9	0.0	0.0	0.0	0.0
207.8	76.0	0.0	0.0	0.0	0.0
208.0	76.4	0.0	0.0	0.0	0.0
208.2	76.2	0.0	0.0	0.0	0.0
208.4	76.7	0.0	0.0	0.0	0.0
208.6	76.7	0.0	0.0	0.0	0.0
208.8	76.4	0.0	0.0	0.0	0.0
209.0	77.2	0.0	0.0	0.0	0.0
209.2	77.4	0.0	0.0	0.0	0.0
209.4	77.4	0.0	0.0	0.0	0.0
209.6	77.8	0.0	0.0	0.0	0.0
209.8	78.0	0.0	0.0	0.0	0.0
210.0	78.1	0.0	0.0	0.0	0.0
210.2	78.1	0.0	0.0	0.0	0.0
210.4	78.1	0.0	0.0	0.0	0.0
210.6	78.6	0.0	0.0	0.0	0.0
210.8	78.7	0.0	0.0	0.0	0.0
211.0	79.0	0.0	0.0	0.0	0.0
211.2	79.1	0.0	0.0	0.0	0.0
211.4	79.1	0.0	0.0	0.0	0.0
211.6	79.5	0.0	0.0	0.0	0.0
211.8	79.8	0.0	0.0	0.0	0.0
212.0	79.2	0.0	0.0	0.0	0.0
212.2	79.8	0.0	0.0	0.0	0.0
212.4	80.0	0.0	0.0	0.0	0.0
212.6	80.4	0.0	0.0	0.0	0.0
212.8	80.5	0.0	0.0	0.0	0.0
213.0	80.6	0.0	0.0	0.0	0.0
213.2	80.9	0.0	0.0	0.0	0.0
213.4	80.8	0.0	0.0	0.0	0.0
213.6	81.3	0.0	0.0	0.0	0.0
213.8	81.7	0.0	0.0	0.0	0.0
214.0	81.5	0.0	0.0	0.0	0.0
214.2	81.9	0.0	0.0	0.0	0.0
214.4	82.1	0.0	0.0	0.0	0.0
214.6	82.0	0.0	0.0	0.0	0.0
214.8	82.5	0.0	0.0	0.0	0.0
215.0	82.6	0.0	0.0	0.0	0.0
215.2	82.6	0.0	0.0	0.0	0.0
215.4	82.7	0.0	0.0	0.0	0.0
215.6	83.0	0.0	0.0	0.0	0.0
215.8	83.0	0.0	0.0	0.0	0.0
216.0	83.3	0.0	0.0	0.0	0.0
216.2	83.5	0.0	0.0	0.0	0.0
216.4	83.5	0.0	0.0	0.0	0.0
216.6	83.8	0.0	0.0	0.0	0.0
216.8	84.0	0.0	0.0	0.0	0.0
217.0	84.2	0.0	0.0	0.0	0.0
217.2	84.3	0.0	0.0	0.0	0.0
217.4	84.4	0.0	0.0	0.0	0.0
217.6	84.7	0.0	0.0	0.0	0.0
217.8	85.0	0.0	0.0	0.0	0.0
218.0	84.7	0.0	0.0	0.0	0.0
218.2	85.1	0.0	0.0	0.0	0.0
218.4	85.2	0.0	0.0	0.0	0.0
218.6	85.4	0.0	0.0	0.0	0.0
218.8	84.7	0.0	0.0	0.0	0.0
219.0	85.4	0.0	0.0	0.0	0.0
219.2	85.5	0.0	0.0	0.0	0.0
219.4	85.7	0.0	0.0	0.0	0.0
219.6	85.9	0.0	0.0	0.0	0.0
219.8	86.1	0.0	0.0	0.0	0.0
220.0	86.1	0.0	0.0	0.0	0.0
220.2	86.3	0.0	0.0	0.0	0.0
220.4	86.3	0.0	0.0	0.0	0.0
220.6	86.2	0.0	0.0	0.0	0.0
220.8	86.5	0.0	0.0	0.0	0.0
221.0	86.5	0.0	0.0	0.0	0.0
221.2	86.6	0.0	0.0	0.0	0.0
221.4	86.8	0.0	0.0	0.0	0.0
221.6	86.8	0.0	0.0	0.0	0.0
221.8	87.0	0.0	0.0	0.0	0.0
222.0	87.1	0.0	0.0	0.0	0.0
222.2	87.1	0.0	0.0	0.0	0.0
222.4	87.0	0.0	0.0	0.0	0.0
222.6	87.2	0.0	0.0	0.0	0.0
222.8	87.4	0.0	0.0	0.0	0.0
223.0	87.0	0.0	0.0	0.0	0.0
223.2	87.0	0.0	0.0	0.0	0.0
223.4	87.1	0.0	0.0	0.0	0.0
223.6	87.3	0.0	0.0	0.0	0.0
223.8	87.2	0.0	0.0	0.0	0.0
224.0	87.3	0.0	0.0	0.0	0.0
224.2	87.3	0.0	0.0	0.0	0.0
224.4	87.5	0.0	0.0	0.0	0.0
224.6	87.4	0.0	0.0	0.0	0.0
224.8	87.1	0.0	0.0	0.0	0.0
225.0	87.4	0.0	0.0	0.0	0.0
225.2	87.6	0.0	0.0	0.0	0.0
225.4	87.6	0.0	0.0	0.0	0.0
225.6	87.7	0.0	0.0	0.0	0.0
225.8	87.7	0.0	0.0	0.0	0.0
226.0	87.7	0.0	0.0	0.0	0.0
226.2	87.6	0.0	0.0	0.0	0.0
226.4	87.7	0.0	0.0	0.0	0.0
226.6	87.9	0.0	0.0	0.0	0.0
226.8	87.2	0.0	0.0	0.0	0.0
227.0	87.9	0.0	0.0	0.0	0.0
227.2	88.0	0.0	0.0	0.0	0.0
227.4	87.9	0.0	0.0	0.0	0.0
227.6	87.9	0.0	0.0	0.0	0.0
227.8	87.9	0.0	0.0	0.0	0.0
228.0	87.9	0.0	0.0	0.0	0.0
228.2	87.8	0.0	0.0	0.0	0.0
228.4	87.7	0.0	0.0	0.0	0.0
228.6	87.8	0.0	0.0	0.0	0.0
228.8	87.8	0.0	0.0	0.0	0.0
229.0	87.6	0.0	0.0	0.0	0.0
229.2	87.8	0.0	0.0	0.0	0.0
229.4	87.8	0.0	0.0	0.0	0.0
229.6	87.9	0.0	0.0	0.0	0.0
229.8	88.0	0.0	0.0	0.0	0.0
230.0	88.0	0.0	0.0	0.0	0.0
230.2	88.1	0.0	0.0	0.0	0.0
230.4	88.0	0.0	0.0	0.0	0.0
230.6	88.1	0.0	0.0	0.0	0.0
230.8	88.1	0.0	0.0	0.0	0.0
231.0	87.9	0.0	0.0	0.0	0.0
231.2	87.9	0.0	0.0	0.0	0.0
231.4	88.0	0.0	0.0	0.0	0.0
231.6	87.9	0.0	0.0	0.0	0.0
231.8	87.6	0.0	0.0	0.0	0.0
232.0	87.9	0.0	0.0	0.0	0.0
232.2	87.8	0.0	0.0	0.0	0.0
232.4	87.9	0.0	0.0	0.0	0.0
232.6	88.0	0.0	0.0	0.0	0.0
232.8	87.7	0.0	0.0	0.0	0.0
233.0	87.9	0.0	0.0	0.0	0.0
233.2	87.8	0.0	0.0	0.0	0.0
233.4	87.7	0.0	0.0	0.0	0.0
233.6	87.6	0.0	0.0	0.0	0.0
233.8	87.5	0.0	0.0	0.0	0.0
234.0	87.6	0.0	0.0	0.0	0.0
234.2	87.8	0.0	0.0	0.0	0.0
234.4	87.5	0.0	0.0	0.0	0.0
234.6	87.6	0.0	0.0	0.0	0.0
234.8	87.5	0.0	0.0	0.0	0.0
235.0	87.4	0.0	0.0	0.0	0.0
235.2	87.5	0.0	0.0	0.0	0.0
235.4	87.6	0.0	0.0	0.0	0.0
235.6	87.5	0.0	0.0	0.0	0.0
235.8	87.7	0.0	0.0	0.0	0.0
236.0	87.0	0.0	0.0	0.0	0.0
236.2	87.4	0.0	0.1	0.0	0.0
236.4	87.6	0.0	0.1	0.0	0.0
236.6	87.4	0.0	0.1	0.0	0.0
236.8	87.3	0.0	0.1	0.0	0.0
237.0	87.5	0.0	0.1	0.0	0.0
237.2	87.2	0.0	0.1	0.0	0.0
237.4	87.5	0.0	0.1	0.0	0.0
237.6	87.4	0.0	0.1	0.0	0.0
237.8	87.4	0.0	0.1	0.0	0.0
238.0	87.5	0.0	0.1	0.0	0.0
238.2	87.2	0.0	0.1	0.0	0.0
238.4	87.1	0.0	0.2	0.0	0.0
238.6	87.3	0.0	0.2	0.0	0.0
238.8	87.3	0.0	0.2	0.0	0.0
239.0	87.1	0.0	0.3	0.0	0.0
239.2	87.1	0.0	0.3	0.0	0.0
239.4	87.2	0.0	0.4	0.0	0.0
239.6	87.3	0.0	0.5	0.0	0.0
239.8	87.0	0.0	0.6	0.0	0.0
240.0	87.2	0.0	0.7	0.0	0.0
240.2	87.2	0.0	0.8	0.0	0.0
240.4	87.1	0.0	0.9	0.0	0.0
240.6	87.0	0.0	1.1	0.0	0.0
240.8	87.0	0.0	1.3	0.0	0.0
241.0	87.1	0.0	1.5	0.0	0.0
241.2	87.1	0.0	1.7	0.0	0.0
241.4	87.1	0.0	2.0	0.0	0.0
241.6	87.1	0.0	2.3	0.0	0.0
241.8	87.3	0.0	2.7	0.0	0.0
242.0	87.2	0.0	3.0	0.0	0.0
242.2	87.1	0.0	3.4	0.0	0.0
242.4	87.2	0.0	3.8	0.0	0.0
242.6	87.1	0.0	4.3	0.0	0.0
242.8	87.3	0.0	4.7	0.0	0.0
243.0	87.4	0.0	5.2	0.0	0.0
243.2	87.5	0.0	5.6	0.0	0.0
243.4	87.4	0.0	6.2	0.0	0.0
243.6	87.5	0.0	6.7	0.0	0.0
243.8	87.6	0.0	7.3	0.0	0.0
244.0	87.6	0.0	8.0	0.0	0.0
244.2	87.7	0.0	8.7	0.0	0.0
244.4	87.7	0.0	9.4	0.0	0.0
244.6	87.8	0.0	10.2	0.0	0.0
244.8	87.8	0.0	11.0	0.0	0.0
245.0	87.8	0.0	11.8	0.0	0.0
245.2	87.8	0.0	12.6	0.0	0.0
245.4	88.0	0.0	13.4	0.0	0.0
245.6	88.0	0.0	14.2	0.0	0.0
245.8	88.0	0.0	15.1	0.0	0.0
246.0	88.0	0.0	15.9	0.0	0.0
246.2	88.1	0.0	16.8	0.0	0.0
246.4	88.1	0.0	17.6	0.0	0.0
246.6	88.2	0.0	18.5	0.0	0.0
246.8	88.0	0.0	19.3	0.0	0.0
247.0	88.2	0.0	20.0	0.0	0.0
247.2	88.2	0.0	20.6	0.0	0.0
247.4	88.4	0.1	21.2	0.0	0.0
247.6	88.4	0.1	21.8	0.0	0.0
247.8	88.6	0.1	22.4	0.0	0.0
248.0	88.7	0.1	22.9	0.0	0.0
248.2	88.8	0.1	23.5	0.0	0.0
248.4	88.9	0.1	24.2	0.0	0.0
248.6	88.9	0.1	24.7	0.0	0.0
248.8	89.1	0.1	25.3	0.0	0.0
249.0	88.9	0.1	25.8	0.0	0.0
249.2	89.1	0.1	26.2	0.0	0.0
249.4	89.0	0.1	26.7	0.0	0.0
249.6	89.3	0.1	27.1	0.0	0.0
249.8	88.9	0.1	27.5	0.0	0.0
250.0	89.3	0.1	27.9	0.0	0.0
250.2	89.6	0.1	28.3	0.0	0.0
250.4	89.5	0.1	28.6	0.0	0.0
250.6	89.7	0.1	29.0	0.0	0.0
250.8	89.7	0.1	29.3	0.0	0.0
251.0	89.8	0.1	29.6	0.0	0.0
251.2	89.8	0.1	29.9	0.0	0.0
251.4	89.9	0.1	30.2	0.0	0.0
251.6	89.8	0.1	30.4	0.0	0.0
251.8	90.0	0.1	30.6	0.0	0.0
252.0	90.0	0.1	30.8	0.0	0.0
252.2	90.0	0.2	31.0	0.0	0.0
252.4	90.1	0.2	31.2	0.0	0.0
252.6	90.2	0.2	31.3	0.0	0.0
252.8	90.4	0.2	31.3	0.0	0.0
253.0	90.4	0.2	31.4	0.0	0.0
253.2	90.4	0.2	31.5	0.0	0.0
253.4	90.5	0.2	31.5	0.0	0.0
253.6	90.8	0.2	31.5	0.0	0.0
253.8	90.7	0.2	31.5	0.0	0.0
254.0	90.8	0.2	31.6	0.0	0.0
254.2	90.8	0.2	31.5	0.0	0.0
254.4	90.7	0.2	31.4	0.0	0.0
254.6	91.0	0.3	31.4	0.0	0.0
254.8	91.1	0.3	31.3	0.0	0.0
255.0	91.1	0.3	31.3	0.0	0.0
255.2	91.1	0.3	31.2	0.0	0.0
255.4	91.1	0.3	31.1	0.0	0.0
255.6	91.3	0.3	31.1	0.0	0.0
255.8	91.1	0.3	31.0	0.0	0.0
256.0	91.3	0.3	30.9	0.0	0.0
256.2	91.4	0.4	30.7	0.0	0.0
