Wavelength [nm]	epsilon DHA [mol/L/cm]	"epsilon PC 22:0, 22:0 [mol/L/cm]"	"epsilon PC 22:1, 22:1 [mol/L/cm]"	"epsilon PC 22:6, 22:6 [mol/L/cm]"
200.0	-1.5769	23.4951	22.1024	8.8698
200.2	-1.4800	24.7260	17.1429	85.7996
200.4	-50.8986	19.0836	24.2947	11.0652
200.6	23.7138	23.9892	19.2812	80.9695
200.8	62.8611	20.0180	26.2534	61.9127
201.0	-53.0304	23.6927	21.3657	31.9663
201.2	25.0704	24.6092	21.9766	47.8616
201.4	44.1595	24.7439	20.6199	50.1449
201.6	-16.6932	23.3333	22.5427	60.8589
201.8	38.2487	24.2947	23.8005	65.0742
202.0	72.6479	21.5364	21.7790	92.7373
202.2	5.3029	25.0314	20.9793	8.0794
202.4	19.8378	20.0090	20.2066	108.6327
202.6	-57.8754	24.9596	21.0961	44.6123
202.8	21.4851	21.3657	22.5157	62.7909
203.0	65.7681	22.4079	20.3324	125.0549
203.2	-49.5420	25.4088	23.9353	57.4339
203.4	8.9851	27.4933	21.9856	41.9777
203.6	26.8146	21.6891	23.9623	82.4625
203.8	-9.7164	24.2138	22.5157	59.8929
204.0	-3.0304	21.7341	20.4043	56.4679
204.2	-4.4839	25.6155	23.8544	63.7569
204.4	37.1828	21.5544	25.3459	53.7455
204.6	-28.7087	22.4259	22.7314	61.7371
204.8	22.5510	20.6289	24.2049	61.8249
205.0	8.7913	23.3423	24.2228	85.0970
205.2	-11.2668	21.4555	23.1626	48.9154
205.4	25.3611	20.7907	25.4358	81.5843
205.6	-8.7474	20.5750	22.2552	64.3717
205.8	-4.2901	23.2794	23.7826	107.5788
206.0	1.4270	21.4376	20.5750	57.6974
206.2	36.4076	21.9946	23.4501	101.7827
206.4	9.9541	21.7520	23.7376	28.8926
206.6	6.0781	23.3513	25.9209	110.6525
206.8	10.6324	25.1033	25.8221	53.6577
207.0	11.3107	23.0279	24.2857	81.4964
207.2	8.2099	21.0153	22.8302	38.9040
207.4	-8.5536	21.1770	24.2947	60.8589
207.6	-13.4955	23.5939	25.6065	85.0970
207.8	14.6053	20.9973	24.9146	80.0035
208.0	-23.8637	23.7916	23.8005	52.4282
208.2	-24.5420	17.1788	22.1204	67.6210
208.4	53.7526	23.5939	27.3854	103.0122
208.6	-23.7668	26.5768	23.3154	64.3717
208.8	34.0820	24.6271	25.3819	88.6976
209.0	35.7293	24.0881	24.8697	112.2332
209.2	-26.5769	21.5544	23.0997	41.0995
209.4	2.6867	22.7314	24.2857	70.6947
209.6	8.6944	24.7889	26.1905	96.6892
209.8	36.7952	24.2228	25.7412	54.4481
210.0	-9.5226	26.4151	23.9802	57.2583
210.2	-5.0653	27.0979	23.9712	78.4228
210.4	-6.4219	24.3935	24.0431	112.5845
210.6	24.9735	22.9919	25.4627	118.5562
210.8	17.8998	23.5849	26.0377	92.4739
211.0	25.3611	26.8194	24.6721	94.8450
211.2	33.5006	27.4394	23.9623	132.7830
211.4	41.0588	29.4879	24.5013	94.7572
211.6	28.1712	28.5984	24.4205	110.6525
211.8	16.2526	28.8140	25.4717	94.4937
212.0	19.2564	31.4645	25.1033	81.4086
212.2	40.9619	31.4196	27.9155	85.5361
212.4	38.7332	34.2767	23.6388	108.5448
212.6	33.4037	34.3666	25.1482	104.9442
212.8	16.9309	37.3405	25.2022	91.9470
213.0	56.2719	40.6739	24.8158	157.2846
213.2	70.1285	39.1465	27.3765	152.5424
213.4	72.4541	40.3863	28.9398	136.1201
213.6	83.5975	41.5364	28.6074	157.1090
213.8	78.3650	43.4591	29.3441	164.6615
214.0	89.8960	44.5373	29.0027	147.6245
214.2	141.4464	47.6640	27.7358	189.8656
214.4	131.5626	49.4609	28.7242	156.3186
214.6	114.4115	50.6110	27.7628	154.9135
214.8	134.3727	51.6083	30.3145	192.9393
215.0	114.9929	56.0557	29.6676	185.9138
215.2	151.8146	57.5382	31.0153	196.0130
215.4	152.2022	59.1195	33.5130	204.8828
215.6	194.9347	61.3297	31.5633	217.9679
215.8	167.6091	63.9084	33.5310	223.6761
216.0	227.9774	65.9030	33.1267	258.1013
216.2	246.8727	67.6730	35.4807	284.0959
216.4	268.6750	70.4762	37.7808	267.3224
216.6	247.6479	71.8958	38.8410	261.7898
216.8	281.0781	73.9982	39.5328	328.7082
217.0	280.5936	76.2084	42.2192	348.1163
217.2	302.5898	79.3351	43.9892	351.8925
217.4	304.5278	80.7008	44.2677	361.9917
217.6	330.6905	82.9470	45.0854	381.8389
217.8	349.1014	84.9955	47.5022	390.3574
218.0	394.7409	87.0979	48.2300	429.0858
218.2	380.7874	88.9398	51.1500	405.7258
218.4	419.6440	91.9227	50.6828	448.9330
218.6	418.4812	93.5669	51.6891	461.6668
218.8	440.7681	95.9030	54.6810	487.3101
219.0	465.4774	98.2570	56.6487	508.1233
219.2	479.6246	100.0809	58.1042	520.6815
219.4	485.9231	102.1923	58.8500	531.3955
219.6	512.2797	104.6451	61.3567	563.1861
219.8	519.0626	106.9901	63.1986	589.3563
220.0	528.1712	108.7421	65.1303	614.6483
220.2	532.7254	110.0539	65.7412	635.8128
220.4	534.6634	111.8419	67.5382	643.1896
220.6	526.4270	113.3154	68.9398	660.0509
220.8	527.5898	115.4987	70.3684	686.6602
221.0	511.0200	117.6909	72.3630	695.7934
221.2	507.0471	119.5508	73.4412	721.7880
221.4	499.5859	121.7071	74.9775	731.7116
221.6	484.2758	123.2974	76.8643	751.1197
221.8	479.0433	125.4717	77.3854	754.9838
222.0	465.0898	127.6460	78.7601	760.5164
222.2	457.1440	129.3621	80.0719	766.0490
222.4	445.6130	130.6469	80.6739	766.7516
222.6	432.3378	132.1114	81.1051	752.1735
222.8	421.5820	133.7197	81.4376	750.6806
223.0	388.7332	123.0548	73.8005	653.5523
223.2	353.2681	123.4591	74.1150	641.2576
223.4	370.1285	124.1959	74.3756	621.9373
223.6	350.9425	126.4690	74.7170	605.6029
223.8	341.8340	127.9425	75.7772	589.0050
224.0	346.1944	130.1078	76.4241	581.1013
224.2	330.4967	132.1563	76.9272	562.5714
224.4	335.5355	134.0341	77.2956	548.6081
224.6	326.5239	135.1123	77.3315	533.4153
224.8	321.0975	136.1905	77.2327	518.7495
225.0	319.9347	138.0503	77.1159	498.9023
225.2	314.5084	138.3558	76.8014	480.4602
225.4	310.9231	139.8023	76.5948	469.4827
225.6	306.1750	140.8625	76.4780	454.0265
225.8	310.3417	142.3001	76.2534	443.7516
226.0	302.5898	144.6721	75.5795	429.3493
226.2	298.8107	146.0916	75.6783	417.4058
226.4	305.5936	147.1788	75.1932	414.8590
226.6	300.3611	148.9578	74.8068	400.4567
226.8	301.8146	149.8473	74.1240	389.5671
227.0	301.2332	150.5750	73.5130	380.6973
227.2	303.8495	151.7610	72.4798	377.5358
227.4	301.8146	151.7880	71.2309	368.3147
227.6	303.8495	152.4888	70.3414	361.6405
227.8	306.3688	153.1896	69.3711	355.0540
228.0	304.0433	153.9892	68.5265	348.1163
228.2	306.3688	154.4564	67.4933	342.6715
228.4	308.5975	154.7439	66.5499	338.5440
228.6	307.5316	154.7709	65.4897	332.3966
228.8	309.7603	154.7709	64.5193	329.3229
229.0	310.4386	154.6631	63.6478	325.7223
229.2	312.0859	154.8967	62.8571	322.5608
229.4	313.5394	154.7709	61.9497	319.8384
229.6	314.7022	154.1509	61.1500	318.6089
229.8	315.3805	152.8212	60.2246	314.4814
230.0	315.8650	151.3387	59.1914	312.1981
230.2	317.3184	149.6137	58.1402	309.1244
230.4	319.2564	147.6640	56.9182	307.1046
230.6	320.0316	145.7502	55.6783	304.1187
230.8	321.0975	143.4322	54.4654	301.9232
231.0	322.3572	141.2399	53.2165	298.0592
231.2	323.8107	139.4879	52.1923	296.9175
231.4	325.3611	137.6730	51.2668	294.1073
231.6	325.9425	135.9838	50.3953	292.2631
231.8	327.9774	133.9712	49.3980	291.3849
232.0	328.2681	131.8419	48.5265	289.7163
232.2	330.4967	129.4160	47.5472	288.5747
232.4	330.3998	126.7655	46.4690	286.3792
232.6	332.2409	124.0252	45.3998	283.6568
232.8	332.5316	121.4016	44.3037	282.2517
233.0	334.8572	118.7332	43.2345	280.6709
233.2	335.2448	116.0916	42.1114	279.6171
233.4	337.1828	113.3243	41.1051	278.3876
233.6	337.7642	110.9075	40.0898	276.1043
233.8	338.7332	108.4726	39.1644	273.6454
234.0	339.3146	106.1725	38.2929	272.6794
234.2	340.6712	104.1689	37.5831	271.3621
234.4	341.5433	101.9407	36.8643	270.3082
234.6	342.4153	99.7934	36.0018	268.9031
234.8	343.7719	97.5472	35.2022	268.2884
235.0	343.6750	95.2740	34.3935	266.4442
235.2	345.2254	92.8931	33.5220	266.3564
235.4	345.2254	90.5571	32.7583	264.3365
235.6	346.2913	88.1761	31.9048	262.6680
235.8	348.0355	85.8131	31.0602	262.1410
236.0	348.1324	83.5490	30.2516	260.2968
236.2	349.4890	81.4825	29.4879	259.9456
236.4	350.5549	79.4969	28.7332	259.1552
236.6	349.9735	77.7089	28.0773	258.1892
236.8	350.7487	75.9479	27.4394	257.3110
237.0	351.1363	74.1420	26.7745	256.2571
237.2	351.2332	72.3360	26.0018	256.0815
237.4	351.3301	70.3684	25.2740	255.8180
237.6	350.7487	68.5445	24.5732	253.9738
237.8	350.2642	66.7835	23.9353	253.8860
238.0	351.7177	65.2022	23.1896	253.8860
238.2	350.6518	63.6388	22.5786	252.6565
238.4	350.6518	62.2552	22.0036	251.7783
238.6	351.9115	61.0153	21.4465	253.0078
238.8	350.6518	59.8023	20.7637	252.2174
239.0	350.1673	58.3558	20.2965	251.6905
239.2	349.9735	56.9452	19.7664	251.6027
239.4	348.2293	55.6065	19.1734	251.4271
239.6	347.7448	54.3486	18.5445	251.0758
239.8	346.8727	53.1177	18.0952	251.1636
240.0	346.4851	51.8958	17.5831	251.5149
240.2	345.3223	50.7188	17.0620	251.4271
240.4	344.2564	49.6047	16.6577	251.1636
240.6	342.6091	48.4726	16.1366	250.7245
240.8	342.4153	47.3495	15.7143	251.2514
241.0	340.9619	46.2264	15.2471	251.0758
241.2	339.7022	45.2201	14.8518	251.6027
241.4	339.0239	44.1779	14.4205	251.5149
241.6	338.0549	43.1986	13.9982	251.3392
241.8	335.9231	42.2102	13.5939	251.7783
242.0	334.6634	41.2848	13.1536	251.8662
242.2	333.7913	40.4223	12.8841	252.1296
242.4	332.4347	39.5418	12.4978	252.3931
242.6	330.8843	38.7421	12.1743	252.4809
242.8	330.0122	37.9964	11.9137	252.6565
243.0	328.5588	37.2327	11.6173	252.7444
243.2	327.2022	36.5229	11.3836	253.0078
243.4	325.8456	35.8491	11.0872	252.8322
243.6	324.5859	35.1752	10.8176	253.0956
243.8	323.3262	34.4205	10.5750	253.5347
244.0	321.6789	33.7017	10.3235	253.4469
244.2	320.0316	32.9021	10.0539	253.7982
244.4	318.6750	32.0665	9.6855	254.0616
244.6	316.4464	31.3297	9.4160	254.1495
244.8	315.2836	30.7098	9.1465	254.5886
245.0	312.7642	29.9281	8.8050	254.6764
245.2	311.4076	29.3531	8.5714	254.5007
245.4	309.4696	28.6523	8.3109	254.7642
