Date,Daily_UVB_dose_0.6m_subsurface_Palmer_kJ_m2
10/20/13,NaN
10/21/13,8.586974762
10/22/13,12.92457485
10/23/13,12.97973993
10/24/13,12.58076941
10/25/13,11.51449908
10/26/13,10.32408445
10/27/13,11.86247053
10/28/13,13.74635897
10/29/13,8.303261675
10/30/13,NaN
10/31/13,NaN
11/1/13,NaN
11/2/13,NaN
11/3/13,NaN
11/4/13,NaN
11/5/13,NaN
11/6/13,NaN
11/7/13,NaN
11/8/13,16.93215473
11/9/13,14.56956264
11/10/13,20.97196259
11/11/13,NaN
11/12/13,NaN
11/13/13,NaN
11/14/13,NaN
11/15/13,21.46545593
11/16/13,15.37981306
11/17/13,11.95272984
11/18/13,16.74660238
11/19/13,22.26620384
11/20/13,26.88809156
11/21/13,13.2243972
11/22/13,16.42020494
11/23/13,17.35466553
11/24/13,17.62061141
11/25/13,16.35056141
11/26/13,22.62220206
11/27/13,18.62104475
11/28/13,22.58878335
11/29/13,16.48846455
11/30/13,16.61061138
12/1/13,17.95902855
12/2/13,15.35234533
12/3/13,NaN
12/4/13,NaN
12/5/13,NaN
12/6/13,NaN
12/7/13,NaN
12/8/13,NaN
12/9/13,NaN
12/10/13,NaN
12/11/13,NaN
12/12/13,NaN
12/13/13,NaN
12/14/13,NaN
12/15/13,NaN
12/16/13,17.13707835
12/17/13,19.65983086
12/18/13,20.359255
12/19/13,20.67400952
12/20/13,26.34718444
12/21/13,NaN
