"","match_ID","compound_name","elem_formula","LOBdbase_mz","peakgroup_mz","LOBdbase_ppm_match","peakgroup_rt","peakgroup_mzmin","peakgroup_mzmax","peakgroup_rtmin","peakgroup_rtmax","Dark_control","QC","Tedlar_plus_mylar_no_UVB","Tedlar_UVB","Dark_control_final_QE002921","Dark_control_final_QE002922","Dark_control_final_QE002923","Dark_control_initial_QE002912","Dark_control_initial_QE002913","QC_QE002915","QC_QE002927","No_UVB_final_QE002918","No_UVB_final_QE002919","No_UVB_final_QE002920","Plus_UVB_final_QE002914","Plus_UVB_final_QE002916","Plus_UVB_final_QE002917","xcms_peakgroup","CAMERA_pseudospectrum","LOBdbase_frag_ID","LOBdbase_exact_parent_neutral_mass","lipid_class","species","major_adduct","FA_total_no_C","FA_total_no_DB","degree_oxidation","C1","C1x","C2a","C2b","C3c","C3f","C3r","C4","C5","C6a","C6b","casecodes","iso_C3r.match_ID","iso_C3f.match_ID","iso_C3c.match_ID","ms2_conf","ms2_present","neg_mode.conf","rm.flag_auto"
"1",1,"DNPPE","C43H76N3O12P1",875.55048761,875.550438433107,0.0561668270876701,933.397115357367,875.550202673772,875.550608935609,932.393396996704,934.022624705371,5,2,3,3,752072827.437087,728742060.744466,772008385.363354,459528331.684023,1621175105.69116,406494312.310144,382028816.836911,908773113.771723,886700568.665742,658290816.697127,2864767105.91865,1196376654.04083,618211730.742644,13711,3,19803,857.51666202,"DNPPE","DNPPE","[M+NH4]+",NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,"C2a","","","",NA,NA,1,NA
"23",2,"TAG 34:1 +2O","C37H68O8",658.52524527,658.525213707112,0.0479296559898103,933.075714728791,658.525026221196,658.525937228699,927.108061721325,936.941812476822,2,0,2,3,665158.697805117,528752.512925904,1387431.13065642,755025.7325411,1971030.06256854,114188.067672315,34937.1165085082,1629506.06255628,672794.848183593,975103.032523327,1296624.83266352,1632310.24479165,2070976.39573839,8671,3,58309,640.49141968,"TAG","TAG","[M+NH4]+",34,1,2,0,0,1,0,0,1,0,0,0,0,0,"C2a; C3f","","2, 16, 17","",NA,NA,0,1
"138",3,"PE 30:0","C35H70N1O8P1",664.49118174,664.491371112525,-0.284988770020615,933.941290896115,664.491297437941,664.49162148305,932.565054658554,935.806225087662,5,2,3,3,8095661.92979376,8730201.51645789,9108883.33367969,7256658.88964843,6974824.01133531,1221198.07634375,934510.605906328,11038010.399039,8299675.57348458,8599494.65648015,6937059.14357929,1033586.12841602,5380012.4577206,8787,3,21307,663.48390528,"IP_DAG","PE","[M+H]+",30,0,0,0,0,1,0,0,1,0,0,0,0,0,"C2a; C3f","","3, 4","",NA,0,1,NA
"1381",4,"PC 27:0","C35H70N1O8P1",664.49118174,664.491371112525,-0.284988770020615,933.941290896115,664.491297437941,664.49162148305,932.565054658554,935.806225087662,5,2,3,3,8095661.92979376,8730201.51645789,9108883.33367969,7256658.88964843,6974824.01133531,1221198.07634375,934510.605906328,11038010.399039,8299675.57348458,8599494.65648015,6937059.14357929,1033586.12841602,5380012.4577206,8787,3,35252,663.48390528,"IP_DAG","PC","[M+H]+",27,0,0,0,0,1,0,0,1,0,0,0,0,0,"C2a; C3f","","3, 4","",NA,0,0,1
"147",5,"PE 33:0","C38H76N1O8P1",706.53813198,706.537715862316,0.588952903183996,932.246022825277,706.537597679324,706.538206642128,928.229581534605,934.022624705371,5,2,3,2,9478218.99342595,7246147.7305,5316945.11181641,10772860.4151703,16823274.8272331,1010901.14434642,934052.10185609,9175972.78682487,7622678.71887925,6124528.45881857,14050323.8794556,68949.2810979694,5911569.45523249,9635,3,21932,705.53085552,"IP_DAG","PE","[M+H]+",33,0,0,0,0,1,0,0,1,1,0,0,0,0,"C2a; C3f; C3r","5, 995","5, 6","",NA,0,0,1
"1471",6,"PC 30:0","C38H76N1O8P1",706.53813198,706.537715862316,0.588952903183996,932.246022825277,706.537597679324,706.538206642128,928.229581534605,934.022624705371,5,2,3,2,9478218.99342595,7246147.7305,5316945.11181641,10772860.4151703,16823274.8272331,1010901.14434642,934052.10185609,9175972.78682487,7622678.71887925,6124528.45881857,14050323.8794556,68949.2810979694,5911569.45523249,9635,3,35827,705.53085552,"IP_DAG","PC","[M+H]+",30,0,0,0,0,1,0,0,1,1,0,0,0,0,"C2a; C3f; C3r","6, 996","5, 6","",NA,0,1,NA
"32",7,"MGDG 31:1","C40H74O10",732.56202475,732.561665502023,0.49039939887454,929.563407043874,732.551498015811,732.564281012884,929.385550597336,930.732432003642,2,0,2,1,708838.430774225,189285.770286698,185555.581609744,406090.446419922,96027.761747405,0,0,419389.239076302,244827.414912306,631630.844624718,214936.869734217,0,457932.282694499,10272,3,52405,714.52819916,"IP_DAG","MGDG","[M+NH4]+",31,1,0,0,0,1,0,0,1,0,0,0,0,0,"C2a; C3f","","7, 8, 20, 21","",NA,0,0,NA
"321",8,"TAG 37:1 +4O","C40H74O10",732.56202475,732.561665502023,0.49039939887454,929.563407043874,732.551498015811,732.564281012884,929.385550597336,930.732432003642,2,0,2,1,708838.430774225,189285.770286698,185555.581609744,406090.446419922,96027.761747405,0,0,419389.239076302,244827.414912306,631630.844624718,214936.869734217,0,457932.282694499,10272,3,59128,714.52819916,"TAG","TAG","[M+NH4]+",37,1,4,0,0,1,0,0,1,0,0,0,0,0,"C2a; C3f","","7, 8, 20, 21","",NA,NA,0,1
"163",9,"PG 33:0","C39H77O10P1",754.55926138,754.559295913687,-0.0457666995011285,935.015992716878,754.559097503143,754.559610765459,932.565054658554,936.941812476822,4,0,3,2,2158721.58658928,2799070.52795563,3275016.96060204,982122.228885204,939245.312163768,26932.9640698188,0,3528980.53317505,2487680.59237823,2989136.77439316,1888766.71250526,53759.9835272259,2079194.2512,10863,3,28959,736.52543579,"IP_DAG","PG","[M+NH4]+",33,0,0,0,0,1,0,0,0,1,0,0,0,0,"C2a; C3r","9, 2634","","",NA,0,1,NA
"29",10,"DGTS_DGTA 33:2","C43H79N1O7",722.59293097,722.592845848997,0.117799385563258,933.005358228622,722.592734480489,722.592999305795,930.414098412882,934.67405639475,5,0,3,2,2980569.96037741,2932805.11112696,4367524.97196614,4217476.76574,9100361.54315822,0,0,4651330.02547119,2691912.14229895,3054287.92267958,6315965.75121318,0,2616277.07780165,10024,3,15376,721.58565451,"IP_DAG","DGTS_DGTA","[M+H]+",33,2,0,0,0,0,1,0,1,0,0,0,0,0,"C2b; C3f","","10, 19","",NA,0,0,NA
