"PAL1314_LMG1401_particulate_pos_withoddFA.csv, lipids identified in particulate (0.2 um) samples from Arthur Harbor and along PAL-LTER cruise grid, 2014-2014 (PAL1314 and LMG1401)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Identifications were made by J. Collins, james.r.collins@aya.yale.edu, using v1.1.1 of the LOBSTAHS lipidomics software package for R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values in columns 13-17 of this speadsheet are raw chromatographic peak areas; the .xlsx file PAL1314_LMG1401_particulate_IP-DAG_pmol_mL.xlsx contains mass data for unoxidized IP-DAG obtained using authentic standards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,match_ID,compound_name,elem_formula,LOBdbase_mz,peakgroup_mz,LOBdbase_ppm_match,peakgroup_rt,peakgroup_mzmin,peakgroup_mzmax,peakgroup_rtmin,peakgroup_rtmax,samples,LMG1401_004_QE003116,LMG1401_008_QE003117,LMG1401_009_QE003118,LMG1401_010_QE003119,PAL1314_Stn_E_3m_2Jan14_0.2um_QE003120,xcms_peakgroup,CAMERA_pseudospectrum,LOBdbase_frag_ID,LOBdbase_exact_parent_neutral_mass,lipid_class,species,major_adduct,FA_total_no_C,FA_total_no_DB,degree_oxidation,C1,C1x,C2a,C2b,C3c,C3f,C3r,C4,C5,C6a,C6b,casecodes,iso_C3r.match_ID,iso_C3f.match_ID,iso_C3c.match_ID,ms2_conf,ms2_present,neg_mode.conf,rm.flag_auto
1,1,TAG 48:1,C51H96O6,822.7545172,822.7551841,-0.810682085,1272.22407,822.7551635,822.7554181,1272.01227,1273.325647,5,17946661192,1114133504,946146328,1246041653,1523165642,15216,1,63335,804.7206916,TAG,TAG,[M+NH4]+,48,1,0,0,0,1,0,0,0,0,0,0,0,0,C2a,,,,NA,NA,0,1
32,2,TAG 50:2,C53H98O6,848.7701672,848.7704593,-0.344063612,1272.01227,848.7702212,848.7705364,1270.767412,1272.22407,5,25578168224,1447901194,1178484730,1671643825,2473031149,16215,1,64280,830.7363416,TAG,TAG,[M+NH4]+,50,2,0,0,0,1,0,0,0,0,0,0,0,0,C2a,,,,NA,NA,0,1
17,3,TAG 46:0,C49H94O6,796.7388671,796.7395062,-0.80213815,1272.997356,796.7394693,796.739712,1272.063232,1274.28107,5,115439950.9,49009745.78,71914741.21,70832381.93,44179963.69,14178,1,62390,778.7050415,TAG,TAG,[M+NH4]+,46,0,0,0,0,1,0,0,0,0,0,0,0,0,C2a,,,,NA,NA,0,1
65,4,TAG 52:3,C55H100O6,874.7858173,874.7860499,-0.2658256,1270.029405,874.7856113,874.786143,1269.745027,1271.122195,5,1824198758,522795558.4,502278624.9,580696185.5,579182731.8,17189,1,65295,856.7519917,TAG,TAG,[M+NH4]+,52,3,0,0,0,1,0,0,0,0,0,0,0,0,C2a,,,,NA,NA,0,1
79,5,TAG 54:4,C57H102O6,900.8014674,900.8017951,-0.363824994,1269.745027,900.8015965,900.8018803,1267.816547,1271.122195,5,659622786.8,113609095.3,181655928.6,123920313.4,447395244.4,18220,1,66380,882.7676418,TAG,TAG,[M+NH4]+,54,4,0,0,0,0,1,0,0,0,0,0,0,0,C2b,,,,NA,NA,0,1
52,6,PE 48:2 +3O,C53H102N1O11P1,960.7263269,960.7244874,1.914635949,1271.122195,960.7243568,960.7249085,1263.3485,1274.237189,5,4528145.146,3657214.425,2843132.344,4065463.344,6751003.899,20491,1,25747,959.7190504,IP_DAG,PE,[M+H]+,48,2,3,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"6, 7, 8",,NA,0,0,NA
521,7,PG 47:3 +1O,C53H99O11P1,960.7263269,960.7244874,1.914635949,1271.122195,960.7243568,960.7249085,1263.3485,1274.237189,5,4528145.146,3657214.425,2843132.344,4065463.344,6751003.899,20491,1,33285,942.6925013,IP_DAG,PG,[M+NH4]+,47,3,1,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"6, 7, 8",,NA,0,0,NA
522,8,PC 45:2 +3O,C53H102N1O11P1,960.7263269,960.7244874,1.914635949,1271.122195,960.7243568,960.7249085,1263.3485,1274.237189,5,4528145.146,3657214.425,2843132.344,4065463.344,6751003.899,20491,1,39592,959.7190504,IP_DAG,PC,[M+H]+,45,2,3,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"6, 7, 8",,NA,0,0,NA
113,9,PE 45:0 +4O,C50H100N1O12P1,938.7055914,938.7037411,1.971180199,1271.567233,938.7034895,938.7038891,1270.767412,1272.063232,4,2917382.639,5349282.555,5335340.359,5394429.188,6085181.09,19718,1,25027,937.698315,IP_DAG,PE,[M+H]+,45,0,4,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"9, 10, 11",,NA,0,0,NA
1131,10,PG 44:1 +2O,C50H97O12P1,938.7055914,938.7037411,1.971180199,1271.567233,938.7034895,938.7038891,1270.767412,1272.063232,4,2917382.639,5349282.555,5335340.359,5394429.188,6085181.09,19718,1,32301,920.6717658,IP_DAG,PG,[M+NH4]+,44,1,2,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"9, 10, 11",,NA,0,0,NA
1132,11,PC 42:0 +4O,C50H100N1O12P1,938.7055914,938.7037411,1.971180199,1271.567233,938.7034895,938.7038891,1270.767412,1272.063232,4,2917382.639,5349282.555,5335340.359,5394429.188,6085181.09,19718,1,38697,937.698315,IP_DAG,PC,[M+H]+,42,0,4,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"9, 10, 11",,NA,0,0,NA
116,12,PE 46:1 +3O,C51H100N1O11P1,934.7106768,934.7092165,1.562267983,1274.237189,934.7091769,934.709532,1272.997356,1281.143418,5,6742879.514,3435111.695,3075117.314,3934078.512,3759639.167,19567,1,25272,933.7034003,IP_DAG,PE,[M+H]+,46,1,3,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"12, 13, 14",,NA,0,0,NA
1161,13,PG 45:2 +1O,C51H97O11P1,934.7106768,934.7092165,1.562267983,1274.237189,934.7091769,934.709532,1272.997356,1281.143418,5,6742879.514,3435111.695,3075117.314,3934078.512,3759639.167,19567,1,32715,916.6768512,IP_DAG,PG,[M+NH4]+,45,2,1,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"12, 13, 14",,NA,0,0,NA
1162,14,PC 43:1 +3O,C51H100N1O11P1,934.7106768,934.7092165,1.562267983,1274.237189,934.7091769,934.709532,1272.997356,1281.143418,5,6742879.514,3435111.695,3075117.314,3934078.512,3759639.167,19567,1,39017,933.7034003,IP_DAG,PC,[M+H]+,43,1,3,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"12, 13, 14",,NA,0,0,NA
124,15,TAG 59:7,C62H106O6,964.8327676,964.8334646,-0.72247508,1268.240813,964.8334148,964.8335144,1266.736599,1269.745027,2,9723278.416,2548154.793,6028780.478,5842254.961,813514.8212,20655,1,69250,946.798942,TAG,TAG,[M+NH4]+,59,7,0,1,0,0,0,0,0,1,0,0,0,0,C1; C3r,"15, 1612",,,NA,NA,0,1
131,16,MGDG 46:2 +3O,C55H102O13,988.7658697,988.7638985,1.993615589,1269.792237,988.763749,988.764048,1269.745027,1269.839446,2,911737.7876,806930.3358,1884560.912,860319.4629,4640461.502,21340,1,56170,970.7320441,IP_DAG,MGDG,[M+NH4]+,46,2,3,1,0,0,0,0,0,0,0,0,0,0,C1,,,,NA,0,0,NA
135,17,TAG 60:5 +2O,C63H112O8,1014.869547,1014.870477,-0.916286714,1271.122195,1014.870197,1014.870574,1270.767412,1272.01227,3,4090587.813,2958737.723,5445121.374,3576691.478,126251.94,21943,1,69719,996.8357214,TAG,TAG,[M+NH4]+,60,5,2,1,0,0,0,0,0,0,0,0,0,0,C1,,,,NA,NA,0,1
148,18,TAG 50:0 +1O,C53H102O7,868.796382,868.7954874,1.029706151,1274.687785,868.7954584,868.7955164,1272.01227,1277.363299,2,619271.447,1886752.01,2643099.298,2820224.516,314037.7312,16960,1,64217,850.7625564,TAG,TAG,[M+NH4]+,50,0,1,1,0,0,0,0,0,0,0,0,0,0,C1,,,,NA,NA,0,1
1104,19,TAG 44:0,C47H90O6,768.7075669,768.7082319,-0.865113489,1227.741191,768.7080865,768.7083454,1226.004173,1228.67499,5,175444786.6,46115341.3,62073991.68,55865717.76,37529378.13,13087,2,61550,750.6737413,TAG,TAG,[M+NH4]+,44,0,0,0,0,0,1,0,0,0,0,0,0,0,C2b,,,,NA,NA,0,1
22,20,TAG 46:1,C49H92O6,794.723217,794.7238424,-0.786939093,1228.478482,794.7237719,794.7238693,1227.218607,1229.941517,5,18943109656,1165376752,1177073743,1282757088,1435549478,14098,2,62425,776.6893914,TAG,TAG,[M+NH4]+,46,1,0,0,0,1,0,0,0,0,0,0,0,0,C2a,,,,NA,NA,0,1
34,21,TAG 48:2,C51H94O6,820.7388671,820.7393235,-0.55617649,1226.411254,820.7389303,820.7393542,1226.004173,1227.741191,5,12674682243,1840263820,1878592668,1859215324,1319641333,15133,2,63370,802.7050415,TAG,TAG,[M+NH4]+,48,2,0,0,0,1,0,0,0,0,0,0,0,0,C2a,,,,NA,NA,0,1
525,22,TAG 50:3,C53H96O6,846.7545172,846.754735,-0.257312887,1226.411254,846.7543445,846.7548016,1226.004173,1227.741191,5,7091566867,963549545.9,917856597.8,911484300.9,1282086725,16139,2,64315,828.7206916,TAG,TAG,[M+NH4]+,50,3,0,0,0,1,0,0,0,0,0,0,0,0,C2a,,,,NA,NA,0,1
67,23,TAG 52:4,C55H98O6,872.7701672,872.7705071,-0.38942281,1227.741191,872.7703699,872.7705213,1226.258538,1228.67499,5,901463339.8,480672661.1,464827079.1,470851985.8,833102262.2,17107,2,65330,854.7363416,TAG,TAG,[M+NH4]+,52,4,0,0,0,1,0,0,0,0,0,0,0,0,C2a,,,,NA,NA,0,1
1134,24,TAG 54:5,C57H100O6,898.7858173,898.7863026,-0.539990739,1230.708425,898.7861681,898.7864201,1227.741191,1231.608893,5,619778537.2,220986552.5,240577028.1,239634678,581154937.3,18158,2,66415,880.7519917,TAG,TAG,[M+NH4]+,54,5,0,0,0,0,1,0,0,0,0,0,0,0,C2b,,,,NA,NA,0,1
152,25,TAG 68:11 +2O,C71H116O8,1114.900847,1114.901585,-0.661710571,1225.039924,1114.901298,1114.90173,1223.351265,1226.411254,5,83110221.08,26383531.59,34385577.97,27635427.98,15958080.93,23560,2,74549,1096.867022,TAG,TAG,[M+NH4]+,68,11,2,0,0,0,1,0,0,0,0,0,0,0,C2b,,,,NA,NA,0,1
158,26,TAG 70:12 +2O,C73H118O8,1140.916497,1140.917217,-0.630929758,1230.141942,1140.917196,1140.917407,1228.478482,1234.715138,4,68295830.24,31782339.66,40413020.76,31865290.39,46946401.67,23889,2,75634,1122.882672,TAG,TAG,[M+NH4]+,70,12,2,0,0,0,1,0,0,0,0,0,0,0,C2b,,,,NA,NA,0,1
117,27,PE 44:1 +3O,C49H96N1O11P1,906.6793766,906.6773845,2.197141207,1229.418851,906.6770484,906.6782511,1228.478482,1232.515387,5,9639534.668,3315901.376,2600982.11,3365084.137,2959381.12,18454,2,24722,905.6721002,IP_DAG,PE,[M+H]+,44,1,3,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"27, 28, 29",,NA,0,0,NA
1171,28,PG 43:2 +1O,C49H93O11P1,906.6793766,906.6773845,2.197141207,1229.418851,906.6770484,906.6782511,1228.478482,1232.515387,5,9639534.668,3315901.376,2600982.11,3365084.137,2959381.12,18454,2,32055,888.6455511,IP_DAG,PG,[M+NH4]+,43,2,1,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"27, 28, 29",,NA,0,0,NA
1172,29,PC 41:1 +3O,C49H96N1O11P1,906.6793766,906.6773845,2.197141207,1229.418851,906.6770484,906.6782511,1228.478482,1232.515387,5,9639534.668,3315901.376,2600982.11,3365084.137,2959381.12,18454,2,38492,905.6721002,IP_DAG,PC,[M+H]+,41,1,3,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"27, 28, 29",,NA,0,0,NA
132,30,PE 46:2 +3O,C51H98N1O11P1,932.6950267,932.693537,1.597241562,1228.67499,932.6932512,932.6935654,1226.258538,1229.418851,3,1487373.531,4112338.744,3946252.378,3108558.055,1355754.109,19486,2,25297,931.6877503,IP_DAG,PE,[M+H]+,46,2,3,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"30, 2114","30, 31, 32",,NA,0,0,NA
1321,31,PG 45:3 +1O,C51H95O11P1,932.6950267,932.693537,1.597241562,1228.67499,932.6932512,932.6935654,1226.258538,1229.418851,3,1487373.531,4112338.744,3946252.378,3108558.055,1355754.109,19486,2,32745,914.6612011,IP_DAG,PG,[M+NH4]+,45,3,1,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"31, 2115","30, 31, 32",,NA,0,0,NA
1322,32,PC 43:2 +3O,C51H98N1O11P1,932.6950267,932.693537,1.597241562,1228.67499,932.6932512,932.6935654,1226.258538,1229.418851,3,1487373.531,4112338.744,3946252.378,3108558.055,1355754.109,19486,2,39042,931.6877503,IP_DAG,PC,[M+H]+,43,2,3,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"32, 2116","30, 31, 32",,NA,0,0,NA
139,33,TAG 57:7,C60H102O6,936.8014674,936.8019738,-0.540599686,1229.046921,936.8018978,936.8023239,1221.148855,1236.887677,5,27329165.33,12396510.48,17108170.3,19734300.36,7551232.137,19651,2,68130,918.7676418,TAG,TAG,[M+NH4]+,57,7,0,1,0,0,0,0,0,0,0,0,0,0,C1,,,,NA,NA,0,1
144,34,PE 48:3 +3O,C53H100N1O11P1,958.7106768,958.7089074,1.845594915,1228.67499,958.7086778,958.7096665,1227.218607,1236.887677,5,1672376.49,900810.1445,1087464.395,1153321.705,2355834.074,20428,2,25772,957.7034003,IP_DAG,PE,[M+H]+,48,3,3,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"34, 1313","34, 35, 36",,NA,0,0,NA
1441,35,PG 47:4 +1O,C53H97O11P1,958.7106768,958.7089074,1.845594915,1228.67499,958.7086778,958.7096665,1227.218607,1236.887677,5,1672376.49,900810.1445,1087464.395,1153321.705,2355834.074,20428,2,33315,940.6768512,IP_DAG,PG,[M+NH4]+,47,4,1,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"35, 1314","34, 35, 36",,NA,0,0,NA
1442,36,PC 45:3 +3O,C53H100N1O11P1,958.7106768,958.7089074,1.845594915,1228.67499,958.7086778,958.7096665,1227.218607,1236.887677,5,1672376.49,900810.1445,1087464.395,1153321.705,2355834.074,20428,2,39617,957.7034003,IP_DAG,PC,[M+H]+,45,3,3,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"36, 1315","34, 35, 36",,NA,0,0,NA
151,37,TAG 64:11,C67H108O6,1026.848418,1026.84865,-0.22591805,1230.940196,1026.848559,1026.848759,1228.478482,1231.608893,3,1975574.395,7620347.691,9173308.617,9632968.296,1610290.463,22195,2,72190,1008.814592,TAG,TAG,[M+NH4]+,64,11,0,1,0,0,0,0,0,1,0,0,0,0,C1; C3r,"37, 318",,,NA,NA,0,1
1105,38,TAG 52:6,C55H94O6,868.7388671,868.7393043,-0.503244808,1178.999197,868.739238,868.7393711,1176.941172,1180.536525,5,12932835981,2277832275,2669443106,2686793129,1805010657,16955,3,65400,850.7050415,TAG,TAG,[M+NH4]+,52,6,0,0,0,1,0,0,0,0,0,0,0,0,C2a,,,,NA,NA,0,1
31,39,TAG 62:12,C65H102O6,996.8014674,996.8016405,-0.173625442,1175.588905,996.8012995,996.8018415,1174.507436,1178.381251,4,68431998.92,26231812.72,34444805.25,42570943.88,17754347.85,21548,3,71070,978.7676418,TAG,TAG,[M+NH4]+,62,12,0,0,0,1,0,0,0,0,0,0,0,0,C2a,,,,NA,NA,0,1
50,40,TAG 47:3,C50H90O6,804.7075669,804.7081437,-0.716792746,1178.609244,804.7080471,804.7082377,1174.712736,1179.300905,5,104944050.1,58552385.17,71599362.59,62559530.28,105214450.2,14485,3,62950,786.6737413,TAG,TAG,[M+NH4]+,47,3,0,0,0,1,0,0,0,0,0,0,0,0,C2a,,,,NA,NA,0,1
56,41,TAG 52:3 +1O,C55H100O7,890.7807319,890.7810289,-0.333383306,1176.363699,890.7806748,890.7813347,1174.055233,1185.730582,5,30680626.59,5743801.724,6716845.855,4377687.818,8583791.509,17835,3,65302,872.7469063,TAG,TAG,[M+NH4]+,52,3,1,0,0,0,1,0,1,0,0,0,0,0,C2b; C3f,,"41, 47",,NA,NA,0,1
