"UNC_Marchetti_diatom_cultures_IP-DAG_pmol_total_man_ann.csv, exported from first sheet of UNC_Marchetti_diatom_cultures_IP-DAG_pmol_totals.xlsx after manual curation was performed on the Marchetti diatom culture data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results are in rm.flag_manual and complement the automatic removal flag annotations in rm.flag_auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This file was generated for re-importation back into R at approx. line 1482 in PAL1314_PAL1516_environmental_samples.R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ms2_conf,ms2_present,neg_mode.conf,rm.flag_auto,rm.flag_manual,match_ID,compound_name,elem_formula,LOBdbase_mz,peakgroup_mz,LOBdbase_ppm_match,peakgroup_rt,peakgroup_mzmin,peakgroup_mzmax,peakgroup_rtmin,peakgroup_rtmax,cultures,QC,Marchetti_diatom_culture_extract_A_act_1_QE002909,Marchetti_diatom_culture_extract_A_act_2_QE002910,Marchetti_diatom_culture_extract_Ch_sp_DNA_QE002911,Marchetti_diatom_culture_extract_F_cyl_1_QE002907,Marchetti_diatom_culture_extract_F_cyl_1_QE002908,Marchetti_diatom_culture_extract_Thalass_1_QE002905,Marchetti_diatom_culture_extract_Thalass_2_QE002906,QC_QE002903,QC_QE002915,xcms_peakgroup,CAMERA_pseudospectrum,LOBdbase_frag_ID,LOBdbase_exact_parent_neutral_mass,lipid_class,species,major_adduct,FA_total_no_C,FA_total_no_DB,degree_oxidation,C1,C1x,C2a,C2b,C3c,C3f,C3r,C4,C5,C6a,C6b,casecodes,iso_C3r.match_ID,iso_C3f.match_ID,iso_C3c.match_ID
1006,NA,0,0,1,,1245,PE 21:0,C26H52N1O8P1,538.350331,538.3510712,-1.374989054,643.5920438,538.350941,538.3512015,643.5610754,643.6230123,2,0,0,0,0.450873376,0.007796983,0.185585444,0,0,0,0,3918,47,19932,537.3430546,IP_DAG,PE,[M+H]+,21,0,0,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"1245, 1246",
11067,NA,0,0,1,,3459,MGDG 20:2,C29H50O10,576.3742238,576.374251,-0.047221164,685.8759822,576.3741106,576.3744313,685.5728282,685.9409248,3,0,0.400255829,0.338861443,0,0,0,0.12065732,0.056377601,0,0,4813,2947,50730,558.3403982,IP_DAG,MGDG,[M+NH4]+,20,2,0,1,0,0,0,0,0,0,0,0,0,0,C1,,,
547,NA,0,0,1,,562,MGDG 20:1,C29H52O10,578.3898739,578.3895903,0.490303247,732.9926383,578.3894899,578.3896974,732.9679853,734.6661155,3,0,1.025249074,1.080287427,0,0.008763365,0.133134129,0,0,0,0,4871,21,50705,560.3560483,IP_DAG,MGDG,[M+NH4]+,20,1,0,1,0,0,0,0,0,0,0,0,0,0,C1,,,
11068,NA,0,0,1,,3460,PE 24:0,C29H58N1O8P1,580.3972813,580.3973696,-0.152291133,683.9007268,580.3972192,580.3975201,683.6647413,684.1367123,2,0,0,0,0,0,0,0.428593506,0.273124146,0,0,4925,2948,20307,579.3900048,IP_DAG,PE,[M+H]+,24,0,0,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"3460, 3461, 3462",
2292,NA,0,0,1,,3461,PC 21:0,C29H58N1O8P1,580.3972813,580.3973696,-0.152291133,683.9007268,580.3972192,580.3975201,683.6647413,684.1367123,2,0,0,0,0,0,0,0.308596921,0.196655501,0,0,4925,2948,34452,579.3900048,IP_DAG,PC,[M+H]+,21,0,0,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"3460, 3461, 3462",
10318,NA,0,0,1,,1968,MGDG 20:0,C29H54O10,580.405524,580.4054058,0.203583998,779.8011925,580.4052859,580.4055257,779.4913031,780.1110819,2,0,0.474921078,0.497386575,0,0.009555747,0,0,0,0,0,4926,72,50680,562.3716984,IP_DAG,MGDG,[M+NH4]+,20,0,0,1,0,0,0,0,0,0,0,0,0,0,C1,,,
12163,NA,0,0,1,,5053,DGTS_DGTA 23:2,C33H59N1O7,582.4364302,582.4367903,-0.618329784,783.2207443,582.4367067,582.4368739,782.6469705,783.7945182,2,0,0,0,0,0.001993016,0,0.031162597,0.024840305,0,0,4997,9620,13626,581.4291537,IP_DAG,DGTS_DGTA,[M+H]+,23,2,0,1,0,0,0,0,0,0,0,0,0,0,C1,,,
11069,NA,0,0,1,,3463,PE 25:2,C30H56N1O8P1,590.3816312,590.3823235,-1.172644296,687.3040863,590.3821552,590.3824918,686.40292,688.2052526,2,0,0,0,0,0,0,0.048647757,0.057663112,0,0,5182,2950,20482,589.3743547,IP_DAG,PE,[M+H]+,25,2,0,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"3463, 3464, 3465",
2293,NA,0,0,1,,3464,PC 22:2,C30H56N1O8P1,590.3816312,590.3823235,-1.172644296,687.3040863,590.3821552,590.3824918,686.40292,688.2052526,2,0,0,0,0,0,0,0.035027475,0.041518731,0,0,5182,2950,34627,589.3743547,IP_DAG,PC,[M+H]+,22,2,0,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"3463, 3464, 3465",
11790,NA,0,1,1,,4488,PE 25:0,C30H60N1O8P1,594.4129313,594.4126321,0.503483386,724.5424444,594.4125774,594.4126867,724.1342774,724.9506114,2,0,0,0,0,0,0,1.33391129,0.783241773,0,0,5309,7544,20432,593.4056549,IP_DAG,PE,[M+H]+,25,0,0,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"4488, 4489, 4490",
2475,NA,0,0,1,,4489,PC 22:0,C30H60N1O8P1,594.4129313,594.4126321,0.503483386,724.5424444,594.4125774,594.4126867,724.1342774,724.9506114,2,0,0,0,0,0,0,0.960445996,0.563951614,0,0,5309,7544,34577,593.4056549,IP_DAG,PC,[M+H]+,22,0,0,1,0,0,0,0,1,0,0,0,0,0,C1; C3f,,"4488, 4489, 4490",
12204,NA,0,0,1,,5132,MGDG 21:0,C30H56O10,594.421174,594.4210129,0.270994092,808.2155606,594.420895,594.4211309,807.6604381,808.7706831,2,0,0,0,0.03761342,0,0,0.273660376,0.134075936,0,0,5310,9975,50805,576.3873484,IP_DAG,MGDG,[M+NH4]+,21,0,0,1,0,0,0,0,0,0,0,0,0,0,C1,,,
