"","match_ID","compound_name","elem_formula","LOBdbase_mz","peakgroup_mz","LOBdbase_ppm_match","peakgroup_rt","peakgroup_mzmin","peakgroup_mzmax","peakgroup_rtmin","peakgroup_rtmax","cultures","QC","Marchetti_diatom_culture_extract_A_act_1_QE002909","Marchetti_diatom_culture_extract_A_act_2_QE002910","Marchetti_diatom_culture_extract_Ch_sp_DNA_QE002911","Marchetti_diatom_culture_extract_F_cyl_1_QE002907","Marchetti_diatom_culture_extract_F_cyl_1_QE002908","Marchetti_diatom_culture_extract_Thalass_1_QE002905","Marchetti_diatom_culture_extract_Thalass_2_QE002906","QC_QE002903","QC_QE002915","xcms_peakgroup","CAMERA_pseudospectrum","LOBdbase_frag_ID","LOBdbase_exact_parent_neutral_mass","lipid_class","species","major_adduct","FA_total_no_C","FA_total_no_DB","degree_oxidation","C1","C1x","C2a","C2b","C3c","C3f","C3r","C4","C5","C6a","C6b","casecodes","iso_C3r.match_ID","iso_C3f.match_ID","iso_C3c.match_ID","ms2_conf","ms2_present","neg_mode.conf","rm.flag_auto","rm.flag_manual"
"11811",392,"PG 34:4","C40H71O10P1",760.51231114,760.512033232261,0.365421749341319,766.880577475156,760.511744453749,760.512531134018,763.399657817807,773.988946371682,6,2,7.70683369299011,6.62118530225944,15.2156817174144,19.8423155236674,61.2735219941764,17.3827416733166,11.8224783611155,3687640.85740707,3799721.98571191,10679,17,29349,742.47848555,"IP_DAG","PG","[M+NH4]+",34,4,0,1,0,0,0,0,1,0,0,0,0,0,"C1; C3f","","391, 392, 393","",NA,0,1,NA,0
"244",419,"MGDG 38:8","C47H74O10",816.56202475,816.562681106712,-0.803805090042152,824.540652625482,816.561890954246,816.564006826702,824.185503671817,825.504903973187,4,0,1.69544947431251,1.58782982506595,1.42586609469006,1.24103560387613,3.82623520807852,0.0223919175350021,0.0529784788040771,0,0,13193,18,54205,798.52819916,"IP_DAG","MGDG","[M+NH4]+",38,8,0,0,0,1,0,0,1,0,0,0,0,0,"C2a; C3f","","419, 420, 427, 428","",NA,0,1,NA,0
"3212",431,"SQDG 35:6","C44H72O12S1",842.5082746,842.509741881107,-1.74156284437876,826.471947378232,842.508820213151,842.515180666187,823.150593300457,827.776328535717,5,2,122.284676917114,114.781201189432,1.74357308632001,5.15194655928693,16.552066360061,0.165148495652935,0.0639220067515071,5255208.69039212,5085428.91888429,14527,18,46059,824.47444901,"IP_DAG","SQDG","[M+NH4]+",35,6,0,1,0,0,0,1,0,0,0,0,0,0,"C1; C3c","","","430, 431",NA,0,0,NA,0
"481",466,"PC 44:0","C52H104N1O8P1",902.7572331,902.759336774417,-2.33027699971218,1169.04244939763,902.759136389414,902.759537159419,1168.35140172001,1169.73349707524,2,0,0,0,0,0.0163036237623756,0,87.4406663501072,68.6521787771829,0,0,17800,19,39202,901.74995664,"IP_DAG","PC","[M+H]+",44,0,0,1,0,0,0,0,1,0,0,0,0,0,"C1; C3f","","465, 466","",0,2,0,0,NA
"6411",517,"DGTS_DGTA 34:3","C44H79N1O7",734.59293097,734.593253092129,-0.438504259467591,1036.23469402696,734.593133919451,734.608715951618,1025.28553087878,1036.42240168649,3,0,0.00640727143606232,0,0.0967946385159516,0.00165982205449894,0.0304767867068383,0.77068940572073,0.516402614657653,0,0,9694,20,15626,733.58565451,"IP_DAG","DGTS_DGTA","[M+H]+",34,3,0,1,0,0,0,0,1,1,0,0,0,0,"C1; C3f; C3r","517, 1184, 3582","499, 517","",NA,0,0,NA,0
"763",525,"DGTS_DGTA 43:8","C53H87N1O7",850.65553129,850.656847620827,-1.54743110302746,1034.19689226876,850.655722839976,850.657392331826,1024.82461914434,1043.39381725797,7,0,0.0233342680480331,0.0282398399684809,0.0877399665469125,0.274123077506385,1.05988430622292,1.68371822110715,1.23637235621181,0,0,14963,20,18051,849.64825483,"IP_DAG","DGTS_DGTA","[M+H]+",43,8,0,1,0,0,0,0,1,0,0,0,0,0,"C1; C3f","","525, 526","",NA,0,0,NA,0
"1304",615,"SQDG 46:6","C55H94O12S1",996.68042548,996.679138753901,1.29101170903969,1093.82047100498,996.674220598552,996.68405690925,1090.15938284418,1097.48155916578,2,0,0,1.20382058360097,2327.80100763414,0,0,1.08215083877975,0.723901530903684,0,0,22149,22,49449,978.64659989,"IP_DAG","SQDG","[M+NH4]+",46,6,0,1,0,0,0,0,0,0,0,0,0,0,"C1","","","",0,1,0,NA,0
"951",621,"PC 32:5","C40H70N1O8P1",724.49118174,724.491023391806,0.21856469424784,718.144124385985,724.490535405467,724.491201165585,716.839318218828,720.524333726171,7,0,5.01098506521718,4.720451428401,2.56516648670272,1.29225164376843,4.00215559990391,1.99399137526966,1.34250355781662,0,0,9310,23,36352,723.48390528,"IP_DAG","PC","[M+H]+",32,5,0,0,0,1,0,0,1,1,0,0,0,0,"C2a; C3f; C3r","621, 4786","620, 621","",NA,0,1,NA,0
"100",627,"DGTS_DGTA 29:4","C39H67N1O7",662.49903049,662.498987636716,0.0646842968602018,722.676143819018,662.498844344133,662.499028845972,717.388202302031,726.063135402285,3,0,0.0214150812472282,0.0181982706286809,0.0457005398541625,0.0255912179804513,0.135120458788348,0.388135298862832,0.238965270391107,0,0,7236,23,14601,661.49175403,"IP_DAG","DGTS_DGTA","[M+H]+",29,4,0,1,0,0,0,0,0,1,0,0,0,0,"C1; C3r","385, 627, 3780","","",NA,0,0,NA,0
"1362",635,"SQDG 34:4","C43H74O12S1",832.52392468,832.523888833879,0.0430571662386341,721.609662624773,832.523870319487,832.523907348271,720.749650335826,722.469674913719,0,2,29.1430619930885,28.4331811805827,28.5884023738189,38.8955217368327,107.357597558678,14.9559968360302,5.17224485636882,2893863.86386973,3083224.6757489,13984,23,45699,814.49009909,"IP_DAG","SQDG","[M+NH4]+",34,4,0,1,0,0,0,0,0,1,0,0,0,0,"C1; C3r","635, 1886","","",NA,0,1,0,NA
