"UNC_Marchetti_diatom_cultures_all_LOBSTAHS_IDs_pos.csv, lipids identified in West Antarctic diatom isolates provided by A. Marchetti and C. Moreno, University of North Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Identifications were made by J. Collins, james.r.collins@aya.yale.edu, using v1.1.1 of the LOBSTAHS lipidomics software package for R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values in columns 14-22 of this speadsheet are raw chromatographic peak areas; the .xlsx file UNC_Marchetti_diatom_cultures_IP-DAG_pmol_totals.xlsx contains mass data for unoxidized IP-DAG obtained using authentic standards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,match_ID,compound_name,elem_formula,LOBdbase_mz,peakgroup_mz,LOBdbase_ppm_match,peakgroup_rt,peakgroup_mzmin,peakgroup_mzmax,peakgroup_rtmin,peakgroup_rtmax,cultures,QC,Marchetti_diatom_culture_extract_A_act_1_QE002909,Marchetti_diatom_culture_extract_A_act_2_QE002910,Marchetti_diatom_culture_extract_Ch_sp_DNA_QE002911,Marchetti_diatom_culture_extract_F_cyl_1_QE002907,Marchetti_diatom_culture_extract_F_cyl_1_QE002908,Marchetti_diatom_culture_extract_Thalass_1_QE002905,Marchetti_diatom_culture_extract_Thalass_2_QE002906,QC_QE002903,QC_QE002915,xcms_peakgroup,CAMERA_pseudospectrum,LOBdbase_frag_ID,LOBdbase_exact_parent_neutral_mass,lipid_class,species,major_adduct,FA_total_no_C,FA_total_no_DB,degree_oxidation,C1,C1x,C2a,C2b,C3c,C3f,C3r,C4,C5,C6a,C6b,casecodes,iso_C3r.match_ID,iso_C3f.match_ID,iso_C3c.match_ID,ms2_conf,ms2_present,neg_mode.conf,rm.flag_auto
1,1,PE 42:11 +2O,C47H72N1O10P1,842.4966611,842.4964846,0.209456376,461.9629636,842.4964404,842.4965288,461.5137941,462.4121331,2,0,21917.13996,24611.65271,38963.40628,18916.72606,969049.7778,1340576.912,1514784.977,0,0,14525,1,24442,841.4893846,IP_DAG,PE,[M+H]+,42,11,2,1,0,0,0,0,0,1,0,0,0,0,C1; C3r,"1, 2307, 3458, 3982",,,NA,0,0,NA
1100,2,TAG 50:6,C53H90O6,840.7075669,840.7075861,-0.022832701,1149.736507,840.7072166,840.7086046,1147.423333,1154.451004,7,1,507558604.8,479610374.7,4446035588,1003851654,1917439859,3303687921,2721274620,2254282.464,197290.9425,14455,2,64420,822.6737413,TAG,TAG,[M+NH4]+,50,6,0,0,0,1,0,0,0,0,0,0,0,0,C2a,,,,NA,NA,0,1
25,3,TAG 52:7,C55H92O6,866.723217,866.7229977,0.253007665,1151.441651,866.722654,866.7237964,1150.00611,1152.668233,7,1,851975495,795348131.2,14491656024,753436436.3,1442661840,4667885329,3800402984,1047848.412,393593.0546,15870,2,65435,848.6893914,TAG,TAG,[M+NH4]+,52,7,0,0,0,1,0,0,0,0,0,0,0,0,C2a,,,,NA,NA,0,1
11,4,TAG 47:4,C50H88O6,802.6919168,802.6921715,-0.317247731,1154.133378,802.6916916,802.6932727,1152.668233,1155.649911,7,0,37295940.09,34711885.78,11532753.33,7467473.6,14339588.78,135135789.1,106614196.8,0,0,12513,2,62985,784.6580912,TAG,TAG,[M+NH4]+,47,4,0,1,0,0,0,0,0,0,0,0,0,0,C1,,,,NA,NA,0,1
13,5,DGDG 23:4 +4O,C38H62O19,840.4223559,840.4218883,0.556367578,1149.989892,840.4218368,840.4279541,1147.423333,1150.40734,3,0,557073.3623,91390.31256,4019480.48,230439.2882,479117.452,1535998.976,3152263.77,0,0,14412,2,7097,822.3885303,IP_DAG,DGDG,[M+NH4]+,23,4,4,1,0,0,0,0,0,1,0,0,0,0,C1; C3r,"5, 1467",,,NA,0,0,1
48,6,TAG 57:7,C60H102O6,936.8014674,936.7997935,1.786800148,1151.182725,936.7995007,936.8002011,1150.40734,1151.932667,4,0,570957.6107,158504.6387,12513667.53,0,1152955.765,3572490.035,2660799.466,0,0,19561,2,68130,918.7676418,TAG,TAG,[M+NH4]+,57,7,0,1,0,0,0,0,0,0,0,0,0,0,C1,,,,NA,NA,0,1
67,7,TAG 45:3,C48H86O6,776.6762668,776.6764264,-0.205612244,1151.191104,776.6757646,776.6771417,1141.396488,1156.116341,7,0,7502689.588,6470815.063,2929723.585,765971.4366,1853281.358,3636377.898,3565372.942,0,0,11347,2,62075,758.6424412,TAG,TAG,[M+NH4]+,45,3,0,1,0,0,0,0,0,0,0,0,0,0,C1,,,,NA,NA,0,1
68,8,DGTS_DGTA 41:1,C51H97N1O7,836.7337817,836.7337832,-0.00175616,1148.984756,836.7336775,836.7345482,1144.512537,1149.989892,5,0,14449391.46,15295409.49,3301106.348,3874206.102,9199523.075,196934405.2,183964563.5,0,90443.47261,14228,2,17351,835.7265052,IP_DAG,DGTS_DGTA,[M+H]+,41,1,0,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"8, 1866","8, 9",,NA,0,0,NA
681,9,TAG 48:2 +1O,C51H94O7,836.7337817,836.7337832,-0.00175616,1148.984756,836.7336775,836.7345482,1144.512537,1149.989892,5,0,14449391.46,15295409.49,3301106.348,3874206.102,9199523.075,196934405.2,183964563.5,0,90443.47261,14228,2,63377,818.6999561,TAG,TAG,[M+NH4]+,48,2,1,1,0,0,0,0,1,1,0,0,0,0,C1; C3f; C3r,"9, 1867","8, 9",,NA,NA,0,1
88,10,PE 51:3 +1O,C56H106N1O9P1,968.7677978,968.7700795,-2.355258325,1150.58212,968.7692302,968.775968,1148.086135,1151.932667,6,0,759724.8622,359595.2267,8241886.289,709578.8533,2144772.907,55202265.31,46348181.04,0,0,21055,2,26237,967.7605213,IP_DAG,PE,[M+H]+,51,3,1,1,0,0,0,1,1,0,0,0,0,0,C1; C3c; C3f,,"10, 11","10, 11, 12",NA,0,0,1
