"","Date_raw_julian","E315.400_kJ_m2","Date","Date_simple"
"8501",41447.66667,9.7745,2013-06-22 17:00:00,2013-06-22
"8502",41448.66667,3.36327,2013-06-23 17:00:00,2013-06-23
"8503",41449.66667,7.19213,2013-06-24 17:00:00,2013-06-24
"8504",41450.66667,7.48223,2013-06-25 17:00:00,2013-06-25
"8505",41451.66667,13.465,2013-06-26 17:00:00,2013-06-26
"8506",41452.66667,11.8819,2013-06-27 17:00:00,2013-06-27
"8507",41453.66667,4.32311,2013-06-28 17:00:00,2013-06-28
"8508",41454.66667,2.71986,2013-06-29 17:00:00,2013-06-29
"8509",41455.66667,13.9467,2013-06-30 17:00:00,2013-06-30
"8510",41456.66667,6.23106,2013-07-01 17:00:00,2013-07-01
"8511",41457.66667,NA,2013-07-02 17:00:00,2013-07-02
"8512",41458.66667,7.63706,2013-07-03 17:00:00,2013-07-03
"8513",41459.66667,8.59122,2013-07-04 17:00:00,2013-07-04
"8514",41460.66667,8.19152,2013-07-05 17:00:00,2013-07-05
"8515",41461.66667,13.2093,2013-07-06 17:00:00,2013-07-06
"8516",41462.66667,10.296,2013-07-07 17:00:00,2013-07-07
"8517",41463.66667,15.4348,2013-07-08 17:00:00,2013-07-08
"8518",41464.66667,19.0315,2013-07-09 17:00:00,2013-07-09
"8519",41465.66667,8.56511,2013-07-10 17:00:00,2013-07-10
"8520",41466.66667,4.42413,2013-07-11 17:00:00,2013-07-11
"8521",41467.66667,23.5361,2013-07-12 17:00:00,2013-07-12
"8522",41468.66667,8.62347,2013-07-13 17:00:00,2013-07-13
"8523",41469.66667,18.5448,2013-07-14 17:00:00,2013-07-14
"8524",41470.66667,8.54583,2013-07-15 17:00:00,2013-07-15
"8525",41471.66667,9.77197,2013-07-16 17:00:00,2013-07-16
"8526",41472.66667,11.1444,2013-07-17 17:00:00,2013-07-17
"8527",41473.66667,NA,2013-07-18 17:00:00,2013-07-18
"8528",41474.66667,10.4261,2013-07-19 17:00:00,2013-07-19
"8529",41475.66667,24.7151,2013-07-20 17:00:00,2013-07-20
"8530",41476.66667,8.48072,2013-07-21 17:00:00,2013-07-21
"8531",41477.66667,23.2099,2013-07-22 17:00:00,2013-07-22
"8532",41478.66667,9.12535,2013-07-23 17:00:00,2013-07-23
"8533",41479.66667,28.3438,2013-07-24 17:00:00,2013-07-24
"8534",41480.66667,19.1349,2013-07-25 17:00:00,2013-07-25
"8535",41481.66667,21.4247,2013-07-26 17:00:00,2013-07-26
"8536",41482.66667,39.1559,2013-07-27 17:00:00,2013-07-27
"8537",41483.66667,34.3892,2013-07-28 17:00:00,2013-07-28
"8538",41484.66667,57.4278,2013-07-29 17:00:00,2013-07-29
"8539",41485.66667,NA,2013-07-30 17:00:00,2013-07-30
"8540",41486.66667,62.7245,2013-07-31 17:00:00,2013-07-31
"8541",41487.66667,68.5059,2013-08-01 17:00:00,2013-08-01
"8542",41488.66667,70.4782,2013-08-02 17:00:00,2013-08-02
"8543",41489.66667,73.7848,2013-08-03 17:00:00,2013-08-03
"8544",41490.66667,82.2946,2013-08-04 17:00:00,2013-08-04
"8545",41491.66667,73.8146,2013-08-05 17:00:00,2013-08-05
"8546",41492.66667,60.2814,2013-08-06 17:00:00,2013-08-06
"8547",41493.66667,42.9877,2013-08-07 17:00:00,2013-08-07
"8548",41494.66667,86.6657,2013-08-08 17:00:00,2013-08-08
"8549",41495.66667,62.4845,2013-08-09 17:00:00,2013-08-09
"8550",41496.66667,71.033,2013-08-10 17:00:00,2013-08-10
"8551",41497.66667,NA,2013-08-11 17:00:00,2013-08-11
"8552",41498.66667,NA,2013-08-12 17:00:00,2013-08-12
"8553",41499.66667,104.253,2013-08-13 17:00:00,2013-08-13
"8554",41500.66667,NA,2013-08-14 17:00:00,2013-08-14
"8555",41501.66667,94.4196,2013-08-15 17:00:00,2013-08-15
"8556",41502.66667,119.51,2013-08-16 17:00:00,2013-08-16
"8557",41503.66667,102.164,2013-08-17 17:00:00,2013-08-17
"8558",41504.66667,102.647,2013-08-18 17:00:00,2013-08-18
"8559",41505.66667,135.035,2013-08-19 17:00:00,2013-08-19
"8560",41506.66667,150.206,2013-08-20 17:00:00,2013-08-20
"8561",41507.66667,151.584,2013-08-21 17:00:00,2013-08-21
"8562",41508.66667,141.219,2013-08-22 17:00:00,2013-08-22
"8563",41509.66667,NA,2013-08-23 17:00:00,2013-08-23
"8564",41510.66667,177.185,2013-08-24 17:00:00,2013-08-24
"8565",41511.66667,189.241,2013-08-25 17:00:00,2013-08-25
"8566",41512.66667,91.0688,2013-08-26 17:00:00,2013-08-26
"8567",41513.66667,184.863,2013-08-27 17:00:00,2013-08-27
"8568",41514.66667,236.656,2013-08-28 17:00:00,2013-08-28
"8569",41515.66667,202.261,2013-08-29 17:00:00,2013-08-29
"8570",41516.66667,158.502,2013-08-30 17:00:00,2013-08-30
"8571",41517.66667,249.15,2013-08-31 17:00:00,2013-08-31
"8572",41518.66667,246.673,2013-09-01 17:00:00,2013-09-01
"8573",41519.66667,264.18,2013-09-02 17:00:00,2013-09-02
"8574",41520.66667,110.507,2013-09-03 17:00:00,2013-09-03
"8575",41521.66667,197.194,2013-09-04 17:00:00,2013-09-04
"8576",41522.66667,251.542,2013-09-05 17:00:00,2013-09-05
"8577",41523.66667,196.579,2013-09-06 17:00:00,2013-09-06
"8578",41524.66667,230.127,2013-09-07 17:00:00,2013-09-07
"8579",41525.66667,172.092,2013-09-08 17:00:00,2013-09-08
"8580",41526.66667,331.527,2013-09-09 17:00:00,2013-09-09
"8581",41527.66667,373.292,2013-09-10 17:00:00,2013-09-10
"8582",41528.66667,409.67,2013-09-11 17:00:00,2013-09-11
"8583",41529.66667,424.748,2013-09-12 17:00:00,2013-09-12
"8584",41530.66667,474.128,2013-09-13 17:00:00,2013-09-13
"8585",41531.66667,499.183,2013-09-14 17:00:00,2013-09-14
"8586",41532.66667,441.44,2013-09-15 17:00:00,2013-09-15
