"","Date_raw_julian","E290.315_kJ_m2","Date","Date_simple"
"8501",41447.66667,0.0236546,2013-06-22 16:00:00,2013-06-22
"8502",41448.66667,0.00671416,2013-06-23 16:00:00,2013-06-23
"8503",41449.66667,0.0168734,2013-06-24 16:00:00,2013-06-24
"8504",41450.66667,0.0171077,2013-06-25 16:00:00,2013-06-25
"8505",41451.66667,0.035009,2013-06-26 16:00:00,2013-06-26
"8506",41452.66667,0.0278794,2013-06-27 16:00:00,2013-06-27
"8507",41453.66667,0.0092901,2013-06-28 16:00:00,2013-06-28
"8508",41454.66667,0.00682816,2013-06-29 16:00:00,2013-06-29
"8509",41455.66667,0.0325766,2013-06-30 16:00:00,2013-06-30
"8510",41456.66667,0.0226843,2013-07-01 16:00:00,2013-07-01
"8511",41457.66667,NA,2013-07-02 16:00:00,2013-07-02
"8512",41458.66667,0.0274721,2013-07-03 16:00:00,2013-07-03
"8513",41459.66667,0.0229485,2013-07-04 16:00:00,2013-07-04
"8514",41460.66667,0.0298143,2013-07-05 16:00:00,2013-07-05
"8515",41461.66667,0.0307313,2013-07-06 16:00:00,2013-07-06
"8516",41462.66667,0.0331469,2013-07-07 16:00:00,2013-07-07
"8517",41463.66667,0.0488417,2013-07-08 16:00:00,2013-07-08
"8518",41464.66667,0.0571053,2013-07-09 16:00:00,2013-07-09
"8519",41465.66667,0.02488,2013-07-10 16:00:00,2013-07-10
"8520",41466.66667,0.0132516,2013-07-11 16:00:00,2013-07-11
"8521",41467.66667,0.054306,2013-07-12 16:00:00,2013-07-12
"8522",41468.66667,0.0284318,2013-07-13 16:00:00,2013-07-13
"8523",41469.66667,0.0707551,2013-07-14 16:00:00,2013-07-14
"8524",41470.66667,0.0398523,2013-07-15 16:00:00,2013-07-15
"8525",41471.66667,0.0315404,2013-07-16 16:00:00,2013-07-16
"8526",41472.66667,0.0310551,2013-07-17 16:00:00,2013-07-17
"8527",41473.66667,NA,2013-07-18 16:00:00,2013-07-18
"8528",41474.66667,0.0370442,2013-07-19 16:00:00,2013-07-19
"8529",41475.66667,0.146916,2013-07-20 16:00:00,2013-07-20
"8530",41476.66667,0.0289644,2013-07-21 16:00:00,2013-07-21
"8531",41477.66667,0.0602452,2013-07-22 16:00:00,2013-07-22
"8532",41478.66667,0.0301133,2013-07-23 16:00:00,2013-07-23
"8533",41479.66667,0.109271,2013-07-24 16:00:00,2013-07-24
"8534",41480.66667,0.0611173,2013-07-25 16:00:00,2013-07-25
"8535",41481.66667,0.0743368,2013-07-26 16:00:00,2013-07-26
"8536",41482.66667,0.152894,2013-07-27 16:00:00,2013-07-27
"8537",41483.66667,0.115236,2013-07-28 16:00:00,2013-07-28
"8538",41484.66667,0.235139,2013-07-29 16:00:00,2013-07-29
"8539",41485.66667,NA,2013-07-30 16:00:00,2013-07-30
"8540",41486.66667,0.219031,2013-07-31 16:00:00,2013-07-31
"8541",41487.66667,0.356982,2013-08-01 16:00:00,2013-08-01
"8542",41488.66667,0.491826,2013-08-02 16:00:00,2013-08-02
"8543",41489.66667,0.499398,2013-08-03 16:00:00,2013-08-03
"8544",41490.66667,0.447892,2013-08-04 16:00:00,2013-08-04
"8545",41491.66667,0.368005,2013-08-05 16:00:00,2013-08-05
