"","Wavelength_nm","Kd_per_meter","Kd_per_meter.sd","Kd_per_meter_fitted"
"191.033737",191.033737,NA,NA,NA
"191.412582",191.412582,NA,NA,NA
"191.791428",191.791428,NA,NA,NA
"192.170212",192.170212,NA,NA,NA
"192.548996",192.548996,NA,NA,NA
"192.92775",192.92775,NA,NA,NA
"193.306473",193.306473,NA,NA,NA
"193.685165",193.685165,NA,NA,NA
"194.063843",194.063843,NA,NA,NA
"194.44249",194.44249,NA,NA,NA
"194.821121",194.821121,NA,NA,NA
"195.199707",195.199707,NA,NA,NA
"195.578278",195.578278,NA,NA,NA
"195.956818",195.956818,NA,NA,NA
"196.335327",196.335327,NA,NA,NA
"196.713806",196.713806,NA,NA,NA
"197.092285",197.092285,NA,NA,NA
"197.470703",197.470703,NA,NA,NA
"197.849121",197.849121,NA,NA,NA
"198.227509",198.227509,NA,NA,NA
"198.605881",198.605881,NA,NA,NA
"198.984192",198.984192,NA,NA,NA
"199.362503",199.362503,NA,NA,NA
"199.740784",199.740784,NA,NA,NA
"200.119019",200.119019,NA,NA,NA
"200.497253",200.497253,NA,NA,NA
"200.875458",200.875458,NA,NA,NA
"201.253616",201.253616,NA,NA,NA
"201.631775",201.631775,NA,NA,NA
"202.009888",202.009888,NA,NA,NA
"202.387985",202.387985,NA,NA,NA
"202.766052",202.766052,NA,NA,NA
"203.144089",203.144089,NA,NA,NA
"203.522095",203.522095,NA,NA,NA
"203.900085",203.900085,NA,NA,NA
"204.27803",204.27803,NA,NA,NA
"204.655975",204.655975,NA,NA,NA
"205.03389",205.03389,NA,NA,NA
"205.411774",205.411774,NA,NA,NA
"205.789612",205.789612,NA,NA,NA
"206.167435",206.167435,NA,NA,NA
"206.545227",206.545227,NA,NA,NA
"206.923004",206.923004,NA,NA,NA
"207.300751",207.300751,NA,NA,NA
"207.678482",207.678482,NA,NA,NA
"208.056168",208.056168,NA,NA,NA
"208.433838",208.433838,NA,NA,NA
"208.811478",208.811478,NA,NA,NA
"209.189102",209.189102,NA,NA,NA
"209.566666",209.566666,NA,NA,NA
"209.944229",209.944229,NA,NA,NA
"210.321762",210.321762,NA,NA,NA
"210.699265",210.699265,NA,NA,NA
"211.076752",211.076752,NA,NA,NA
"211.454193",211.454193,NA,NA,NA
"211.831604",211.831604,NA,NA,NA
"212.209015",212.209015,NA,NA,NA
"212.58638",212.58638,NA,NA,NA
"212.96373",212.96373,NA,NA,NA
