"Contents: UV-visible absorbance data from West Antarctic seawater samples, acquired on Thermo Evolution 300 Spectrophotometer at 0.1 nm increments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measurements made on aliquots from PAL1314 and LMG1401 water samples preserved for DOC analysis (GF/F filtered to 0.7 um nominal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quartz cuvette pathlength: 100 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample naming convention where XXX-YYYYYY-ZZZZZZ-AAAA:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXX: Sequential number assigned arbitrarily on date of analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YYYYYY: Origin of sample; PAL1314 (Palmer Station 2013-2014 field season or LMG1401 (collected on PAL-LTER cruise aboard Laurence M. Gould),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZZZZZ: Sample ID assigned from PAL1314 or LMG1401 (consult applicable DOC sample log),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AAAA: Matrix used in spectrophotometer reference cell: 0.2 um oligotrophic filtered seawater from 50 m at the Bermuda-Atlantic Time Series station, or RSMAS standard reference low carbon water",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength_nm,041-PAL1314-DOC21-BATS0.2um,048-PAL1314-DOC10-BATS0.2um,049-PAL1314-DOC11-BATS0.2um,050-PAL1314-DOC12-BATS0.2um,051-PAL1314-DOC22-BATS0.2um,052-PAL1314-DOC23-BATS0.2um,053-PAL1314-DOC24-BATS0.2um,055-PAL1314-DOC32-BATS0.2um,056-PAL1314-DOC33-BATS0.2um,057-PAL1314-DOC34-BATS0.2um,058-PAL1314-DOC38-BATS0.2um,059-PAL1314-DOC39-BATS0.2um,061-PAL1314-DOC41-BATS0.2um,062-LMG1401-DOC34-BATS0.2um,063-LMG1401-DOC35-BATS0.2um,064-LMG1401-DOC36-BATS0.2um,065-LMG1401-DOC264-BATS0.2um,066-LMG1401-DOC265-BATS0.2um,067-LMG1401-DOC266-BATS0.2um,"068-RSMAS DOC CRM 13,1-14-BATS",024-PAL1314-DOC21-LCW,025-PAL1314-DOC10-LCW,026-PAL1314-DOC11-LCW,027-PAL1314-DOC12-LCW,028-PAL1314-DOC22-LCW,029-PAL1314-DOC23-LCW,030-PAL1314-DOC24-LCW,031-PAL1314-DOC31-LCW,032-PAL1314-DOC32-LCW,033-PAL1314-DOC33-LCW,034-PAL1314-DOC34-LCW,035-PAL1314-DOC38-LCW,036-PAL1314-DOC39-LCW,037-PAL1314-DOC40-LCW,038-PAL1314-DOC41-LCW,"039-RSMAS DOC CRM 13,01-14-LCW1",042-LMG1401-DOC34-LCW,043-LMG1401-DOC35-LCW,044-LMG1401-DOC36-LCW,045-LMG1401-DOC264-LCW,046-LMG1401-DOC265-LCW,047-LMG1401-DOC266-LCW,015-Blank-0.2umFSW_BATS_50m,32uMNO3,16.0uMNO3,8.0uMNO3,4.0uMNO3,2.0uMNO3,1.0uMNO3
190,0.1309,0.1307,0.0653,0.1223,0.0727,0.0605,0.0394,0.0825,0.139,0.0886,0.0505,0.0442,0.1051,-0.0073,-0.0338,0.0242,0.0121,0.0157,-0.017,0.0442,2.9014,2.9025,2.8809,2.7218,2.8505,2.8821,2.8604,0.0133,2.9033,2.8566,2.9176,2.8989,2.9172,0.0042,2.8645,2.9422,2.8773,2.8681,2.7971,2.9033,2.8557,2.8566,2.8582,2.9114,2.8866,2.855,2.7941,2.8512,2.8491
190.1,0.0561,0.0954,0.1262,0.0546,0.1153,0.0934,0.0831,0.0768,0.1324,0.1015,0.0075,0.1518,0.0493,0.092,0.0351,0.0312,-0.0084,0.0545,0.0819,0.1286,2.9162,2.8693,2.8686,3.2822,2.8704,2.8853,2.8964,-0.022,2.8131,2.8894,2.8897,2.8883,2.9107,0.0653,2.8896,2.9,2.8582,2.8809,2.8214,2.935,2.8346,2.8442,2.8076,2.9082,2.8746,2.8793,2.8202,2.8668,2.8159
190.2,0.1256,0.0252,0.134,0.0439,0.1217,0.1044,0.0884,0.1383,0.1115,0.1401,0.0962,0.163,0.105,0.0598,0.0395,0.031,0.0557,0.026,0.0047,0.1212,2.8578,2.8496,2.8683,2.8004,2.8366,2.8315,2.8111,0.0409,2.8515,2.8399,2.8559,2.8634,2.9205,0.0003,2.8583,2.8525,2.8485,2.8063,2.7953,2.906,2.8125,2.8221,2.8172,2.8567,2.8029,2.812,2.8261,2.8373,2.795
190.3,0.0943,0.1295,0.0349,0.069,0.2349,0.1699,0.1045,0.0184,0.1259,0.0942,0.0703,0.101,0.1327,0.135,0.0605,0.0432,-0.0321,0.1085,0.0125,0.1117,2.881,2.8041,2.8322,2.8226,2.8462,2.8275,2.8416,0.1036,2.8481,2.8541,2.8725,2.8182,2.8314,0.0679,2.8453,2.8861,2.7973,2.7932,2.8194,2.8509,2.8498,2.8032,2.8101,2.8757,2.8121,2.8251,2.7925,2.7997,2.7794
190.4,0.0628,0.0877,0.1493,0.1507,0.1176,0.1284,0.0152,0.0978,0.0571,0.0949,0.0925,0.1257,0.0571,0.0817,-0.0008,-0.0135,-0.0104,0.0537,0.0173,0.1532,2.9102,2.8443,2.8926,2.8364,2.8475,2.7964,2.8604,0.0873,2.8631,2.8678,2.8413,2.8703,2.8392,0.0924,2.8654,2.9217,2.8272,2.8219,2.8055,2.8719,2.8583,2.7401,2.7968,2.8281,2.8643,2.8278,2.7753,2.8634,2.8071
190.5,0.0472,0.1072,0.0864,0.106,0.0548,0.1198,0.0113,0.049,-0.0485,0.1237,0.0383,0.0542,0.0319,0.0336,-0.0058,-0.0836,0.0457,0.1152,-0.0966,0.017,2.8044,2.7426,2.7809,2.773,2.8198,2.7756,2.7711,0.0526,2.7775,2.812,2.7461,2.7422,2.7988,-0.0001,2.8223,2.8075,2.7829,2.7708,2.7401,2.7516,2.7333,2.7311,2.724,2.7615,2.7536,2.7634,2.7674,2.7608,2.7215
190.6,0.0047,0.0807,0.1184,0.0251,0.0998,0.0449,-0.0611,-0.0244,0.0897,0.0479,0.0422,-0.0109,-0.0113,-0.0788,0.0393,-0.0143,-0.0194,-0.105,-0.0915,0.0019,2.7555,2.7551,2.713,2.7487,2.7396,2.731,2.6905,0.0512,2.7125,2.7652,2.7239,2.8007,2.7357,0.0367,2.7449,2.8043,2.766,2.7125,2.6807,2.7975,2.7168,2.6506,2.7056,2.6995,2.7571,2.6875,2.7251,2.6715,2.6947
190.7,0.0437,0.1429,0.1014,0.0351,0.0476,0.0061,0.0739,0.035,0.0678,0.1783,0.098,0.1118,-0.0409,-0.082,0.0263,-0.0435,-0.015,0.0318,-0.0045,0.0005,2.7724,2.7057,2.7505,2.7582,2.7072,2.6767,2.7157,-0.007,2.6821,2.7357,2.7194,2.734,2.7137,0.0419,2.7114,2.7794,2.6725,2.6464,2.6687,2.738,2.6715,2.6895,2.6753,2.766,2.6746,2.7344,2.663,2.6684,2.6108
190.8,-0.0049,0.0688,0.1211,0.063,-0.0159,0.1493,0.0377,0.0773,0.007,0.0879,0.1021,0.1549,-0.0213,0.1592,-0.0304,-0.1119,0.0055,0.0128,0.0212,0.0396,2.7515,2.709,2.7045,2.715,2.6817,2.6822,2.653,-0.018,2.6385,2.6869,2.7353,2.7797,2.7072,-0.0155,2.7268,2.7921,2.6412,2.6934,2.6138,2.7923,2.6655,2.6294,2.6815,2.7697,2.7004,2.6531,2.6882,2.6637,2.6468
190.9,0.0484,0.0815,0.0066,0.0577,0.088,0.1362,0.1263,-0.0354,0.0143,0.1596,0.1118,0.0851,0.0756,0.117,-0.0039,-0.079,-0.104,-0.027,-0.0717,0.0634,2.7856,2.7283,2.7164,2.7193,2.642,2.7072,2.7566,-0.0376,2.7285,2.7612,2.7266,2.6703,2.7448,-0.1138,2.7294,2.7432,2.7208,2.6589,2.6327,2.7408,2.7312,2.666,2.7096,2.7837,2.6454,2.6211,2.6212,2.648,2.6624
