Batch,scan004_Borosilicate_EPA_vial_%T_190_to_800.sre
EV300,140607
Data Mode,%T  None
Sample,Borosil_%T_190-800_after_ZB
Cycle,Cycle01
Date Collected,7/27/2016
Time Collected,2:49:00PM
Entries,Data Points
nm,%T
190.00,0.0101
190.20,0.0115
190.40,0.0139
190.60,0.0189
190.80,0.0187
191.00,0.0117
191.20,0.0197
191.40,0.0104
191.60,0.0101
191.80,0.0078
192.00,0.0085
192.20,0.0122
192.40,0.0108
192.60,0.0096
192.80,0.0094
193.00,0.0098
193.20,0.0092
193.40,0.0082
193.60,0.0073
193.80,0.0063
194.00,0.0070
194.20,0.0095
194.40,0.0073
194.60,0.0066
194.80,0.0094
195.00,0.0081
195.20,0.0075
195.40,0.0098
195.60,0.0086
195.80,0.0062
196.00,0.0101
196.20,0.0049
196.40,0.0053
196.60,0.0083
196.80,0.0073
197.00,0.0070
197.20,0.0075
197.40,0.0073
197.60,0.0047
197.80,0.0058
198.00,0.0050
198.20,0.0064
198.40,0.0038
198.60,0.0066
198.80,0.0076
199.00,0.0061
199.20,0.0055
199.40,0.0062
199.60,0.0063
199.80,0.0070
200.00,0.0080
200.20,0.0072
200.40,0.0059
200.60,0.0076
200.80,0.0053
201.00,0.0045
201.20,0.0086
201.40,0.0078
201.60,0.0079
201.80,0.0066
202.00,0.0075
202.20,0.0081
202.40,0.0060
202.60,0.0057
202.80,0.0059
203.00,0.0061
203.20,0.0070
203.40,0.0069
203.60,0.0071
203.80,0.0053
204.00,0.0066
204.20,0.0052
204.40,0.0053
204.60,0.0047
204.80,0.0057
205.00,0.0050
205.20,0.0067
205.40,0.0078
205.60,0.0048
205.80,0.0042
206.00,0.0067
206.20,0.0053
206.40,0.0057
206.60,0.0042
206.80,0.0068
207.00,0.0053
207.20,0.0053
207.40,0.0060
207.60,0.0044
207.80,0.0047
208.00,0.0066
208.20,0.0056
208.40,0.0054
208.60,0.0067
208.80,0.0068
209.00,0.0067
209.20,0.0041
209.40,0.0067
209.60,0.0059
209.80,0.0061
210.00,0.0046
210.20,0.0037
210.40,0.0047
210.60,0.0048
210.80,0.0061
211.00,0.0038
211.20,0.0070
211.40,0.0036
211.60,0.0044
211.80,0.0060
212.00,0.0060
212.20,0.0050
212.40,0.0053
212.60,0.0065
212.80,0.0067
213.00,0.0047
213.20,0.0062
213.40,0.0061
213.60,0.0061
213.80,0.0071
214.00,0.0035
214.20,0.0031
214.40,0.0036
214.60,0.0079
214.80,0.0062
215.00,0.0062
215.20,0.0083
215.40,0.0039
215.60,0.0054
215.80,0.0069
216.00,0.0052
216.20,0.0061
216.40,0.0069
216.60,0.0049
216.80,0.0058
217.00,0.0053
217.20,0.0052
217.40,0.0070
217.60,0.0065
217.80,0.0049
218.00,0.0056
218.20,0.0054
218.40,0.0045
218.60,0.0052
218.80,0.0049
219.00,0.0044
219.20,0.0045
219.40,0.0034
219.60,0.0052
219.80,0.0055
220.00,0.0051
220.20,0.0044
220.40,0.0030
220.60,0.0062
220.80,0.0039
221.00,0.0057
221.20,0.0065
221.40,0.0043
221.60,0.0043
221.80,0.0051
222.00,0.0041
222.20,0.0044
222.40,0.0031
222.60,0.0042
222.80,0.0041
223.00,0.0052
223.20,0.0048
223.40,0.0077
223.60,0.0048
223.80,0.0068
224.00,0.0049
224.20,0.0079
224.40,0.0050
224.60,0.0043
224.80,0.0030
