Batch,scan006
EV300,140607
Data Mode,%T  None
Sample,Mylar_%T_190-800
Cycle,Cycle01
Date Collected,7/28/2016
Time Collected,2:29:24PM
Entries,Data Points
nm,%T
190.00,0.0081
190.20,0.0088
190.40,0.0132
190.60,0.0107
190.80,0.0118
191.00,0.0063
191.20,0.0110
191.40,0.0057
191.60,0.0113
191.80,0.0091
192.00,0.0075
192.20,0.0095
192.40,0.0105
192.60,0.0120
192.80,0.0080
193.00,0.0096
193.20,0.0053
193.40,0.0068
193.60,0.0060
193.80,0.0059
194.00,0.0062
194.20,0.0018
194.40,0.0040
194.60,0.0077
194.80,0.0077
195.00,0.0047
195.20,0.0064
195.40,0.0075
195.60,0.0051
195.80,0.0050
196.00,0.0070
196.20,0.0043
196.40,0.0032
196.60,0.0037
196.80,0.0051
197.00,0.0027
197.20,0.0035
197.40,0.0029
197.60,0.0033
197.80,0.0024
198.00,0.0043
198.20,0.0033
198.40,0.0052
198.60,0.0040
198.80,0.0036
199.00,0.0055
199.20,0.0045
199.40,0.0045
199.60,0.0044
199.80,0.0060
200.00,0.0047
200.20,0.0033
200.40,0.0057
200.60,0.0050
200.80,0.0037
201.00,0.0040
201.20,0.0032
201.40,0.0047
201.60,0.0038
201.80,0.0048
202.00,0.0030
202.20,0.0045
202.40,0.0056
202.60,0.0033
202.80,0.0046
203.00,0.0039
203.20,0.0057
203.40,0.0037
203.60,0.0050
203.80,0.0051
204.00,0.0049
204.20,0.0057
204.40,0.0042
204.60,0.0041
204.80,0.0041
205.00,0.0035
205.20,0.0034
205.40,0.0045
205.60,0.0040
205.80,0.0049
206.00,0.0027
206.20,0.0036
206.40,0.0031
206.60,0.0025
206.80,0.0042
207.00,0.0060
207.20,0.0045
207.40,0.0027
207.60,0.0048
207.80,0.0041
208.00,0.0050
208.20,0.0045
208.40,0.0034
208.60,0.0019
208.80,0.0027
209.00,0.0041
209.20,0.0045
209.40,0.0032
209.60,0.0050
209.80,0.0043
210.00,0.0041
210.20,0.0047
210.40,0.0062
210.60,0.0040
210.80,0.0039
211.00,0.0045
211.20,0.0040
211.40,0.0067
211.60,0.0038
211.80,0.0036
212.00,0.0033
212.20,0.0030
212.40,0.0052
212.60,0.0049
212.80,0.0055
213.00,0.0024
213.20,0.0052
213.40,0.0045
213.60,0.0041
213.80,0.0049
214.00,0.0057
214.20,0.0033
214.40,0.0038
214.60,0.0050
214.80,0.0061
215.00,0.0054
215.20,0.0058
215.40,0.0052
215.60,0.0046
215.80,0.0050
216.00,0.0038
216.20,0.0052
216.40,0.0055
216.60,0.0046
216.80,0.0039
217.00,0.0040
217.20,0.0036
217.40,0.0028
217.60,0.0029
217.80,0.0054
218.00,0.0040
218.20,0.0052
218.40,0.0041
218.60,0.0029
218.80,0.0019
219.00,0.0041
219.20,0.0048
219.40,0.0045
219.60,0.0058
219.80,0.0041
220.00,0.0041
220.20,0.0035
220.40,0.0035
220.60,0.0028
220.80,0.0047
221.00,0.0032
221.20,0.0033
221.40,0.0052
221.60,0.0040
221.80,0.0028
222.00,0.0040
222.20,0.0040
222.40,0.0032
222.60,0.0036
222.80,0.0025
223.00,0.0069
223.20,0.0000
223.40,0.0033
223.60,0.0017
223.80,0.0031
224.00,0.0065
224.20,0.0028
224.40,0.0018
224.60,0.0015
224.80,0.0008
225.00,0.0025
225.20,0.0000
225.40,0.0029
