Batch,scan001
EV300,140607
Data Mode,%T  None
Sample,PC_plastic_bottle_%T_190-800
Cycle,Cycle01
Date Collected,7/28/2016
Time Collected,1:51:54PM
Entries,Data Points
nm,%T
190.00,0.0118
191.00,0.0103
192.00,0.0100
193.00,0.0072
194.00,0.0064
195.00,0.0073
196.00,0.0050
197.00,0.0049
198.00,0.0047
199.00,0.0051
200.00,0.0062
201.00,0.0060
202.00,0.0052
203.00,0.0062
204.00,0.0044
205.00,0.0039
206.00,0.0053
207.00,0.0041
208.00,0.0041
209.00,0.0053
210.00,0.0031
211.00,0.0030
212.00,0.0037
213.00,0.0036
214.00,0.0034
215.00,0.0036
216.00,0.0041
217.00,0.0040
218.00,0.0034
219.00,0.0036
220.00,0.0028
221.00,0.0039
222.00,0.0027
223.00,0.0000
224.00,0.0013
225.00,0.0072
226.00,0.0022
227.00,0.0019
228.00,0.0016
229.00,0.0014
230.00,0.0006
231.00,0.0025
232.00,0.0012
233.00,0.0021
234.00,0.0033
235.00,0.0021
236.00,0.0034
237.00,0.0046
238.00,0.0001
239.00,0.0026
240.00,0.0035
241.00,0.0030
242.00,0.0025
243.00,0.0015
244.00,0.0006
245.00,0.0015
246.00,0.0013
247.00,0.0012
248.00,0.0023
249.00,0.0020
250.00,0.0042
251.00,0.0046
252.00,0.0000
253.00,0.0039
254.00,0.0016
255.00,0.0082
256.00,0.0059
257.00,0.0053
258.00,0.0017
259.00,0.0065
260.00,0.0034
261.00,0.0014
262.00,0.0045
263.00,0.0071
264.00,0.0072
265.00,0.0082
266.00,0.0083
267.00,0.0058
268.00,0.0061
269.00,0.0058
270.00,0.0062
271.00,0.0077
272.00,0.0055
273.00,0.0067
274.00,0.0067
275.00,0.0079
276.00,0.0080
277.00,0.0091
278.00,0.0071
279.00,0.0086
280.00,0.0109
281.00,0.0117
282.00,0.0107
283.00,0.0130
284.00,0.0140
285.00,0.0150
286.00,0.0170
287.00,0.0182
288.00,0.0243
289.00,0.0437
290.00,0.1050
291.00,0.2643
292.00,0.5859
293.00,1.1425
294.00,2.0857
295.00,3.4891
296.00,5.6044
297.00,8.5549
298.00,11.5679
299.00,14.7036
300.00,17.4611
301.00,19.7382
302.00,21.6008
303.00,22.9480
304.00,24.0448
305.00,24.8174
306.00,25.4049
307.00,25.8725
308.00,26.4470
309.00,27.0466
310.00,27.8705
311.00,28.8220
312.00,29.9046
313.00,31.0324
314.00,32.2333
315.00,33.4152
316.00,34.3944
317.00,35.2902
318.00,36.1491
319.00,37.1053
320.00,37.9334
321.00,38.7607
322.00,39.4991
323.00,40.2615
324.00,41.0527
325.00,41.8112
326.00,42.7267
327.00,43.9205
328.00,45.3422
329.00,46.9756
330.00,48.6164
331.00,50.3255
332.00,51.9494
333.00,53.3231
334.00,54.4920
335.00,55.4672
336.00,56.4837
337.00,57.2649
338.00,58.0694
339.00,58.7484
340.00,59.4470
341.00,60.1222
342.00,60.8133
343.00,61.4830
344.00,62.1654
345.00,62.8203
346.00,63.3073
347.00,63.9527
348.00,64.6482
349.00,65.3101
350.00,65.9750
351.00,66.5407
352.00,67.2087
353.00,67.8536
354.00,68.4722
355.00,69.0391
356.00,69.6756
357.00,70.2791
358.00,71.0703
359.00,71.5381
360.00,72.0332
361.00,72.5073
362.00,73.2993
363.00,73.8272
364.00,73.9989
365.00,74.3736
366.00,74.7572
367.00,75.3139
