Batch,scan003_Quartz_%T_190_to_800.sre
EV300,140607
Data Mode,%T  None
Sample,Quartz_%T_190_to_800_after_ZB
Cycle,Cycle01
Date Collected,7/27/2016
Time Collected,2:32:03PM
Entries,Data Points
nm,%T
190.00,68.7707
190.20,68.6640
190.40,68.6456
190.60,68.9585
190.80,68.9785
191.00,69.0998
191.20,68.9687
191.40,69.1460
191.60,69.2478
191.80,69.4520
192.00,69.5657
192.20,69.7194
192.40,69.6090
192.60,69.8163
192.80,69.6932
193.00,69.8336
193.20,69.5280
193.40,70.0154
193.60,70.1753
193.80,70.1599
194.00,69.8931
194.20,69.9599
194.40,69.9166
194.60,70.3542
194.80,70.2322
195.00,70.4479
195.20,70.5900
195.40,70.6699
195.60,70.6101
195.80,70.5974
196.00,70.7877
196.20,70.6456
196.40,70.8386
196.60,70.7531
196.80,70.6019
197.00,70.8349
197.20,70.8532
197.40,70.9085
197.60,70.6426
197.80,70.8903
198.00,70.6098
198.20,71.0291
198.40,70.8661
198.60,71.2532
198.80,71.2317
199.00,71.3275
199.20,71.2722
199.40,71.4821
199.60,71.4626
199.80,71.4920
200.00,71.4138
200.20,71.5784
200.40,71.8079
200.60,71.8392
200.80,71.9679
201.00,71.8507
201.20,72.0886
201.40,72.2650
201.60,72.3546
201.80,72.3331
202.00,72.4928
202.20,72.5371
202.40,72.6118
202.60,72.8153
202.80,72.8236
203.00,72.9039
203.20,73.0580
203.40,73.1625
203.60,73.3528
203.80,73.3968
204.00,73.5817
204.20,73.6866
204.40,73.6670
204.60,73.8736
204.80,73.4941
205.00,74.1248
205.20,74.1652
205.40,74.3249
205.60,74.0880
205.80,74.4445
206.00,74.7848
206.20,74.9154
206.40,75.0681
206.60,75.0193
206.80,75.3513
207.00,75.5751
207.20,75.7297
207.40,75.5651
207.60,75.8990
207.80,75.9707
208.00,76.4419
208.20,76.2164
208.40,76.7323
208.60,76.6742
208.80,76.3966
209.00,77.2033
209.20,77.3958
209.40,77.4257
209.60,77.7696
209.80,77.9541
210.00,78.0799
210.20,78.0763
210.40,78.1271
210.60,78.6203
210.80,78.7291
211.00,78.9832
211.20,79.1470
211.40,79.0945
211.60,79.4523
211.80,79.7666
212.00,79.2088
212.20,79.8071
212.40,79.9844
212.60,80.3733
212.80,80.4641
213.00,80.6050
213.20,80.8614
213.40,80.8359
213.60,81.3153
213.80,81.7157
214.00,81.5107
214.20,81.9265
214.40,82.0775
214.60,82.0353
214.80,82.5233
215.00,82.6044
215.20,82.6360
215.40,82.7482
215.60,82.9979
215.80,83.0073
216.00,83.2536
216.20,83.4618
216.40,83.5202
216.60,83.7514
216.80,83.9640
217.00,84.1533
217.20,84.2858
217.40,84.3980
217.60,84.7071
217.80,84.9594
218.00,84.7399
218.20,85.1453
218.40,85.1979
218.60,85.4464
218.80,84.6693
219.00,85.3750
219.20,85.5266
219.40,85.7342
219.60,85.9256
219.80,86.0935
220.00,86.1396
220.20,86.3487
220.40,86.3207
220.60,86.2339
220.80,86.5381
221.00,86.5204
221.20,86.6351
221.40,86.7851
221.60,86.8070
221.80,86.9528
222.00,87.0503
222.20,87.1458
222.40,86.9994
222.60,87.2464
222.80,87.4119
223.00,86.9617
223.20,86.9868
223.40,87.1284
223.60,87.2968
223.80,87.2453
224.00,87.2938
224.20,87.3140
224.40,87.5203
224.60,87.4418
224.80,87.1382
