Batch,scan005
EV300,140607
Data Mode,%T  None
Sample,Tedlar+mylar_%T_190-800_b
Cycle,Cycle01
Date Collected,7/28/2016
Time Collected,2:18:37PM
Entries,Data Points
nm,%T
190.00,0.0040
190.20,0.0078
190.40,0.0107
190.60,0.0095
190.80,0.0023
191.00,0.0135
191.20,0.0087
191.40,0.0082
191.60,0.0098
191.80,0.0064
192.00,0.0107
192.20,0.0075
192.40,0.0060
192.60,0.0116
192.80,0.0095
193.00,0.0083
193.20,0.0069
193.40,0.0065
193.60,0.0086
193.80,0.0038
194.00,0.0050
194.20,0.0089
194.40,0.0053
194.60,0.0066
194.80,0.0042
195.00,0.0045
195.20,0.0052
195.40,0.0077
195.60,0.0028
195.80,0.0067
196.00,0.0055
196.20,0.0036
196.40,0.0063
196.60,0.0058
196.80,0.0039
197.00,0.0046
197.20,0.0055
197.40,0.0041
197.60,0.0031
197.80,0.0045
198.00,0.0049
198.20,0.0030
198.40,0.0039
198.60,0.0036
198.80,0.0055
199.00,0.0029
199.20,0.0063
199.40,0.0032
199.60,0.0059
199.80,0.0081
200.00,0.0081
200.20,0.0038
200.40,0.0057
200.60,0.0065
200.80,0.0048
201.00,0.0048
201.20,0.0048
201.40,0.0033
201.60,0.0068
201.80,0.0055
202.00,0.0059
202.20,0.0044
202.40,0.0050
202.60,0.0038
202.80,0.0036
203.00,0.0051
203.20,0.0040
203.40,0.0035
203.60,0.0038
203.80,0.0032
204.00,0.0042
204.20,0.0045
204.40,0.0047
204.60,0.0048
204.80,0.0033
205.00,0.0037
205.20,0.0041
205.40,0.0041
205.60,0.0033
205.80,0.0056
206.00,0.0029
206.20,0.0025
206.40,0.0031
206.60,0.0032
206.80,0.0038
207.00,0.0036
207.20,0.0026
207.40,0.0038
207.60,0.0044
207.80,0.0045
208.00,0.0034
208.20,0.0056
208.40,0.0042
208.60,0.0053
208.80,0.0037
209.00,0.0050
209.20,0.0038
209.40,0.0038
209.60,0.0043
209.80,0.0043
210.00,0.0041
210.20,0.0042
210.40,0.0046
210.60,0.0051
210.80,0.0050
211.00,0.0059
211.20,0.0036
211.40,0.0039
211.60,0.0048
211.80,0.0057
212.00,0.0042
212.20,0.0045
212.40,0.0029
212.60,0.0041
212.80,0.0032
213.00,0.0037
213.20,0.0042
213.40,0.0061
213.60,0.0053
213.80,0.0051
214.00,0.0025
214.20,0.0052
214.40,0.0028
214.60,0.0037
214.80,0.0053
215.00,0.0050
215.20,0.0048
215.40,0.0041
215.60,0.0050
215.80,0.0056
216.00,0.0031
216.20,0.0038
216.40,0.0050
216.60,0.0038
216.80,0.0045
217.00,0.0048
217.20,0.0054
217.40,0.0038
217.60,0.0036
217.80,0.0033
218.00,0.0044
218.20,0.0036
218.40,0.0049
218.60,0.0038
218.80,0.0040
219.00,0.0041
219.20,0.0041
219.40,0.0030
219.60,0.0029
219.80,0.0034
220.00,0.0042
220.20,0.0034
220.40,0.0046
220.60,0.0018
220.80,0.0038
221.00,0.0039
221.20,0.0030
221.40,0.0038
221.60,0.0038
221.80,0.0022
222.00,0.0026
222.20,0.0030
222.40,0.0038
222.60,0.0031
222.80,0.0036
223.00,0.0000
223.20,0.0051
223.40,0.0074
223.60,0.0022
223.80,0.0000
224.00,0.0019
224.20,0.0053
224.40,0.0026
224.60,0.0034
224.80,0.0022
225.00,0.0012
225.20,0.0024
