Batch,scan003
EV300,140607
Data Mode,%T  None
Sample,Tedlar_%T_190-800_b
Cycle,Cycle01
Date Collected,7/28/2016
Time Collected,2:07:01PM
Entries,Data Points
nm,%T
190.00,0.0288
190.20,0.0294
190.40,0.0323
190.60,0.0329
190.80,0.0350
191.00,0.0316
191.20,0.0301
191.40,0.0261
191.60,0.0226
191.80,0.0258
192.00,0.0222
192.20,0.0240
192.40,0.0258
192.60,0.0278
192.80,0.0184
193.00,0.0216
193.20,0.0207
193.40,0.0177
193.60,0.0179
193.80,0.0206
194.00,0.0176
194.20,0.0208
194.40,0.0192
194.60,0.0181
194.80,0.0203
195.00,0.0245
195.20,0.0180
195.40,0.0206
195.60,0.0198
195.80,0.0177
196.00,0.0163
196.20,0.0201
196.40,0.0174
196.60,0.0173
196.80,0.0183
197.00,0.0174
197.20,0.0170
197.40,0.0139
197.60,0.0157
197.80,0.0161
198.00,0.0152
198.20,0.0151
198.40,0.0158
198.60,0.0158
198.80,0.0156
199.00,0.0185
199.20,0.0167
199.40,0.0176
199.60,0.0189
199.80,0.0199
200.00,0.0190
200.20,0.0189
200.40,0.0207
200.60,0.0191
200.80,0.0190
201.00,0.0199
201.20,0.0207
201.40,0.0198
201.60,0.0189
201.80,0.0195
202.00,0.0190
202.20,0.0190
202.40,0.0177
202.60,0.0164
202.80,0.0181
203.00,0.0178
203.20,0.0182
203.40,0.0174
203.60,0.0170
203.80,0.0175
204.00,0.0200
204.20,0.0177
204.40,0.0155
204.60,0.0164
204.80,0.0168
205.00,0.0170
205.20,0.0167
205.40,0.0161
205.60,0.0174
205.80,0.0166
206.00,0.0162
206.20,0.0170
206.40,0.0159
206.60,0.0163
206.80,0.0171
207.00,0.0165
207.20,0.0168
207.40,0.0168
207.60,0.0169
207.80,0.0184
208.00,0.0182
208.20,0.0192
208.40,0.0179
208.60,0.0195
208.80,0.0183
209.00,0.0184
209.20,0.0178
209.40,0.0168
209.60,0.0193
209.80,0.0187
210.00,0.0183
210.20,0.0188
210.40,0.0180
210.60,0.0194
210.80,0.0190
211.00,0.0195
211.20,0.0195
211.40,0.0193
211.60,0.0180
211.80,0.0186
212.00,0.0179
212.20,0.0186
212.40,0.0168
212.60,0.0185
212.80,0.0198
213.00,0.0204
213.20,0.0200
213.40,0.0219
213.60,0.0209
213.80,0.0211
214.00,0.0204
214.20,0.0199
214.40,0.0225
214.60,0.0207
214.80,0.0219
215.00,0.0211
215.20,0.0225
215.40,0.0222
215.60,0.0225
215.80,0.0232
216.00,0.0233
216.20,0.0234
216.40,0.0222
216.60,0.0230
216.80,0.0224
217.00,0.0227
217.20,0.0241
217.40,0.0234
217.60,0.0233
217.80,0.0237
218.00,0.0249
218.20,0.0238
218.40,0.0247
218.60,0.0254
218.80,0.0249
219.00,0.0244
219.20,0.0239
219.40,0.0241
219.60,0.0236
219.80,0.0244
220.00,0.0244
220.20,0.0227
220.40,0.0228
220.60,0.0227
220.80,0.0260
221.00,0.0235
221.20,0.0241
221.40,0.0230
221.60,0.0234
221.80,0.0231
222.00,0.0232
222.20,0.0225
222.40,0.0229
222.60,0.0227
222.80,0.0236
223.00,0.0284
223.20,0.0239
223.40,0.0253
223.60,0.0261
223.80,0.0252
224.00,0.0257
224.20,0.0206
224.40,0.0239
224.60,0.0243
224.80,0.0264
225.00,0.0255
225.20,0.0259
225.40,0.0238
