Batch,scan003
EV300,140607
Data Mode,A  None
Sample,"PC_22:1,MeOH"
Cycle,Cycle01
Date Collected,8/10/16
Time Collected,8:28:49PM
Entries,Data Points
nm,A
190,0.2055
190.2,0.2064
190.4,0.1576
190.6,0.2326
190.8,-0.0313
191,0.1883
191.2,0.1428
191.4,0.2736
191.6,0.25
191.8,0.0831
192,0.2064
192.2,0.1849
192.4,0.285
192.6,0.2406
192.8,0.1737
193,0.2444
193.2,0.3009
193.4,0.281
193.6,0.1974
193.8,0.1856
194,0.1778
194.2,0.2109
194.4,0.1742
194.6,0.17
194.8,0.2548
195,0.2156
195.2,0.2302
195.4,0.1624
195.6,0.2136
195.8,0.2321
196,0.2384
196.2,0.2672
196.4,0.2232
196.6,0.2587
196.8,0.265
197,0.1846
197.2,0.2244
197.4,0.2527
197.6,0.2487
197.8,0.258
198,0.2415
198.2,0.2403
198.4,0.2391
198.6,0.2418
198.8,0.2211
199,0.2486
199.2,0.2824
199.4,0.2216
199.6,0.2037
199.8,0.2268
200,0.246
200.2,0.1908
200.4,0.2704
200.6,0.2146
200.8,0.2922
201,0.2378
201.2,0.2446
201.4,0.2295
201.6,0.2509
201.8,0.2649
202,0.2424
202.2,0.2335
202.4,0.2249
202.6,0.2348
202.8,0.2506
203,0.2263
203.2,0.2664
203.4,0.2447
203.6,0.2667
203.8,0.2506
204,0.2271
204.2,0.2655
204.4,0.2821
204.6,0.253
204.8,0.2694
205,0.2696
205.2,0.2578
205.4,0.2831
205.6,0.2477
205.8,0.2647
206,0.229
206.2,0.261
206.4,0.2642
206.6,0.2885
206.8,0.2874
207,0.2703
207.2,0.2541
207.4,0.2704
207.6,0.285
207.8,0.2773
208,0.2649
208.2,0.2462
208.4,0.3048
208.6,0.2595
208.8,0.2825
209,0.2768
209.2,0.2571
209.4,0.2703
209.6,0.2915
209.8,0.2865
210,0.2669
210.2,0.2668
210.4,0.2676
210.6,0.2834
210.8,0.2898
211,0.2746
211.2,0.2667
211.4,0.2727
211.6,0.2718
211.8,0.2835
212,0.2794
212.2,0.3107
212.4,0.2631
212.6,0.2799
212.8,0.2805
213,0.2762
213.2,0.3047
213.4,0.3221
213.6,0.3184
213.8,0.3266
214,0.3228
214.2,0.3087
214.4,0.3197
214.6,0.309
214.8,0.3374
215,0.3302
215.2,0.3452
215.4,0.373
215.6,0.3513
215.8,0.3732
216,0.3687
216.2,0.3949
216.4,0.4205
216.6,0.4323
216.8,0.44
217,0.4699
217.2,0.4896
217.4,0.4927
217.6,0.5018
217.8,0.5287
218,0.5368
218.2,0.5693
218.4,0.5641
218.6,0.5753
218.8,0.6086
219,0.6305
219.2,0.6467
219.4,0.655
219.6,0.6829
219.8,0.7034
220,0.7249
220.2,0.7317
220.4,0.7517
220.6,0.7673
220.8,0.7832
221,0.8054
221.2,0.8174
221.4,0.8345
221.6,0.8555
221.8,0.8613
222,0.8766
222.2,0.8912
222.4,0.8979
222.6,0.9027
222.8,0.9064
223,0.8214
223.2,0.8249
223.4,0.8278
223.6,0.8316
223.8,0.8434
224,0.8506
224.2,0.8562
224.4,0.8603
224.6,0.8607
224.8,0.8596
225,0.8583
225.2,0.8548
225.4,0.8525
225.6,0.8512
225.8,0.8487
226,0.8412
226.2,0.8423
226.4,0.8369
226.6,0.8326
226.8,0.825
227,0.8182
227.2,0.8067
227.4,0.7928
227.6,0.7829
227.8,0.7721
228,0.7627
228.2,0.7512
228.4,0.7407
228.6,0.7289
228.8,0.7181
229,0.7084
229.2,0.6996
229.4,0.6895
229.6,0.6806
229.8,0.6703
230,0.6588
230.2,0.6471
230.4,0.6335
230.6,0.6197
230.8,0.6062
231,0.5923
231.2,0.5809
231.4,0.5706
231.6,0.5609
231.8,0.5498
232,0.5401
232.2,0.5292
232.4,0.5172
232.6,0.5053
232.8,0.4931
233,0.4812
233.2,0.4687
233.4,0.4575
233.6,0.4462
233.8,0.4359
234,0.4262
234.2,0.4183
234.4,0.4103
234.6,0.4007
234.8,0.3918
235,0.3828
235.2,0.3731
235.4,0.3646
235.6,0.3551
235.8,0.3457
236,0.3367
236.2,0.3282
236.4,0.3198
236.6,0.3125
236.8,0.3054
237,0.298
237.2,0.2894
237.4,0.2813
237.6,0.2735
237.8,0.2664
238,0.2581
238.2,0.2513
238.4,0.2449
238.6,0.2387
238.8,0.2311
239,0.2259
239.2,0.22
239.4,0.2134
239.6,0.2064
239.8,0.2014
240,0.1957
240.2,0.1899
240.4,0.1854
240.6,0.1796
240.8,0.1749
241,0.1697
241.2,0.1653
241.4,0.1605
241.6,0.1558
241.8,0.1513
242,0.1464
242.2,0.1434
242.4,0.1391
242.6,0.1355
242.8,0.1326
243,0.1293
243.2,0.1267
243.4,0.1234
243.6,0.1204
243.8,0.1177
244,0.1149
244.2,0.1119
244.4,0.1078
244.6,0.1048
244.8,0.1018
245,0.098
245.2,0.0954
245.4,0.0925
245.6,0.0891
245.8,0.0858
246,0.0838
246.2,0.0805
246.4,0.0777
246.6,0.075
246.8,0.072
247,0.0702
247.2,0.0676
247.4,0.0662
247.6,0.0646
247.8,0.0632
248,0.0617
248.2,0.0597
248.4,0.0583
248.6,0.0568
248.8,0.0549
249,0.0537
249.2,0.0522
249.4,0.0508
249.6,0.0499
249.8,0.0486
250,0.0474
250.2,0.0457
250.4,0.0448
250.6,0.0435
250.8,0.0424
251,0.0418
251.2,0.0403
251.4,0.0397
251.6,0.0385
251.8,0.038
252,0.0371
252.2,0.0363
252.4,0.036
252.6,0.0357
252.8,0.0355
253,0.0347
253.2,0.0341
253.4,0.034
253.6,0.0334
253.8,0.0331
254,0.0326
254.2,0.0327
254.4,0.0322
254.6,0.0317
254.8,0.0313
255,0.0313
255.2,0.0309
255.4,0.0313
255.6,0.0302
255.8,0.0302
256,0.0307
256.2,0.0298
256.4,0.029
256.6,0.0296
256.8,0.0294
257,0.0292
257.2,0.0297
257.4,0.0292
257.6,0.0293
257.8,0.0292
258,0.0294
258.2,0.0295
258.4,0.0293
258.6,0.0288
258.8,0.0287
259,0.0284
259.2,0.0286
259.4,0.0286
259.6,0.0282
259.8,0.0282
260,0.0279
260.2,0.0282
260.4,0.028
260.6,0.0284
260.8,0.0284
261,0.0282
261.2,0.0282
261.4,0.0286
261.6,0.0284
261.8,0.028
262,0.0286
262.2,0.0279
262.4,0.0286
262.6,0.0284
262.8,0.0281
263,0.0285
263.2,0.029
263.4,0.0285
263.6,0.0281
263.8,0.0285
264,0.0285
264.2,0.0288
264.4,0.0289
264.6,0.0282
264.8,0.0284
265,0.0286
265.2,0.0286
265.4,0.0283
265.6,0.0286
265.8,0.0288
266,0.029
266.2,0.0289
266.4,0.0285
266.6,0.0284
266.8,0.0286
267,0.029
267.2,0.0289
267.4,0.029
267.6,0.0289
267.8,0.0295
268,0.029
268.2,0.0289
268.4,0.029
268.6,0.0291
268.8,0.0291
269,0.0292
269.2,0.0292
269.4,0.0288
269.6,0.0295
269.8,0.0289
270,0.0291
270.2,0.029
270.4,0.0287
270.6,0.0286
270.8,0.0285
271,0.0287
271.2,0.0289
271.4,0.0283
271.6,0.0282
271.8,0.0268
272,0.0279
272.2,0.0281
272.4,0.0285
272.6,0.0283
272.8,0.0286
273,0.028
273.2,0.0281
273.4,0.0282
273.6,0.0279
273.8,0.0279
274,0.0279
274.2,0.0276
274.4,0.0277
274.6,0.0279
274.8,0.0276
275,0.0278
275.2,0.0272
275.4,0.0269
275.6,0.0267
275.8,0.0269
276,0.0277
276.2,0.0261
276.4,0.0271
276.6,0.0267
276.8,0.0265
277,0.0266
277.2,0.0265
277.4,0.0266
277.6,0.0267
277.8,0.0262
278,0.0264
278.2,0.027
278.4,0.0268
278.6,0.0266
278.8,0.0261
279,0.0266
279.2,0.0262
279.4,0.0268
279.6,0.0261
279.8,0.0263
280,0.026
280.2,0.0258
280.4,0.0256
280.6,0.0261
280.8,0.0254
281,0.0259
281.2,0.0257
281.4,0.0262
281.6,0.0251
281.8,0.026
282,0.0248
282.2,0.0245
282.4,0.0246
282.6,0.0246
282.8,0.024
283,0.0247
283.2,0.0243
283.4,0.0247
283.6,0.024
283.8,0.0234
284,0.0236
284.2,0.0234
284.4,0.0231
284.6,0.0219
284.8,0.0228
285,0.0223
285.2,0.0224
285.4,0.0222
285.6,0.0214
285.8,0.0213
286,0.0216
286.2,0.0209
286.4,0.0205
286.6,0.0208
286.8,0.0199
287,0.0205
287.2,0.0199
287.4,0.0197
287.6,0.0194
287.8,0.0193
288,0.0193
288.2,0.0197
288.4,0.0192
