Batch,scan004
EV300,140607
Data Mode,A  None
Sample,"PC_22:6,MeOH"
Cycle,Cycle01
Date Collected,8/10/16
Time Collected,8:48:36PM
Entries,Data Points
nm,A
190,0.4805
190.2,0.3302
190.4,0.4627
190.6,0.5298
190.8,0.3463
191,0.369
191.2,0.4183
191.4,0.4307
191.6,0.5636
191.8,0.3877
192,0.5296
192.2,0.4431
192.4,0.3435
192.6,0.415
192.8,0.4534
193,0.4371
193.2,0.3379
193.4,0.4503
193.6,0.4849
193.8,0.3812
194,0.4765
194.2,0.435
194.4,0.4295
194.6,0.4779
194.8,0.4832
195,0.4004
195.2,0.4176
195.4,0.4183
195.6,0.4079
195.8,0.5109
196,0.3914
196.2,0.4437
196.4,0.3999
196.6,0.4346
196.8,0.358
197,0.3959
197.2,0.4087
197.4,0.3757
197.6,0.3727
197.8,0.3296
198,0.4017
198.2,0.4105
198.4,0.3973
198.6,0.4056
198.8,0.389
199,0.3862
199.2,0.3543
199.4,0.421
199.6,0.3813
199.8,0.3745
200,0.4093
200.2,0.4287
200.4,0.4381
200.6,0.3844
200.8,0.391
201,0.3779
201.2,0.3653
201.4,0.4168
201.6,0.4039
201.8,0.3521
202,0.369
202.2,0.4094
202.4,0.3845
202.6,0.4042
202.8,0.3843
203,0.4098
203.2,0.4048
203.4,0.4146
203.6,0.4324
203.8,0.4095
204,0.3865
204.2,0.3693
204.4,0.3579
204.6,0.3789
204.8,0.4265
205,0.4061
205.2,0.3795
205.4,0.3774
205.6,0.3358
205.8,0.3903
206,0.3692
206.2,0.3806
206.4,0.422
206.6,0.4152
206.8,0.4065
207,0.3838
207.2,0.3985
207.4,0.3842
207.6,0.3975
207.8,0.4227
208,0.3906
208.2,0.3629
208.4,0.411
208.6,0.4
208.8,0.4304
209,0.4255
209.2,0.3903
209.4,0.4108
209.6,0.3883
209.8,0.4002
210,0.4021
210.2,0.4339
210.4,0.4187
210.6,0.4164
210.8,0.396
211,0.3916
211.2,0.4163
211.4,0.4141
211.6,0.4173
211.8,0.4325
212,0.4303
212.2,0.4398
212.4,0.4327
212.6,0.4449
212.8,0.4398
213,0.4622
213.2,0.4106
213.4,0.4696
213.6,0.4387
213.8,0.4738
214,0.5016
214.2,0.4704
214.4,0.492
214.6,0.4894
214.8,0.5331
215,0.5068
215.2,0.5528
215.4,0.5371
215.6,0.5641
215.8,0.5567
216,0.5806
216.2,0.6182
216.4,0.6077
216.6,0.6092
216.8,0.6311
217,0.6534
217.2,0.663
217.4,0.6817
217.6,0.6907
217.8,0.7054
218,0.7374
218.2,0.7577
218.4,0.774
218.6,0.8034
218.8,0.8196
219,0.8374
219.2,0.8557
219.4,0.8916
219.6,0.8928
219.8,0.9192
220,0.9348
220.2,0.9679
220.4,0.995
220.6,1.0098
220.8,1.0335
221,1.0531
221.2,1.0773
221.4,1.0935
221.6,1.1154
221.8,1.1364
222,1.1587
222.2,1.1862
222.4,1.2099
222.6,1.2249
222.8,1.2444
223,1.0823
223.2,1.0906
223.4,1.1072
223.6,1.1372
223.8,1.1616
224,1.1892
224.2,1.2044
224.4,1.2396
224.6,1.2516
224.8,1.2685
225,1.2833
225.2,1.3157
225.4,1.3296
225.6,1.3475
225.8,1.3683
226,1.3924
226.2,1.4043
226.4,1.4309
226.6,1.4489
226.8,1.4672
227,1.4912
227.2,1.5069
227.4,1.514
227.6,1.5357
227.8,1.553
228,1.5713
228.2,1.5892
228.4,1.6064
228.6,1.6234
228.8,1.6435
229,1.6645
229.2,1.686
229.4,1.7026
229.6,1.7201
229.8,1.735
230,1.7463
230.2,1.7599
230.4,1.7723
230.6,1.7899
230.8,1.806
231,1.8296
231.2,1.8506
231.4,1.8657
231.6,1.8811
231.8,1.8982
232,1.9145
232.2,1.9147
232.4,1.937
232.6,1.9415
232.8,1.959
233,1.9765
233.2,1.9956
233.4,1.9981
233.6,2.0146
233.8,2.0267
234,2.0485
234.2,2.0552
234.4,2.0735
234.6,2.0858
234.8,2.093
235,2.1053
235.2,2.1105
235.4,2.1233
235.6,2.1379
235.8,2.145
236,2.1574
236.2,2.176
236.4,2.1886
236.6,2.2015
236.8,2.2138
237,2.2231
237.2,2.224
237.4,2.2278
237.6,2.2392
237.8,2.2505
238,2.2629
238.2,2.2794
238.4,2.284
238.6,2.2977
238.8,2.2953
239,2.3036
239.2,2.3101
239.4,2.3191
239.6,2.3399
239.8,2.3389
240,2.355
240.2,2.3573
240.4,2.3579
240.6,2.3614
240.8,2.3734
241,2.3855
241.2,2.3904
241.4,2.3919
241.6,2.4029
241.8,2.4089
242,2.4122
242.2,2.4219
242.4,2.4328
242.6,2.4419
242.8,2.4538
243,2.4578
243.2,2.4682
243.4,2.4662
243.6,2.4686
243.8,2.4806
244,2.4719
244.2,2.4819
244.4,2.4856
244.6,2.4937
244.8,2.5021
245,2.51
245.2,2.5072
245.4,2.5113
245.6,2.5172
245.8,2.5182
246,2.522
246.2,2.5258
246.4,2.5208
246.6,2.529
246.8,2.5335
247,2.5484
247.2,2.5574
247.4,2.5652
247.6,2.5714
247.8,2.5738
248,2.5729
248.2,2.5746
248.4,2.575
248.6,2.5816
248.8,2.5856
249,2.5943
249.2,2.6008
249.4,2.5993
249.6,2.6019
249.8,2.602
250,2.5971
250.2,2.6087
250.4,2.6164
250.6,2.6225
250.8,2.6118
251,2.618
251.2,2.6167
251.4,2.6283
251.6,2.6278
251.8,2.6234
252,2.6306
252.2,2.6342
252.4,2.6397
252.6,2.6465
252.8,2.6487
253,2.6496
253.2,2.6364
253.4,2.6401
253.6,2.64
253.8,2.6415
254,2.6444
254.2,2.6293
254.4,2.6436
254.6,2.6427
254.8,2.6601
255,2.6463
255.2,2.6495
255.4,2.6526
255.6,2.6345
255.8,2.6439
256,2.6461
256.2,2.6444
256.4,2.6293
256.6,2.6358
256.8,2.6492
257,2.6286
257.2,2.6427
257.4,2.6322
257.6,2.6355
257.8,2.6505
258,2.645
258.2,2.6389
258.4,2.6379
258.6,2.6315
258.8,2.6315
259,2.6408
259.2,2.6226
259.4,2.6325
259.6,2.626
259.8,2.6264
260,2.6287
260.2,2.6359
260.4,2.6432
260.6,2.6524
260.8,2.6453
261,2.6441
261.2,2.6373
261.4,2.637
261.6,2.6326
261.8,2.6353
262,2.6413
262.2,2.6392
262.4,2.6419
262.6,2.636
262.8,2.6333
263,2.641
263.2,2.6332
263.4,2.6465
263.6,2.6411
263.8,2.6439
264,2.6366
264.2,2.6462
264.4,2.642
264.6,2.6368
264.8,2.6327
265,2.5999
265.2,2.5997
265.4,2.5985
265.6,2.5983
265.8,2.5993
266,2.599
266.2,2.5938
266.4,2.5944
266.6,2.5972
266.8,2.6034
267,2.6047
267.2,2.6022
267.4,2.5982
267.6,2.5949
267.8,2.5903
268,2.5932
268.2,2.5911
268.4,2.591
268.6,2.5957
268.8,2.5948
269,2.5961
269.2,2.593
269.4,2.5997
269.6,2.6006
269.8,2.6047
270,2.5984
270.2,2.6002
270.4,2.6034
270.6,2.6015
270.8,2.6055
271,2.6104
271.2,2.612
271.4,2.6233
271.6,2.6312
271.8,2.6395
272,2.6365
272.2,2.6363
272.4,2.631
272.6,2.6271
272.8,2.6277
273,2.6319
273.2,2.6348
273.4,2.6378
273.6,2.6398
273.8,2.6369
274,2.6405
274.2,2.6368
274.4,2.6367
274.6,2.6392
274.8,2.6329
275,2.6353
275.2,2.6311
275.4,2.6301
275.6,2.6296
275.8,2.6301
276,2.6322
276.2,2.6314
276.4,2.6275
276.6,2.6238
276.8,2.6213
277,2.6174
277.2,2.6154
277.4,2.6135
277.6,2.6101
277.8,2.6017
278,2.599
278.2,2.5878
278.4,2.5867
278.6,2.5809
278.8,2.573
279,2.5712
279.2,2.5639
279.4,2.5572
279.6,2.5478
279.8,2.5423
280,2.5389
280.2,2.5342
280.4,2.5309
280.6,2.5236
280.8,2.5167
281,2.5141
281.2,2.5082
281.4,2.5022
281.6,2.4996
281.8,2.4973
282,2.4916
282.2,2.4914
282.4,2.4862
282.6,2.485
282.8,2.4839
283,2.4798
283.2,2.4728
283.4,2.4652
283.6,2.4612
283.8,2.4574
284,2.455
284.2,2.4542
284.4,2.4492
284.6,2.4484
284.8,2.4473
285,2.4429
285.2,2.4392
285.4,2.4319
285.6,2.4258
285.8,2.4211
286,2.4164
286.2,2.4097
286.4,2.4019
286.6,2.3939
286.8,2.3843
287,2.3739
287.2,2.3646
287.4,2.3509
287.6,2.338
287.8,2.3191
288,2.2998
288.2,2.2773
288.4,2.258
288.6,2.2362
