Batch,scan005
EV300,140607
Data Mode,A  None
Sample,"PC_22:0,MeOH,heated"
Cycle,Cycle01
Date Collected,8/10/16
Time Collected,9:30:07PM
Entries,Data Points
nm,A
190,0.2269
190.2,0.2678
190.4,0.2654
190.6,0.284
190.8,0.3943
191,0.1272
191.2,0.2205
191.4,0.1667
191.6,0.1947
191.8,0.2391
192,0.1884
192.2,0.2619
192.4,0.1864
192.6,0.2667
192.8,0.1993
193,0.1567
193.2,0.3192
193.4,0.2835
193.6,0.2604
193.8,0.2191
194,0.2592
194.2,0.2577
194.4,0.3435
194.6,0.2447
194.8,0.226
195,0.2507
195.2,0.2368
195.4,0.2804
195.6,0.2321
195.8,0.2444
196,0.2843
196.2,0.2636
196.4,0.3057
196.6,0.2248
196.8,0.211
197,0.2343
197.2,0.2921
197.4,0.2087
197.6,0.2489
197.8,0.231
198,0.2252
198.2,0.2491
198.4,0.2932
198.6,0.2783
198.8,0.2114
199,0.1761
199.2,0.2554
199.4,0.2289
199.6,0.2491
199.8,0.2886
200,0.2615
200.2,0.2752
200.4,0.2124
200.6,0.267
200.8,0.2228
201,0.2637
201.2,0.2739
201.4,0.2754
201.6,0.2597
201.8,0.2704
202,0.2397
202.2,0.2786
202.4,0.2227
202.6,0.2778
202.8,0.2378
203,0.2494
203.2,0.2828
203.4,0.306
203.6,0.2414
203.8,0.2695
204,0.2419
204.2,0.2851
204.4,0.2399
204.6,0.2496
204.8,0.2296
205,0.2598
205.2,0.2388
205.4,0.2314
205.6,0.229
205.8,0.2591
206,0.2386
206.2,0.2448
206.4,0.2421
206.6,0.2599
206.8,0.2794
207,0.2563
207.2,0.2339
207.4,0.2357
207.6,0.2626
207.8,0.2337
208,0.2648
208.2,0.1912
208.4,0.2626
208.6,0.2958
208.8,0.2741
209,0.2681
209.2,0.2399
209.4,0.253
209.6,0.2759
209.8,0.2696
210,0.294
210.2,0.3016
210.4,0.2715
210.6,0.2559
210.8,0.2625
211,0.2985
211.2,0.3054
211.4,0.3282
211.6,0.3183
211.8,0.3207
212,0.3502
212.2,0.3497
212.4,0.3815
212.6,0.3825
212.8,0.4156
213,0.4527
213.2,0.4357
213.4,0.4495
213.6,0.4623
213.8,0.4837
214,0.4957
214.2,0.5305
214.4,0.5505
214.6,0.5633
214.8,0.5744
215,0.6239
215.2,0.6404
215.4,0.658
215.6,0.6826
215.8,0.7113
216,0.7335
216.2,0.7532
216.4,0.7844
216.6,0.8002
216.8,0.8236
217,0.8482
217.2,0.883
217.4,0.8982
217.6,0.9232
217.8,0.946
218,0.9694
218.2,0.9899
218.4,1.0231
218.6,1.0414
218.8,1.0674
219,1.0936
219.2,1.1139
219.4,1.1374
219.6,1.1647
219.8,1.1908
220,1.2103
220.2,1.2249
220.4,1.2448
220.6,1.2612
220.8,1.2855
221,1.3099
221.2,1.3306
221.4,1.3546
221.6,1.3723
221.8,1.3965
222,1.4207
222.2,1.4398
222.4,1.4541
222.6,1.4704
222.8,1.4883
223,1.3696
223.2,1.3741
223.4,1.3823
223.6,1.4076
223.8,1.424
224,1.4481
224.2,1.4709
224.4,1.4918
224.6,1.5038
224.8,1.5158
225,1.5365
225.2,1.5399
225.4,1.556
225.6,1.5678
225.8,1.5838
226,1.6102
226.2,1.626
226.4,1.6381
226.6,1.6579
226.8,1.6678
227,1.6759
227.2,1.6891
227.4,1.6894
227.6,1.6972
227.8,1.705
228,1.7139
228.2,1.7191
228.4,1.7223
228.6,1.7226
228.8,1.7226
229,1.7214
229.2,1.724
229.4,1.7226
229.6,1.7157
229.8,1.7009
230,1.6844
230.2,1.6652
230.4,1.6435
230.6,1.6222
230.8,1.5964
231,1.572
231.2,1.5525
231.4,1.5323
231.6,1.5135
231.8,1.4911
232,1.4674
232.2,1.4404
232.4,1.4109
232.6,1.3804
232.8,1.3512
233,1.3215
233.2,1.2921
233.4,1.2613
233.6,1.2344
233.8,1.2073
234,1.1817
234.2,1.1594
234.4,1.1346
234.6,1.1107
234.8,1.0857
235,1.0604
235.2,1.0339
235.4,1.0079
235.6,0.9814
235.8,0.9551
236,0.9299
236.2,0.9069
236.4,0.8848
236.6,0.8649
236.8,0.8453
237,0.8252
237.2,0.8051
237.4,0.7832
237.6,0.7629
237.8,0.7433
238,0.7257
238.2,0.7083
238.4,0.6929
238.6,0.6791
238.8,0.6656
239,0.6495
239.2,0.6338
239.4,0.6189
239.6,0.6049
239.8,0.5912
240,0.5776
240.2,0.5645
240.4,0.5521
240.6,0.5395
240.8,0.527
241,0.5145
241.2,0.5033
241.4,0.4917
241.6,0.4808
241.8,0.4698
242,0.4595
242.2,0.4499
242.4,0.4401
242.6,0.4312
242.8,0.4229
243,0.4144
243.2,0.4065
243.4,0.399
243.6,0.3915
243.8,0.3831
244,0.3751
244.2,0.3662
244.4,0.3569
244.6,0.3487
244.8,0.3418
245,0.3331
245.2,0.3267
245.4,0.3189
245.6,0.3115
245.8,0.3044
246,0.2983
246.2,0.2921
246.4,0.2848
246.6,0.2784
246.8,0.2725
247,0.2674
247.2,0.2625
247.4,0.2584
247.6,0.2548
247.8,0.2513
248,0.2473
248.2,0.2428
248.4,0.2386
248.6,0.2345
248.8,0.23
249,0.2262
249.2,0.2218
249.4,0.2181
249.6,0.214
249.8,0.2097
250,0.2056
250.2,0.2013
250.4,0.1977
250.6,0.1936
250.8,0.1897
251,0.1871
251.2,0.1838
251.4,0.1804
251.6,0.1772
251.8,0.1745
252,0.1721
252.2,0.1699
252.4,0.1674
252.6,0.1659
252.8,0.1639
253,0.1622
253.2,0.16
253.4,0.1586
253.6,0.1562
253.8,0.154
254,0.1518
254.2,0.1506
254.4,0.1485
254.6,0.1467
254.8,0.1442
255,0.1431
255.2,0.1414
255.4,0.1396
255.6,0.1381
255.8,0.1365
256,0.1349
256.2,0.1335
256.4,0.1325
256.6,0.1305
256.8,0.1288
257,0.1269
257.2,0.1252
257.4,0.1238
257.6,0.1223
257.8,0.1205
258,0.1189
258.2,0.1174
258.4,0.1156
258.6,0.1141
258.8,0.1125
259,0.1109
259.2,0.1098
259.4,0.1083
259.6,0.107
259.8,0.1058
260,0.1049
260.2,0.1043
260.4,0.1035
260.6,0.1027
260.8,0.1023
261,0.101
261.2,0.1004
261.4,0.0992
261.6,0.0979
261.8,0.0969
262,0.0959
262.2,0.0943
262.4,0.0932
262.6,0.0919
262.8,0.0907
263,0.0899
263.2,0.0897
263.4,0.0881
263.6,0.0868
263.8,0.0853
264,0.0852
264.2,0.0842
264.4,0.083
264.6,0.082
264.8,0.081
265,0.0803
265.2,0.0796
265.4,0.0787
265.6,0.078
265.8,0.0769
266,0.0759
266.2,0.0754
266.4,0.074
266.6,0.0732
266.8,0.0729
267,0.0726
267.2,0.0723
267.4,0.0719
267.6,0.0716
267.8,0.0712
268,0.0702
268.2,0.0692
268.4,0.0686
268.6,0.0681
268.8,0.0676
269,0.0672
269.2,0.0666
269.4,0.0658
269.6,0.0653
269.8,0.0647
270,0.0641
270.2,0.0632
270.4,0.0627
270.6,0.0622
270.8,0.0618
271,0.0611
271.2,0.0605
271.4,0.0585
271.6,0.0593
271.8,0.0576
272,0.0574
272.2,0.0574
272.4,0.0571
272.6,0.0562
272.8,0.0553
273,0.0544
273.2,0.0539
273.4,0.0534
273.6,0.0527
273.8,0.0525
274,0.0524
274.2,0.0521
274.4,0.0522
274.6,0.0514
274.8,0.0508
275,0.0512
275.2,0.0503
275.4,0.0499
275.6,0.0491
275.8,0.0486
276,0.0483
276.2,0.0478
276.4,0.0475
276.6,0.0468
276.8,0.0466
277,0.0462
277.2,0.0459
277.4,0.0457
277.6,0.0455
277.8,0.0454
278,0.0448
278.2,0.0453
278.4,0.0448
278.6,0.0446
278.8,0.0433
279,0.0438
279.2,0.0432
279.4,0.043
279.6,0.0425
279.8,0.0426
280,0.0418
280.2,0.0427
280.4,0.0417
280.6,0.0417
280.8,0.0409
281,0.0406
281.2,0.0407
281.4,0.0405
281.6,0.0392
281.8,0.0396
282,0.039
282.2,0.0391
282.4,0.0388
282.6,0.0385
282.8,0.0382
283,0.0389
283.2,0.0381
283.4,0.0388
283.6,0.0383
283.8,0.0376
284,0.0381
284.2,0.0391
284.4,0.0396
284.6,0.0396
284.8,0.0396
285,0.04
285.2,0.0403
285.4,0.0404
285.6,0.0399
285.8,0.0399
286,0.04
286.2,0.0394
286.4,0.0394
286.6,0.0401
286.8,0.0394
287,0.0398
287.2,0.0393
287.4,0.0396
287.6,0.0395
287.8,0.0397
288,0.0398
288.2,0.0392
