Batch,scan026
EV300,140607
Data Mode,A  None
Sample,"PC_22-6,MeOH,finaldil_20161026"
Cycle,Cycle01
Date Collected,10/26/16
Time Collected,3:42:32PM
Entries,Data Points
nm,A
190,0.0793
191,0.029
192,0.0663
193,0.1005
194,-0.0258
195,0.0018
196,0.007
197,0.0361
198,0.0151
199,0.0251
200,0.0655
201,-0.0249
202,0.0425
203,0.0368
204,-0.0311
205,-0.025
206,0.0216
207,0.0289
208,0.0283
209,0.0577
210,0.0212
211,0.0227
212,0.0227
213,0.136
214,0.1681
215,0.1927
216,0.2517
217,0.3043
218,0.3692
219,0.44
220,0.4915
221,0.5292
222,0.5624
223,0.5245
224,0.5455
225,0.5798
226,0.6005
227,0.6175
228,0.6283
229,0.6396
230,0.6506
231,0.6542
232,0.66
233,0.6603
234,0.6594
235,0.6576
236,0.6525
237,0.6474
238,0.6368
239,0.6247
240,0.6095
241,0.5929
242,0.5756
243,0.5597
244,0.5424
245,0.5233
246,0.5002
247,0.4766
248,0.4587
249,0.4354
250,0.414
251,0.3909
252,0.3685
253,0.3529
254,0.3383
255,0.3248
256,0.3151
257,0.3068
258,0.3006
259,0.2958
260,0.292
261,0.2909
262,0.2899
263,0.2896
264,0.2898
265,0.2897
266,0.2909
267,0.2926
268,0.2935
269,0.2947
270,0.2956
271,0.2971
272,0.2962
273,0.2955
274,0.294
275,0.2927
276,0.2903
277,0.2877
278,0.2847
279,0.2812
280,0.2775
281,0.2732
282,0.2672
283,0.2621
284,0.2544
285,0.2476
286,0.2407
287,0.2318
288,0.2232
289,0.2143
290,0.2053
291,0.1966
292,0.1884
293,0.1795
294,0.1708
295,0.1635
296,0.1555
297,0.1473
298,0.1405
299,0.1338
300,0.1281
301,0.122
302,0.117
303,0.1115
304,0.1064
305,0.1018
306,0.098
307,0.0944
308,0.0906
309,0.0876
310,0.0844
311,0.0817
312,0.0787
313,0.0762
314,0.0743
315,0.0721
316,0.0704
317,0.0682
318,0.0658
319,0.0644
320,0.0627
321,0.0603
322,0.0593
323,0.0575
324,0.0563
325,0.0543
326,0.0525
327,0.0509
328,0.0495
329,0.0473
330,0.0461
331,0.0449
332,0.0424
333,0.0418
334,0.0401
335,0.0382
336,0.037
337,0.0356
338,0.0339
339,0.0323
340,0.0307
341,0.0296
342,0.0287
343,0.0273
344,0.0262
345,0.0249
346,0.0241
347,0.0228
348,0.0212
349,0.0205
350,0.0191
351,0.019
352,0.0177
353,0.0166
354,0.0161
355,0.0159
356,0.0154
357,0.0139
358,0.0138
359,0.0123
360,0.012
361,0.0114
362,0.011
363,0.0102
364,0.0098
365,0.0088
366,0.0084
367,0.008
368,0.0076
369,0.0065
370,0.0066
371,0.0052
372,0.0055
373,0.0054
374,0.0058
375,0.0041
376,0.0039
377,0.0045
378,0.0043
379,0.0039
380,0.0034
381,0.0027
382,0.0018
383,0.002
384,0.0018
385,0.0016
386,0.0013
387,0.0017
388,0.0015
389,0.0019
390,0.0006
391,0.0007
392,0.0006
393,0
394,0.0005
395,0.0004
396,-0.0001
397,-0.0003
398,-0.0004
399,-0.0008
400,-0.0003
401,-0.0007
402,-0.0004
403,-0.001
404,-0.0017
405,-0.0014
406,-0.0015
407,-0.0014
408,-0.0011
409,-0.0019
410,-0.0024
411,-0.0016
412,-0.0011
413,-0.0023
414,-0.0018
415,-0.0015
416,-0.0019
417,-0.0016
418,-0.0027
419,-0.0024
420,-0.0021
421,-0.0027
422,-0.0027
423,-0.0022
424,-0.0026
425,-0.0021
426,-0.0026
427,-0.0029
428,-0.0027
429,-0.0031
430,-0.0025
431,-0.0036
432,-0.0031
433,-0.0022
434,-0.0034
435,-0.0032
436,-0.0024
437,-0.0029
438,-0.0035
439,-0.0029
440,-0.0031
441,-0.0032
442,-0.003
443,-0.0035
444,-0.0032
445,-0.0031
446,-0.0034
447,-0.0034
448,-0.0034
449,-0.0031
450,-0.0036
451,-0.003
452,-0.0034
453,-0.0033
454,-0.0035
455,-0.0032
456,-0.0036
457,-0.0032
458,-0.0033
459,-0.0031
460,-0.0031
461,-0.0033
462,-0.0026
463,-0.0045
464,-0.0035
465,-0.0032
466,-0.0032
467,-0.0035
468,-0.0032
469,-0.0031
470,-0.004
471,-0.0037
472,-0.004
473,-0.0035
474,-0.0033
475,-0.0036
476,-0.0034
477,-0.0029
478,-0.004
479,-0.0035
480,-0.004
481,-0.0031
482,-0.0037
483,-0.004
484,-0.0037
485,-0.0037
486,-0.0037
487,-0.0037
488,-0.0034
489,-0.0038
490,-0.0039
491,-0.0037
492,-0.0036
493,-0.0039
494,-0.0038
495,-0.0039
496,-0.0038
497,-0.0041
498,-0.0036
499,-0.0034
500,-0.0026
501,-0.0031
502,-0.0028
503,-0.0039
504,-0.0036
505,-0.004
506,-0.0037
507,-0.0035
508,-0.0037
509,-0.0039
510,-0.0032
511,-0.0034
512,-0.003
513,-0.0035
514,-0.0038
515,-0.0024
516,-0.0034
517,-0.0036
518,-0.0038
519,-0.0035
520,-0.0037
521,-0.004
522,-0.0037
523,-0.0037
524,-0.0037
525,-0.0037
526,-0.0037
527,-0.0035
528,-0.0034
529,-0.0035
530,-0.0036
531,-0.0033
532,-0.0036
533,-0.0038
534,-0.0034
535,-0.0039
536,-0.0039
537,-0.004
538,-0.003
539,-0.0033
540,-0.0034
541,-0.0028
542,-0.004
543,-0.004
544,-0.0034
545,-0.0044
546,-0.0038
547,-0.0042
548,-0.0034
549,-0.004
550,-0.0038
551,-0.0036
552,-0.0032
553,-0.0034
554,-0.003
555,-0.0034
556,-0.0028
557,-0.004
558,-0.0029
559,-0.0042
560,-0.0035
561,-0.0035
562,-0.0043
563,-0.0039
564,-0.0039
565,-0.0042
566,-0.0047
567,-0.0036
568,-0.0038
569,-0.0051
570,-0.0039
571,-0.0032
572,-0.0029
573,-0.0042
574,-0.0041
575,-0.0045
576,-0.0033
577,-0.0036
578,-0.004
579,-0.0037
580,-0.0039
581,-0.003
582,-0.0043
583,-0.0058
584,-0.0039
585,-0.0068
586,-0.0048
587,-0.0021
588,-0.003
589,-0.0041
590,-0.0033
591,-0.0037
592,-0.0042
593,-0.0054
594,-0.0052
595,-0.0036
596,-0.004
597,-0.0038
598,-0.0033
599,-0.0033
600,-0.0048
601,-0.0041
602,-0.0025
603,-0.0026
604,-0.0037
605,-0.0031
606,-0.004
607,-0.004
608,-0.0035
609,-0.0042
610,-0.0037
611,-0.003
612,-0.0036
613,-0.0042
614,-0.0053
615,-0.0031
616,-0.0029
617,-0.0043
618,-0.0029
619,-0.0048
620,-0.0045
621,-0.0032
622,-0.0037
623,-0.0035
624,-0.004
625,-0.0026
626,-0.0032
627,-0.0024
628,-0.0028
629,-0.0033
630,-0.0043
631,-0.0025
632,-0.0042
633,-0.0028
634,-0.0044
635,-0.0041
636,-0.0038
637,-0.0017
638,-0.0035
639,-0.003
640,-0.0044
641,-0.0049
642,-0.0028
643,-0.0026
644,-0.003
645,-0.0031
646,-0.0037
647,-0.0037
648,-0.0031
649,-0.0021
650,-0.0023
651,-0.0026
652,-0.0046
653,-0.0031
654,-0.0047
655,-0.0035
656,-0.0039
657,-0.005
658,-0.0045
659,-0.004
660,-0.0037
661,-0.0019
662,-0.0031
663,-0.0037
664,-0.0038
665,-0.0016
666,-0.0038
667,-0.0021
668,0
669,-0.0033
670,-0.002
671,-0.0028
672,-0.0043
673,-0.0021
674,-0.0031
675,-0.002
676,-0.0012
677,-0.0041
678,-0.0034
679,-0.0037
680,-0.0035
681,-0.002
682,-0.0033
683,-0.0036
684,-0.0025
685,-0.0028
686,-0.0042
687,-0.0022
688,-0.0037
689,-0.0018
690,-0.0021
691,-0.0015
692,-0.0039
693,-0.0049
694,-0.0038
695,-0.0034
696,-0.003
697,-0.0031
698,-0.0033
699,-0.0031
700,-0.0026
701,-0.0034
702,-0.0037
703,-0.0038
704,-0.0021
705,-0.0041
706,-0.0036
707,-0.0049
708,-0.0045
709,-0.0025
710,-0.0037
711,-0.0029
712,-0.002
713,-0.0024
714,-0.0049
715,-0.0032
716,-0.0019
717,-0.0028
718,-0.0029
719,-0.0037
720,-0.0036
721,-0.0031
722,-0.0033
723,-0.0029
724,-0.0027
725,-0.0015
726,-0.0032
727,-0.0033
728,-0.0034
729,-0.0032
730,-0.0028
731,-0.0034
732,-0.0028
733,-0.0042
734,-0.0024
735,-0.0037
736,-0.0042
737,-0.0025
738,-0.0031
739,-0.0029
740,-0.0044
741,-0.0034
742,-0.0031
743,0.0003
744,-0.0032
745,-0.0037
746,-0.005
