Batch,scan007
EV300,140607
Data Mode,A  None
Sample,DHA_100uL_plus_9950uLMeOH
Cycle,Cycle01
Date Collected,1/18/17
Time Collected,4:08:44PM
Entries,Data Points
nm,A
190,-0.104727362
190.2,0.021972638
190.4,0.030472638
190.6,0.063072638
190.8,-0.306027362
191,-0.108427362
191.2,-0.112727362
191.4,-0.142927362
191.6,-0.140327362
191.8,-0.039127362
192,0.019072638
192.2,-0.004127362
192.4,0.022672638
192.6,0.000672638
192.8,0.053072638
193,-0.053427362
193.2,-0.043927362
193.4,0.022572638
193.6,0.002772638
193.8,0.004672638
194,-0.080127362
194.2,-0.046327362
194.4,0.008772638
194.6,0.015572638
194.8,-0.033727362
195,0.034372638
195.2,-0.068427362
195.4,-0.025327362
195.6,-0.022927362
195.8,-0.045427362
196,-0.019227362
196.2,0.022872638
196.4,0.032672638
196.6,0.005672638
196.8,0.047772638
197,-0.093127362
197.2,-0.030827362
197.4,-0.066927362
197.6,0.041172638
197.8,0.002572638
198,-0.004527362
198.2,-0.059227362
198.4,-0.039727362
198.6,-0.007127362
198.8,-0.047827362
199,-0.010627362
199.2,0.030572638
199.4,-0.045927362
199.6,0.030072638
199.8,-0.043227362
200,-0.001627362
200.2,-0.001527362
200.4,-0.052527362
200.6,0.024472638
200.8,0.064872638
201,-0.054727362
201.2,0.025872638
201.4,0.045572638
201.6,-0.017227362
201.8,0.039472638
202,0.074972638
202.2,0.005472638
202.4,0.020472638
202.6,-0.059727362
202.8,0.022172638
203,0.067872638
203.2,-0.051127362
203.4,0.009272638
203.6,0.027672638
203.8,-0.010027362
204,-0.003127362
204.2,-0.004627362
204.4,0.038372638
204.6,-0.029627362
204.8,0.023272638
205,0.009072638
205.2,-0.011627362
205.4,0.026172638
205.6,-0.009027362
205.8,-0.004427362
206,0.001472638
206.2,0.037572638
206.4,0.010272638
206.6,0.006272638
206.8,0.010972638
207,0.011672638
207.2,0.008472638
207.4,-0.008827362
207.6,-0.013927362
207.8,0.015072638
208,-0.024627362
208.2,-0.025327362
208.4,0.055472638
208.6,-0.024527362
208.8,0.035172638
209,0.036872638
209.2,-0.027427362
209.4,0.002772638
209.6,0.008972638
209.8,0.037972638
210,-0.009827362
210.2,-0.005227362
210.4,-0.006627362
210.6,0.025772638
210.8,0.018472638
211,0.026172638
211.2,0.034572638
211.4,0.042372638
211.6,0.029072638
211.8,0.016772638
212,0.019872638
212.2,0.042272638
212.4,0.039972638
212.6,0.034472638
212.8,0.017472638
213,0.058072638
213.2,0.072372638
213.4,0.074772638
213.6,0.086272638
213.8,0.080872638
214,0.092772638
214.2,0.145972638
214.4,0.135772638
214.6,0.118072638
214.8,0.138672638
215,0.118672638
215.2,0.156672638
215.4,0.157072638
215.6,0.201172638
215.8,0.172972638
216,0.235272638
216.2,0.254772638
216.4,0.277272638
216.6,0.255572638
216.8,0.290072638
217,0.289572638
217.2,0.312272638
217.4,0.314272638
217.6,0.341272638
217.8,0.360272638
218,0.407372638
218.2,0.392972638
218.4,0.433072638
218.6,0.431872638
218.8,0.454872638
219,0.480372638
219.2,0.494972638
219.4,0.501472638
219.6,0.528672638
219.8,0.535672638
220,0.545072638
220.2,0.549772638
220.4,0.551772638
220.6,0.543272638
220.8,0.544472638
221,0.527372638
221.2,0.523272638
221.4,0.515572638
221.6,0.499772638
221.8,0.494372638
222,0.479972638
222.2,0.471772638
222.4,0.459872638
222.6,0.446172638
222.8,0.435072638
223,0.401172638
223.2,0.364572638
223.4,0.381972638
223.6,0.362172638
223.8,0.352772638
224,0.357272638
224.2,0.341072638
224.4,0.346272638
224.6,0.336972638
224.8,0.331372638
225,0.330172638
225.2,0.324572638
225.4,0.320872638
225.6,0.315972638
225.8,0.320272638
226,0.312272638
226.2,0.308372638
226.4,0.315372638
226.6,0.309972638
226.8,0.311472638
227,0.310872638
227.2,0.313572638
227.4,0.311472638
227.6,0.313572638
227.8,0.316172638
228,0.313772638
228.2,0.316172638
228.4,0.318472638
228.6,0.317372638
228.8,0.319672638
229,0.320372638
229.2,0.322072638
229.4,0.323572638
229.6,0.324772638
229.8,0.325472638
230,0.325972638
230.2,0.327472638
230.4,0.329472638
230.6,0.330272638
230.8,0.331372638
231,0.332672638
231.2,0.334172638
231.4,0.335772638
231.6,0.336372638
231.8,0.338472638
232,0.338772638
232.2,0.341072638
232.4,0.340972638
232.6,0.342872638
232.8,0.343172638
233,0.345572638
233.2,0.345972638
233.4,0.347972638
233.6,0.348572638
233.8,0.349572638
234,0.350172638
234.2,0.351572638
234.4,0.352472638
234.6,0.353372638
234.8,0.354772638
235,0.354672638
235.2,0.356272638
235.4,0.356272638
235.6,0.357372638
235.8,0.359172638
236,0.359272638
236.2,0.360672638
236.4,0.361772638
236.6,0.361172638
236.8,0.361972638
237,0.362372638
237.2,0.362472638
237.4,0.362572638
237.6,0.361972638
237.8,0.361472638
238,0.362972638
238.2,0.361872638
238.4,0.361872638
238.6,0.363172638
238.8,0.361872638
239,0.361372638
239.2,0.361172638
239.4,0.359372638
239.6,0.358872638
239.8,0.357972638
240,0.357572638
240.2,0.356372638
240.4,0.355272638
240.6,0.353572638
240.8,0.353372638
241,0.351872638
241.2,0.350572638
241.4,0.349872638
241.6,0.348872638
241.8,0.346672638
242,0.345372638
242.2,0.344472638
242.4,0.343072638
242.6,0.341472638
242.8,0.340572638
243,0.339072638
243.2,0.337672638
243.4,0.336272638
243.6,0.334972638
243.8,0.333672638
244,0.331972638
244.2,0.330272638
244.4,0.328872638
244.6,0.326572638
244.8,0.325372638
245,0.322772638
245.2,0.321372638
245.4,0.319372638
245.6,0.316772638
245.8,0.315172638
246,0.312772638
246.2,0.311072638
246.4,0.308172638
246.6,0.306172638
246.8,0.303772638
247,0.301472638
247.2,0.299172638
247.4,0.297172638
247.6,0.295572638
247.8,0.293372638
248,0.291272638
248.2,0.288772638
248.4,0.285372638
248.6,0.282672638
248.8,0.279772638
249,0.277572638
249.2,0.274572638
249.4,0.271572638
249.6,0.268872638
249.8,0.265572638
250,0.262472638
250.2,0.259672638
250.4,0.256872638
250.6,0.253972638
250.8,0.250872638
251,0.247772638
251.2,0.244872638
251.4,0.241672638
251.6,0.238472638
251.8,0.235672638
252,0.232572638
252.2,0.229472638
252.4,0.227172638
252.6,0.224972638
252.8,0.223072638
253,0.220472638
253.2,0.218272638
253.4,0.215572638
253.6,0.213472638
253.8,0.210272638
254,0.208072638
254.2,0.205272638
254.4,0.203572638
254.6,0.200472638
254.8,0.198472638
255,0.196272638
255.2,0.194072638
255.4,0.192172638
255.6,0.190372638
255.8,0.187972638
256,0.185772638
256.2,0.184272638
256.4,0.182372638
256.6,0.180972638
256.8,0.179072638
257,0.177272638
257.2,0.176072638
257.4,0.174972638
257.6,0.173472638
257.8,0.171972638
258,0.170872638
258.2,0.170272638
258.4,0.169372638
258.6,0.168372638
258.8,0.166972638
259,0.166972638
259.2,0.166072638
259.4,0.165672638
259.6,0.165672638
259.8,0.165072638
260,0.165072638
260.2,0.164972638
260.4,0.164372638
260.6,0.164672638
260.8,0.164772638
261,0.164872638
261.2,0.164572638
261.4,0.165072638
261.6,0.165472638
261.8,0.165472638
262,0.165572638
262.2,0.165872638
262.4,0.166072638
262.6,0.166372638
262.8,0.166672638
263,0.165972638
263.2,0.166272638
263.4,0.165972638
263.6,0.166172638
263.8,0.166172638
264,0.167072638
264.2,0.166272638
264.4,0.165972638
264.6,0.165472638
264.8,0.166172638
265,0.164972638
265.2,0.164472638
265.4,0.164172638
265.6,0.163872638
265.8,0.163272638
266,0.162572638
266.2,0.162172638
266.4,0.161572638
266.6,0.161572638
266.8,0.161472638
267,0.160572638
267.2,0.160572638
267.4,0.159872638
267.6,0.160072638
267.8,0.158972638
268,0.159172638
268.2,0.158972638
268.4,0.158872638
268.6,0.158972638
268.8,0.159272638
269,0.159272638
269.2,0.159272638
269.4,0.159872638
269.6,0.160472638
269.8,0.160572638
270,0.160972638
270.2,0.161772638
270.4,0.162572638
270.6,0.163572638
270.8,0.164272638
271,0.165372638
271.2,0.166772638
271.4,0.167272638
271.6,0.168172638
271.8,0.168872638
272,0.169372638
272.2,0.170472638
272.4,0.171272638
272.6,0.172772638
272.8,0.174172638
273,0.175072638
273.2,0.176372638
273.4,0.176472638
273.6,0.178172638
273.8,0.178672638
274,0.179072638
274.2,0.179972638
274.4,0.179972638
274.6,0.180772638
274.8,0.180772638
275,0.180572638
275.2,0.180172638
275.4,0.180272638
275.6,0.179572638
275.8,0.179272638
276,0.178072638
276.2,0.178172638
276.4,0.176972638
276.6,0.175672638
276.8,0.174172638
277,0.173272638
277.2,0.171972638
277.4,0.170672638
277.6,0.169272638
277.8,0.167872638
278,0.166172638
278.2,0.164472638
278.4,0.162672638
278.6,0.161672638
278.8,0.159372638
279,0.158372638
279.2,0.156472638
279.4,0.155772638
279.6,0.153972638
279.8,0.152472638
280,0.151072638
280.2,0.149772638
280.4,0.148872638
280.6,0.147272638
280.8,0.146372638
281,0.146072638
281.2,0.144972638
281.4,0.143772638
281.6,0.144272638
281.8,0.143672638
282,0.142772638
282.2,0.142472638
282.4,0.142272638
282.6,0.142272638
282.8,0.142172638
283,0.141872638
283.2,0.141972638
283.4,0.141372638
283.6,0.142472638
283.8,0.142572638
284,0.142572638
284.2,0.142772638
284.4,0.143072638
284.6,0.143172638
284.8,0.143672638
285,0.143272638
285.2,0.143372638
285.4,0.143372638
285.6,0.143272638
285.8,0.143472638
286,0.143172638
286.2,0.142872638
