Batch,scan006
EV300,140607
Data Mode,A  None
Sample,Sample001
Cycle,Cycle01
Date Collected,1/18/17
Time Collected,3:55:09PM
Entries,Data Points
nm,A
190,-0.0161
190.2,-0.0096
190.4,-0.0044
190.6,-0.0172
190.8,-0.0676
191,-0.0363
191.2,0.0202
191.4,-0.0865
191.6,0.0122
191.8,0.0092
192,-0.0239
192.2,0.075
192.4,0.1223
192.6,-0.021
192.8,0.0489
193,0.0044
193.2,0.0286
193.4,-0.0242
193.6,0.0909
193.8,-0.1053
194,-0.0166
194.2,0.0253
194.4,0.0309
194.6,0.0175
194.8,0.0164
195,0.1079
195.2,-0.0247
195.4,0.0129
195.6,0.0605
195.8,0.0382
196,0.0565
196.2,0.0987
196.4,-0.0004
196.6,0.0312
196.8,0.0957
197,0.0675
197.2,0.0658
197.4,-0.0098
197.6,0.0403
197.8,0.113
198,0.0627
198.2,-0.0053
198.4,0.0477
198.6,0.0459
198.8,0.0093
199,0.0512
199.2,0.0446
199.4,0.0602
199.6,0.1072
199.8,0.0356
200,0.0101
200.2,0.0977
200.4,0.0126
200.6,0.0922
200.8,0.0705
201,0.0364
201.2,0.0545
201.4,0.0571
201.6,0.0693
201.8,0.0741
202,0.1056
202.2,0.0092
202.4,0.1237
202.6,0.0508
202.8,0.0715
203,0.1424
203.2,0.0654
203.4,0.0478
203.6,0.0939
203.8,0.0682
204,0.0643
204.2,0.0726
204.4,0.0612
204.6,0.0703
204.8,0.0704
205,0.0969
205.2,0.0557
205.4,0.0929
205.6,0.0733
205.8,0.1225
206,0.0657
206.2,0.1159
206.4,0.0329
206.6,0.126
206.8,0.0611
207,0.0928
207.2,0.0443
207.4,0.0693
207.6,0.0969
207.8,0.0911
208,0.0597
208.2,0.077
208.4,0.1173
208.6,0.0733
208.8,0.101
209,0.1278
209.2,0.0468
209.4,0.0805
209.6,0.1101
209.8,0.062
210,0.0652
210.2,0.0893
210.4,0.1282
210.6,0.135
210.8,0.1053
211,0.108
211.2,0.1512
211.4,0.1079
211.6,0.126
211.8,0.1076
212,0.0927
212.2,0.0974
212.4,0.1236
212.6,0.1195
212.8,0.1047
213,0.1791
213.2,0.1737
213.4,0.155
213.6,0.1789
213.8,0.1875
214,0.1681
214.2,0.2162
214.4,0.178
214.6,0.1764
214.8,0.2197
215,0.2117
215.2,0.2232
215.4,0.2333
215.6,0.2482
215.8,0.2547
216,0.2939
216.2,0.3235
216.4,0.3044
216.6,0.2981
216.8,0.3743
217,0.3964
217.2,0.4007
217.4,0.4122
217.6,0.4348
217.8,0.4445
218,0.4886
218.2,0.462
218.4,0.5112
218.6,0.5257
218.8,0.5549
219,0.5786
219.2,0.5929
219.4,0.6051
219.6,0.6413
219.8,0.6711
220,0.6999
220.2,0.724
220.4,0.7324
220.6,0.7516
220.8,0.7819
221,0.7923
221.2,0.8219
221.4,0.8332
221.6,0.8553
221.8,0.8597
222,0.866
222.2,0.8723
222.4,0.8731
222.6,0.8565
222.8,0.8548
223,0.7442
223.2,0.7302
223.4,0.7082
223.6,0.6896
223.8,0.6707
224,0.6617
224.2,0.6406
224.4,0.6247
224.6,0.6074
224.8,0.5907
225,0.5681
225.2,0.5471
225.4,0.5346
225.6,0.517
225.8,0.5053
226,0.4889
226.2,0.4753
226.4,0.4724
226.6,0.456
226.8,0.4436
227,0.4335
227.2,0.4299
227.4,0.4194
227.6,0.4118
227.8,0.4043
228,0.3964
228.2,0.3902
228.4,0.3855
228.6,0.3785
228.8,0.375
229,0.3709
229.2,0.3673
229.4,0.3642
229.6,0.3628
229.8,0.3581
230,0.3555
230.2,0.352
230.4,0.3497
230.6,0.3463
230.8,0.3438
231,0.3394
231.2,0.3381
231.4,0.3349
231.6,0.3328
231.8,0.3318
232,0.3299
232.2,0.3286
232.4,0.3261
232.6,0.323
232.8,0.3214
233,0.3196
233.2,0.3184
233.4,0.317
233.6,0.3144
233.8,0.3116
234,0.3105
234.2,0.309
234.4,0.3078
234.6,0.3062
234.8,0.3055
235,0.3034
235.2,0.3033
235.4,0.301
235.6,0.2991
235.8,0.2985
236,0.2964
236.2,0.296
236.4,0.2951
236.6,0.294
236.8,0.293
237,0.2918
237.2,0.2916
237.4,0.2913
237.6,0.2892
237.8,0.2891
238,0.2891
238.2,0.2877
238.4,0.2867
238.6,0.2881
238.8,0.2872
239,0.2866
239.2,0.2865
239.4,0.2863
239.6,0.2859
239.8,0.286
240,0.2864
240.2,0.2863
240.4,0.286
240.6,0.2855
240.8,0.2861
241,0.2859
241.2,0.2865
241.4,0.2864
241.6,0.2862
241.8,0.2867
242,0.2868
242.2,0.2871
242.4,0.2874
242.6,0.2875
242.8,0.2877
243,0.2878
243.2,0.2881
243.4,0.2879
243.6,0.2882
243.8,0.2887
244,0.2886
244.2,0.289
244.4,0.2893
244.6,0.2894
244.8,0.2899
245,0.29
245.2,0.2898
245.4,0.2901
245.6,0.2902
245.8,0.2903
246,0.2902
246.2,0.291
246.4,0.2909
246.6,0.2912
246.8,0.2911
247,0.2913
247.2,0.2913
247.4,0.2912
247.6,0.2916
247.8,0.2915
248,0.2914
248.2,0.2914
248.4,0.291
248.6,0.2912
248.8,0.2911
249,0.2914
249.2,0.2912
249.4,0.2908
249.6,0.2908
249.8,0.2911
250,0.2905
250.2,0.2904
250.4,0.2905
250.6,0.2908
250.8,0.2903
251,0.2905
251.2,0.2907
251.4,0.2904
251.6,0.2902
251.8,0.2909
252,0.2902
252.2,0.2896
252.4,0.29
252.6,0.2899
252.8,0.2899
253,0.2894
253.2,0.2887
253.4,0.2884
253.6,0.2881
253.8,0.288
254,0.2881
254.2,0.2873
254.4,0.2866
254.6,0.286
254.8,0.2861
255,0.2851
255.2,0.285
255.4,0.2843
255.6,0.2842
255.8,0.2832
256,0.2833
256.2,0.2827
256.4,0.2825
256.6,0.2826
256.8,0.2824
257,0.2817
257.2,0.2816
257.4,0.2811
257.6,0.2815
257.8,0.2814
258,0.2804
258.2,0.281
258.4,0.2812
258.6,0.2815
258.8,0.2816
259,0.2821
259.2,0.2822
259.4,0.2832
259.6,0.2837
259.8,0.2841
260,0.2851
260.2,0.2856
260.4,0.286
260.6,0.2863
260.8,0.2873
261,0.2875
261.2,0.2879
261.4,0.2882
261.6,0.2892
261.8,0.2894
262,0.2903
262.2,0.2914
262.4,0.2926
262.6,0.2924
262.8,0.2929
263,0.2932
263.2,0.2934
263.4,0.2931
263.6,0.2931
263.8,0.2942
264,0.2937
264.2,0.2942
264.4,0.2931
264.6,0.2925
264.8,0.2937
265,0.2923
265.2,0.2919
265.4,0.2917
265.6,0.2912
265.8,0.2903
266,0.2897
266.2,0.2891
266.4,0.2883
266.6,0.288
266.8,0.288
267,0.2867
267.2,0.2866
267.4,0.2864
267.6,0.286
267.8,0.2856
268,0.2856
268.2,0.2855
268.4,0.2854
268.6,0.286
268.8,0.2856
269,0.2856
269.2,0.2863
269.4,0.2864
269.6,0.2874
269.8,0.2878
270,0.2887
270.2,0.2889
270.4,0.2907
270.6,0.291
270.8,0.2933
271,0.2939
271.2,0.2955
271.4,0.2968
271.6,0.2977
271.8,0.298
272,0.2998
272.2,0.3008
272.4,0.3024
272.6,0.3051
272.8,0.3067
273,0.3085
273.2,0.3099
273.4,0.3112
273.6,0.3133
273.8,0.3136
274,0.3144
274.2,0.3155
274.4,0.3157
274.6,0.316
274.8,0.3168
275,0.3164
275.2,0.3157
275.4,0.3159
275.6,0.3149
275.8,0.3141
276,0.3123
276.2,0.3119
276.4,0.3104
276.6,0.3085
276.8,0.3056
277,0.3046
277.2,0.3028
277.4,0.3005
277.6,0.2985
277.8,0.2962
278,0.2939
278.2,0.2914
278.4,0.2888
278.6,0.2872
278.8,0.2839
279,0.2813
279.2,0.2782
279.4,0.2772
279.6,0.2746
279.8,0.2717
280,0.2692
280.2,0.2678
280.4,0.2657
280.6,0.2636
280.8,0.2619
281,0.2601
281.2,0.2587
281.4,0.2567
281.6,0.2562
281.8,0.2548
282,0.2536
282.2,0.2529
282.4,0.2522
282.6,0.2515
282.8,0.2507
283,0.2505
283.2,0.2509
283.4,0.25
283.6,0.2503
283.8,0.2503
284,0.2498
284.2,0.2498
284.4,0.2496
284.6,0.2491
284.8,0.2486
285,0.249
285.2,0.2481
285.4,0.2474
285.6,0.2459
285.8,0.2458
286,0.2443
286.2,0.2427
286.4,0.2416
286.6,0.2401
286.8,0.238
287,0.2358
287.2,0.2339
287.4,0.2307
287.6,0.2288
287.8,0.2258
288,0.2227
288.2,0.2197
288.4,0.2158
288.6,0.2122
288.8,0.2085
289,0.2038
289.2,0.1995
289.4,0.1952
289.6,0.1914
289.8,0.1861
290,0.1816
290.2,0.1777
290.4,0.1716
290.6,0.1663
290.8,0.1612
291,0.1572
291.2,0.1526
291.4,0.1484
291.6,0.1435
291.8,0.1384
292,0.134
292.2,0.1295
292.4,0.1249
292.6,0.1204
292.8,0.116
293,0.111
293.2,0.1071
293.4,0.1031
293.6,0.0985
293.8,0.0947
294,0.091
294.2,0.0872
294.4,0.0836
294.6,0.0805
294.8,0.0775
295,0.0741
295.2,0.0721
295.4,0.0698
295.6,0.0677
295.8,0.0648
296,0.0626
296.2,0.0604
296.4,0.0585
296.6,0.0562
296.8,0.0547
297,0.0539
297.2,0.0516
297.4,0.0506
297.6,0.0497
297.8,0.0483
298,0.0474
298.2,0.0471
298.4,0.0456
298.6,0.0449
298.8,0.0448
299,0.044
299.2,0.0431
299.4,0.0427
299.6,0.0423
299.8,0.0412
300,0.0411
300.2,0.041
300.4,0.0406
300.6,0.0403
300.8,0.0401
301,0.0396
301.2,0.0394
301.4,0.0398
301.6,0.0389
301.8,0.0387
