"LMG14-01 cruise event log, retrieved on 20161122 from http://oceaninformatics.ucsd.edu/datazoo/data/pallter/datasets?action=view&id=45",,,,,,,,,,,,,
studyName,Event Number,Event Group,Cast Number,Activity,Datetime GMT,Grid Station,Station Name,Calculated Grid Line,Calculated Grid Station,Latitude (å¼),Longitude (å¼),Comments,Data Notes
LMG14-01,1,,,Other,1/1/14 9:13,,,1455.3607,1105.5364,-52.80132,-67.93522,Start data logging at 68W,
LMG14-01,2,,,Mooring Event,1/7/14 11:02,,Palmer Station,624.0592,39.3099,-64.77468,-64.0554,,
LMG14-01,3,,,2m Net Tow,1/7/14 11:52,,Station E,620.2428,36.0016,-64.82,-64.05546,,
LMG14-01,4,,,2m Net Tow,1/7/14 13:55,600.04,,599.9338,40.1349,-64.93291,-64.40306,,
LMG14-01,5,,,AC-9,1/7/14 16:18,600.04,,599.98,40.0729,-64.93296,-64.40143,,
LMG14-01,6,,,PRR,1/7/14 16:34,600.04,,600.005,40.003,-64.93321,-64.39997,,
LMG14-01,7,,,PRR,1/7/14 16:51,600.04,,600.0221,39.9834,-64.93321,-64.39942,,
LMG14-01,8,,,CTD,1/7/14 17:07,600.04,,599.9407,40.0575,-64.93332,-64.40174,CTD Cast 001,
LMG14-01,9,,,2m Net Tow,1/7/14 18:35,600.04,,599.9458,40.0715,-64.9332,-64.40189,,
LMG14-01,10,,,1m Net Tow,1/7/14 19:10,600.04,,598.9136,39.1154,-64.94582,-64.40109,,
LMG14-01,11,,,CTD,1/7/14 20:10,600.04,,597.7299,38.1249,-64.95966,-64.40186,CTD Cast 002 water for Filipa,
LMG14-01,12,,,2m Net Tow,1/7/14 22:09,600.04,,599.9395,39.8899,-64.93432,-64.39909,,
LMG14-01,13,,,2m Net Tow,1/7/14 22:46,600.04,,599.3317,38.7533,-64.94514,-64.38949,,
LMG14-01,14,,,Whaling event,1/8/14 0:09,600.04,,592.3761,38.9286,-64.99099,-64.48952,,
LMG14-01,15,,,AC-9,1/8/14 8:00,616.04,,616.1408,39.9011,-64.82482,-64.17415,,
LMG14-01,16,,,CTD,1/8/14 8:25,616.04,,616.1338,39.9076,-64.82483,-64.17435,CTD Cast 003,
LMG14-01,17,,,2m Net Tow,1/8/14 9:27,616.04,,615.96,39.555,-64.82808,-64.17115,,
LMG14-01,18,,,1m Net Tow,1/8/14 10:04,616.04,,614.8027,38.113,-64.84441,-64.16425,,
LMG14-01,19,,,Birder Event,1/8/14 10:35,616.04,,614.0136,37.058,-64.85596,-64.1584,,
LMG14-01,20,,,CTD,1/8/14 10:38,616.04,,614.0003,37.0176,-64.85629,-64.15795,CTD Cast 004 Water for Filipa,
LMG14-01,21,,,Whaling event,1/8/14 11:49,616.04,,615.0164,38.3446,-64.8416,-64.16498,,
LMG14-01,22,,,Birder Event,1/8/14 12:00,616.04,,616.4166,40.3237,-64.82046,-64.17704,,
LMG14-01,23,,,Birder Event,1/8/14 12:54,600.04,,600.0114,39.0364,-64.93888,-64.38451,,
LMG14-01,24,,,Birder Event,1/8/14 13:21,600.03,,601.4566,30.475,-64.97971,-64.22794,,
LMG14-01,25,,,Birder Event,1/8/14 14:00,615.03,,614.9528,31.0264,-64.88511,-64.04934,,
LMG14-01,26,,,Mocness,1/8/14 15:08,616.04,,616.0307,39.8296,-64.82598,-64.17453,,
LMG14-01,27,,,Mocness,1/8/14 16:21,616.04,,613.9684,37.8945,-64.85134,-64.17233,,
LMG14-01,28,,,Birder Event,1/8/14 18:11,600.02,,608.854,38.9445,-64.87973,-64.25997,,
