"PAL1314 bacterial production (leucine incorporation) data, retrieved on 20161124 from http://oceaninformatics.ucsd.edu/datazoo/data/pallter/datasets?action=view&id=47",,,,,,,
studyName,Date GMT,Event Number,Station Name,Depth (m),Abundance,Thymidine Incorp. (pmol/L/hr),Leucine Incorp. (pmol/L/hr)
PAL1314,12/4/13,12,SWI,5.8,80700000,-999,5.76
PAL1314,12/4/13,12,SWI,5.8,79200000,-999,6.49
PAL1314,12/4/13,12,SWI,5.8,72300000,-999,5.62
PAL1314,12/9/13,16,SWI,5.8,198000000,-999,4.33
PAL1314,12/9/13,16,SWI,5.8,180000000,-999,3.4
PAL1314,12/9/13,16,SWI,5.8,165000000,-999,4.17
PAL1314,12/12/13,18,B,50,180000000,-999,1.87
PAL1314,12/12/13,18,B,40,186000000,-999,1.41
PAL1314,12/12/13,18,B,30,227000000,-999,2.53
PAL1314,12/12/13,18,B,20,246000000,-999,2.94
PAL1314,12/12/13,18,B,10,424000000,-999,-999
PAL1314,12/12/13,18,B,5,300000000,-999,17.84
PAL1314,12/12/13,18,B,0,325000000,-999,36.77
PAL1314,12/17/13,22,SWI,5.8,422000000,-999,19.09
PAL1314,12/17/13,22,SWI,5.8,385000000,-999,20.11
PAL1314,12/17/13,22,SWI,5.8,328000000,-999,22.84
PAL1314,12/20/13,23,SWI,5.8,256000000,-999,16.42
PAL1314,12/20/13,23,SWI,5.8,260000000,-999,9.69
PAL1314,12/20/13,23,SWI,5.8,303000000,-999,19.54
PAL1314,12/24/13,26,B,50,315000000,-999,3.3
PAL1314,12/24/13,26,B,30,532000000,-999,8.23
PAL1314,12/24/13,26,B,20,659000000,-999,5.67
PAL1314,12/24/13,26,B,10,770000000,-999,13.78
PAL1314,12/24/13,26,B,5,819000000,-999,25.77
PAL1314,12/24/13,26,B,0,542000000,-999,65.69
PAL1314,12/25/13,27,SWI,5.8,237000000,-999,6.01
PAL1314,12/25/13,27,SWI,5.8,237000000,-999,7.33
PAL1314,12/25/13,27,SWI,5.8,263000000,-999,5.72
PAL1314,12/27/13,31,E,65,179000000,-999,0.45
PAL1314,12/27/13,31,E,50,235000000,-999,0.94
PAL1314,12/27/13,31,E,35,213000000,-999,1.96
PAL1314,12/27/13,31,E,20,358000000,-999,3.57
PAL1314,12/27/13,31,E,10,501000000,-999,17.41
PAL1314,12/27/13,31,E,5,519000000,-999,14.17
PAL1314,12/27/13,31,E,0,563000000,-999,9.14
PAL1314,12/27/13,31,B,50,310000000,-999,1.96
PAL1314,12/27/13,31,B,40,412000000,-999,3.85
PAL1314,12/27/13,31,B,30,485000000,-999,5.79
PAL1314,12/27/13,31,B,20,555000000,-999,9.63
PAL1314,12/27/13,31,B,10,527000000,-999,9.81
PAL1314,12/27/13,31,B,5,530000000,-999,6.18
PAL1314,12/27/13,31,B,0,546000000,-999,7.57
PAL1314,12/31/13,36,B,50,1010000000,-999,56.46
PAL1314,12/31/13,36,B,40,1010000000,-999,24.83
PAL1314,12/31/13,36,B,30,1150000000,-999,38.01
PAL1314,12/31/13,36,B,20,1160000000,-999,47.32
PAL1314,12/31/13,36,B,10,1160000000,-999,43.86
PAL1314,12/31/13,36,B,5,1090000000,-999,56.79
PAL1314,12/31/13,36,B,0,1130000000,-999,47.19
PAL1314,1/2/14,39,E,65,554000000,-999,8.46
PAL1314,1/2/14,39,E,50,772000000,-999,10.29
PAL1314,1/2/14,39,E,35,797000000,-999,11.65
PAL1314,1/2/14,39,E,20,1070000000,-999,30.92
PAL1314,1/2/14,39,E,10,1030000000,-999,28.93
PAL1314,1/2/14,39,E,5,918000000,-999,38.61
PAL1314,1/2/14,39,E,0,951000000,-999,24.26
PAL1314,1/2/14,39,B,50,1070000000,-999,21.82
PAL1314,1/2/14,39,B,40,1250000000,-999,24.04
PAL1314,1/2/14,39,B,30,1290000000,-999,34.41
PAL1314,1/2/14,39,B,20,1380000000,-999,69.68
