"studyName","Event","Datetime GMT","Latitude dec. deg. (º)","Longitude dec. deg. (º)","Julian day","Station","Irradiance (%)","Depth (m)","Phosphate (µmol/L)","Silicate (µmol/L)","Nitrite (µmol/L)","Nitrate (µmol/L)","Ammonium (µmol/L)","Nitrite and Nitrate (µmol/L)","Notes"
PAL1314,12,"2013-12-04 11:10:00",,,338,SWI,-999,6,-999,-999,-999,-999,-999,-999,
PAL1314,12,"2013-12-04 11:10:00",,,338,SWI,-999,6,1.896,63.806,-999,-999,-999,25.871,
PAL1314,12,"2013-12-04 11:10:00",,,338,SWI,-999,6,1.919,63.621,-999,-999,-999,26.183,
PAL1314,16,"2013-12-09 12:30:00",,,343,SWI,-999,6,1.778,59.673,-999,-999,-999,23.691,
PAL1314,16,"2013-12-09 12:30:00",,,343,SWI,-999,6,1.753,60.693,-999,-999,-999,23.614,
PAL1314,16,"2013-12-09 12:30:00",,,343,SWI,-999,6,1.773,61.411,-999,-999,-999,23.804,
PAL1314,18,"2013-12-12 14:40:00",-64.7795,-64.0725,346,B,-999,5,1.95,66.086,-999,-999,-999,27.653,
PAL1314,18,"2013-12-12 14:40:00",-64.7795,-64.0725,346,B,-999,10,2.211,73.6,-999,-999,-999,31.327,
PAL1314,18,"2013-12-12 14:40:00",-64.7795,-64.0725,346,B,-999,20,2.27,73.143,-999,-999,-999,32.074,
PAL1314,18,"2013-12-12 14:40:00",-64.7795,-64.0725,346,B,-999,30,2.308,75.348,-999,-999,-999,32.581,
PAL1314,18,"2013-12-12 14:40:00",-64.7795,-64.0725,346,B,-999,40,2.304,80.023,-999,-999,-999,32.684,
PAL1314,18,"2013-12-12 14:40:00",-64.7795,-64.0725,346,B,-999,50,2.337,80.329,-999,-999,-999,32.869,
PAL1314,22,"2013-12-17 12:00:00",,,351,SWI,-999,6,-999,-999,-999,-999,-999,-999,
PAL1314,22,"2013-12-17 12:00:00",,,351,SWI,-999,6,1.568,53.893,-999,-999,-999,19.339,
PAL1314,22,"2013-12-17 12:00:00",,,351,SWI,-999,6,1.796,58.572,-999,-999,-999,23.954,
PAL1314,23,"2013-12-20 12:00:00",,,354,SWI,-999,6,1.772,62.26,-999,-999,-999,23.477,
PAL1314,23,"2013-12-20 12:00:00",,,354,SWI,-999,6,1.79,60.975,-999,-999,-999,23.934,
PAL1314,23,"2013-12-20 12:00:00",,,354,SWI,-999,6,1.769,60.315,-999,-999,-999,22.908,
PAL1314,26,"2013-12-24 14:16:00",-64.7795,-64.0725,358,B,-999,0,1.451,57.74,-999,-999,-999,19.958,
PAL1314,26,"2013-12-24 14:16:00",-64.7795,-64.0725,358,B,-999,5,1.608,63.335,-999,-999,-999,21.812,
PAL1314,26,"2013-12-24 14:16:00",-64.7795,-64.0725,358,B,-999,10,1.962,66.658,-999,-999,-999,27.735,
